figure,item,field,expected,observed,difference,tolerance,status,source
fig1_tissue_transfer,thymus,auroc,0.86,0.86,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,thymus,ci_low,0.763,0.763,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,thymus,ci_high,0.953,0.953,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,thymus,tier,1,1,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,gastrocnemius,auroc,0.801,0.801,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,gastrocnemius,ci_low,0.653,0.653,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,gastrocnemius,ci_high,0.944,0.944,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,gastrocnemius,tier,1,1,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,skin,auroc,0.772,0.772,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,skin,ci_low,0.691,0.691,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,skin,ci_high,0.834,0.834,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,skin,tier,2,2,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,eye,auroc,0.754,0.754,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,eye,ci_low,0.688,0.688,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,eye,ci_high,0.838,0.838,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,eye,tier,2,2,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,liver,auroc,0.577,0.577,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,liver,ci_low,0.492,0.492,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,liver,ci_high,0.666,0.666,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,liver,tier,3,3,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,kidney,auroc,0.555,0.555,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,kidney,ci_low,0.397,0.397,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,kidney,ci_high,0.681,0.681,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig1_tissue_transfer,kidney,tier,3,3,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category B
fig2_pathway,D3:liver:gene,macro_f1,1.0,1.0,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D3:liver:pathway,macro_f1,0.056,0.056,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D5:liver:gene,macro_f1,1.0,1.0,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D5:liver:pathway,macro_f1,0.386,0.386,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D5:thymus:gene,macro_f1,1.0,1.0,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D5:thymus:pathway,macro_f1,0.352,0.352,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D6:liver:gene,macro_f1,0.886,0.886,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D6:liver:pathway,macro_f1,0.413,0.413,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D6:thymus:gene,macro_f1,0.657,0.657,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,D6:thymus:pathway,macro_f1,0.641,0.641,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Category D
fig2_pathway,liver,gene_auroc,0.67,0.67,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,liver,pathway_auroc,0.574,0.574,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,gastrocnemius,gene_auroc,0.824,0.824,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,gastrocnemius,pathway_auroc,0.688,0.688,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,kidney,gene_auroc,0.432,0.432,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,kidney,pathway_auroc,0.743,0.743,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,thymus,gene_auroc,0.923,0.923,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,thymus,pathway_auroc,0.879,0.879,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,eye,gene_auroc,0.789,0.789,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,eye,pathway_auroc,0.915,0.915,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:J5 Category A
fig2_pathway,thymus,nes_r,0.619,0.619,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,thymus,transfer_auroc,0.86,0.86,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,eye,nes_r,0.335,0.335,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,eye,transfer_auroc,0.754,0.754,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,skin,nes_r,0.147,0.147,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,skin,transfer_auroc,0.772,0.772,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,liver,nes_r,0.059,0.059,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,liver,transfer_auroc,0.577,0.577,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
