baseline_id,variant_id,transform,scaling,top_variable_genes,task_id,status,validation_ok,release_status,n_predictions,macro_f1,balanced_accuracy,auroc,calibration_error,mission_discrimination,condition_stratum_holdout_delta,output_dir,predictions,metrics,run_manifest,fold_family,claim_boundary
multispecies_nearest_centroid,tvg2000_log1p_zscore,log1p,zscore,2000,draft_osd207_drosophila_whole_body_spaceflight,evaluated,True,draft_not_frozen,32,0.873015873,0.875,0.9296875,0.3376823871,,0.375,v9/multispecies/reports/nearest_centroid/draft_osd207_drosophila_whole_body_spaceflight,v9/multispecies/reports/nearest_centroid/draft_osd207_drosophila_whole_body_spaceflight/predictions.csv,v9/multispecies/reports/nearest_centroid/draft_osd207_drosophila_whole_body_spaceflight/metrics.json,v9/multispecies/reports/nearest_centroid/draft_osd207_drosophila_whole_body_spaceflight/run_manifest.json,condition_stratum_candidate_folds,draft_feasibility_only_not_leaderboard
multispecies_nearest_centroid,tvg2000_log1p_zscore,log1p,zscore,2000,draft_osd37_arabidopsis_seedling_spaceflight,evaluated,True,draft_not_frozen,56,0.8214285714,0.8214285714,0.9196428571,0.306649884,,0.125,v9/multispecies/reports/nearest_centroid/draft_osd37_arabidopsis_seedling_spaceflight,v9/multispecies/reports/nearest_centroid/draft_osd37_arabidopsis_seedling_spaceflight/predictions.csv,v9/multispecies/reports/nearest_centroid/draft_osd37_arabidopsis_seedling_spaceflight/metrics.json,v9/multispecies/reports/nearest_centroid/draft_osd37_arabidopsis_seedling_spaceflight/run_manifest.json,condition_stratum_candidate_folds,draft_feasibility_only_not_leaderboard
