freeze_id,task_id,source_id,glds_prefix,payload_filename,algorithm,expected_checksum,local_path,local_exists,observed_checksum,checksum_match,release_scope,payload_role,verification_status,action,checksum_manifest_url,source_checksum_audit_csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13_R2_GLbulkRNAseq_trimming_report.txt,md5,2a3e98d50e60245f572845240cc4802f,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13_R1_GLbulkRNAseq_trimming_report.txt,md5,f8b8a20ec526ae31c60eefa1517e7c51,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13_R1_GLbulkRNAseq_trimming_report.txt,md5,404ad001cc791438ca3a43b655267727,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13_R2_GLbulkRNAseq_trimming_report.txt,md5,54828c3b8d3890bf6f78d1406bde0ba5,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13_R1_GLbulkRNAseq_trimming_report.txt,md5,a8dd0c65431acbeb40f819c2b1cfe4aa,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13_R1_GLbulkRNAseq_trimming_report.txt,md5,c9e89f03554de6be9b36640f53ef8c1d,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13_R2_GLbulkRNAseq_trimming_report.txt,md5,cd66fe020b00f97f6287168efe11b4ab,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13_R1_GLbulkRNAseq_trimming_report.txt,md5,c9226198e57bb5b0af795b868a69fc35,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13_R1_GLbulkRNAseq_trimming_report.txt,md5,8d63bba3e2929658d28702d7c6ce46e8,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
osd120_diagnostic_payload_freeze,draft_osd120_arabidopsis_root_light_interaction_spaceflight,OSD-120,GLDS-120,Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13_R1_GLbulkRNAseq_trimming_report.txt,md5,00797a3dd5509dd81fcea49fdb18fc5d,,False,,,osdr_processed_payload_not_required_for_diagnostic,out_of_scope_processed_payload,out_of_scope_not_downloaded,do_not_download_for_current_diagnostic_freeze,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,v9/multispecies/source_checksum_audit.draft.csv
