package_id,candidate_id,candidate_variant_id,fold_label,fold_family,heldout_value,feature_id,train_variance_rank,reference_coefficient,reference_abs_coefficient,reference_selected,selection_count,selection_frequency,sign_consistency,mean_coefficient,mean_abs_coefficient,stability_tier
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT1G54970,369,0.4562502106,0.4562502106,True,20,1,1,0.4069737562,0.4069737562,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT2G30660,735,0.7953450727,0.7953450727,True,19,0.95,1,0.5370806131,0.5370806131,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT1G16440,137,0.6828082592,0.6828082592,True,19,0.95,1,0.41005599,0.41005599,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT1G71380,502,-0.4680306422,0.4680306422,True,19,0.95,1,-0.276838528,0.276838528,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT5G52700,1903,0.2213906939,0.2213906939,True,19,0.95,1,0.4212019114,0.4212019114,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT2G26400,711,0.6260535939,0.6260535939,True,18,0.9,1,0.4769369514,0.4769369514,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT5G48010,1860,-0.278912187,0.278912187,True,16,0.8,1,-0.2019273046,0.2019273046,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT1G01060,1,-0.2790005757,0.2790005757,True,13,0.65,1,-0.0997768294,0.0997768294,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT1G62400,414,-0.09588607853,0.09588607853,True,13,0.65,1,-0.1353128843,0.1353128843,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,diagnostic_col0_phyd_dark,diagnostic_condition_stratum_holdout,Col.0.PhyD|Dark.Treatment,AT1G52130,337,0.1766035641,0.1766035641,True,10,0.5,1,0.110164169,0.110164169,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,primary_col0_phyd,primary_genotype_or_ecotype_holdout,Col.0.PhyD,AT2G30660,744,0.5676031789,0.5676031789,True,20,1,1,0.5713759755,0.5713759755,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,primary_col0_phyd,primary_genotype_or_ecotype_holdout,Col.0.PhyD,AT1G16440,141,1.055942083,1.055942083,True,18,0.9,1,0.5034686958,0.5034686958,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,primary_col0_phyd,primary_genotype_or_ecotype_holdout,Col.0.PhyD,AT2G26400,722,0.5486060634,0.5486060634,True,15,0.75,1,0.2439565492,0.2439565492,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,primary_col0_phyd,primary_genotype_or_ecotype_holdout,Col.0.PhyD,AT5G04700,1595,-0.5418399628,0.5418399628,True,12,0.6,1,-0.3027824899,0.3027824899,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,primary_col0_phyd,primary_genotype_or_ecotype_holdout,Col.0.PhyD,AT1G62400,425,-0.3652673785,0.3652673785,True,11,0.55,1,-0.2178580783,0.2178580783,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,primary_col0_phyd,primary_genotype_or_ecotype_holdout,Col.0.PhyD,AT5G52700,1907,0.241589691,0.241589691,True,11,0.55,1,0.2629235483,0.2629235483,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,primary_col0_phyd,primary_genotype_or_ecotype_holdout,Col.0.PhyD,AT1G54970,376,0.04524769824,0.04524769824,True,11,0.55,1,0.08140804204,0.08140804204,stable_ge_0_5
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,secondary_light_treatment,secondary_light_treatment_holdout,Light.Treatment,AT5G04700,1575,-1.880156171,1.880156171,True,20,1,1,-1.510887911,1.510887911,stable_ge_0_8
osd120_sparse_l1_c1_draft_candidate,sparse_l1_c1,tvg2000_log1p_zscore_l1_c1,secondary_light_treatment,secondary_light_treatment_holdout,Light.Treatment,AT1G75830,520,0.4851185106,0.4851185106,True,10,0.5,1,0.1550171086,0.1550171086,stable_ge_0_5
