,MEblue,MEbrown,MEgreen,MEturquoise,MEyellow
GSM7708682,2.6563941447131167,4.628644601980719,2.2891822381400018,0.6866396328367144,1.365765300245705
GSM7708683,-1.6208115566415102,5.029219718894201,2.1694133286829556,2.1623502987747245,0.5639894382310455
GSM7708684,-0.9101274839871643,-1.7581639463862175,-0.9442979540454007,-0.27032009294521553,-0.6124759544387849
GSM7708685,0.9256482748936983,-3.2144944041375254,0.8731854625457756,0.9997555420479508,-0.2907577877487348
GSM7708686,-3.704682138084229,0.6216426358835201,0.10175721556281252,0.8710922691044315,-0.49590984241017666
GSM7708687,-1.5836236916970439,-1.0677544390243061,-0.32248244355888717,2.084001978173024,-0.04174187312096107
GSM7708688,3.4353721939556356,-0.08362946703043282,0.4444713150072476,-1.3328026024113337,-0.014109189313369895
GSM7708689,-0.5030300353782513,-2.790555773964632,-2.6729241122082223,-3.5639218756948106,-0.22298234666977718
GSM7708690,1.30486029222758,-1.364908926214806,-1.9383050501261871,-1.636795149885472,-0.2517777447729366
Mmus_BAL-TAL_LVR_BSL_Rep1_B1,-14.605268465876765,-3.588982133108002,-2.4947863345689734,1.311557331769392,-1.4833498687957807
Mmus_BAL-TAL_LVR_BSL_Rep2_B2,-11.272141359598166,4.663441928244512,-0.19037969809374752,-2.2862706489176716,4.296135608556865
Mmus_BAL-TAL_LVR_BSL_Rep3_B3,-16.855468792812037,4.707652012136152,-0.6827273424349743,5.355704504660365,5.211011143177986
Mmus_BAL-TAL_LVR_BSL_Rep4_B4,-1.5483703584538426,1.592659591619877,0.9895975566891291,1.1487100161890966,-0.710354172115643
Mmus_BAL-TAL_LVR_BSL_Rep5_B6,27.208928174580308,8.618067428538081,4.390181645319876,-0.4914222772923446,4.757648403321149
Mmus_BAL-TAL_LVR_BSL_Rep6_B7,3.181229030267802,7.909603927881555,-1.8893584088046198,2.569075037911156,3.3800628917039655
Mmus_BAL-TAL_LVR_FLT_Rep1_F1,-13.711219748589262,2.6626319547500925,2.398486206035379,-1.849590573475435,-1.0597961881305227
Mmus_BAL-TAL_LVR_FLT_Rep2_F2,-6.195325310052595,4.8194661102653225,2.2179464718362336,37.24323379111825,3.3395959663604198
Mmus_BAL-TAL_LVR_FLT_Rep3_F3,-4.809482647677505,-4.423926108785811,-2.5561520625859866,-8.721711086541633,5.247498504855596
Mmus_BAL-TAL_LVR_FLT_Rep4_F4,4.883911000258995,-9.064251160671262,-0.1994150504070209,-11.649003229264133,-10.14341474718418
Mmus_BAL-TAL_LVR_FLT_Rep5_F5,9.894710443323481,-2.0198329781267375,-0.6827711996951393,3.2848068221333033,-2.3555873514450107
Mmus_BAL-TAL_LVR_FLT_Rep6_F6,23.96746889044802,-0.4733549193455536,0.6751581304204857,-5.59320869377623,-2.0496221310880656
Mmus_BAL-TAL_LVR_GC_Rep1_G1,4.035096033609338,-2.469004552124699,-2.1056924700721873,-5.921701971868726,2.6940621769125173
Mmus_BAL-TAL_LVR_GC_Rep2_G2,-0.6807877228583691,-1.825720307463591,1.18750775680644,-5.101338029470741,-1.0789418009879455
Mmus_BAL-TAL_LVR_GC_Rep3_G3,-17.763609500425584,-10.212834578550675,-0.8187958880605939,-4.892740251885438,-4.680278681725288
Mmus_BAL-TAL_LVR_GC_Rep4_G5,9.087002657096717,-2.9632122738891704,-1.5978760523171547,-5.982453213304362,-2.184421722472417
Mmus_BAL-TAL_LVR_GC_Rep5_G6,5.72775704632794,-4.302360467084015,-1.7112753706827273,-4.453113599152909,-7.319071618158807
Mmus_BAL-TAL_LVR_GC_Rep6_G7,-0.544429369568021,6.369956525713939,3.0703521106156635,6.029466071168025,4.138823587215402
Mmus_C57-6J_LVR_BSL_C1_Rep1_B1,5.947261928230738,7.566259740402539,3.8543939128751212,9.010129211934895,23.94353710805563
Mmus_C57-6J_LVR_BSL_C1_Rep2_B2,5.160580946969342,1.069150337146396,0.10498885855632065,10.322312737378867,14.273449755870141
Mmus_C57-6J_LVR_BSL_C1_Rep3_B3,7.218070451147503,-7.31663565049908,-3.909283457279665,-6.354760199005642,-2.0737966984125475
Mmus_C57-6J_LVR_BSL_C1_Rep4_B4,8.806376924176273,-2.49975068747073,-4.372559540896839,-5.733332181129506,-1.6239592538919014
Mmus_C57-6J_LVR_CC_C1_Rep1_C1-1,-17.451294885069654,0.8181633611595347,2.5416039508247565,-6.970952375293806,10.434756087684175
Mmus_C57-6J_LVR_CC_C1_Rep2_C1-2,6.9338506974822405,-1.0339043444316962,1.811522280755082,8.850907020944245,5.441465990798751
