module,condition,duration_days,mission_RR-1,mission_RR-3,mission_RR-6,mission_RR-8,mission_RR-9
MEblue,-0.0312,-0.0,-0.0,0.0,-0.0,0.0,-0.0
MEbrown,-0.176,-0.0,-0.0,0.0,-0.0,0.0,0.0
MEgreen,-0.1146,0.0,0.0,0.0,-0.0,0.0,-0.0
MEturquoise,0.0345,-0.0,-0.0,-0.0,-0.0,0.0,0.0
MEyellow,-0.1726,0.0,0.0,0.0,-0.0,0.0,-0.0
