gene,module_color,kME_assigned,kMEblue,kMEbrown,kMEgreen,kMEturquoise,kMEyellow
ENSMUSG00002075000,yellow,0.666444933840093,0.09573019547153239,0.08503903876489721,0.029745061434301744,-0.08320085788095406,0.666444933840093
Gm26244,brown,0.44349776674322255,-0.1266142892899674,0.44349776674322255,0.21913742364807673,0.060031968865369004,0.2487275476906702
ENSMUSG00000098371,turquoise,-0.0004426449386925848,-0.07876204071080406,0.20358790641440766,-0.26508150172592093,-0.0004426449386925848,-0.23111518123532415
ENSMUSG00000092511,blue,0.2345002777073588,0.2345002777073588,0.09076206467818237,-0.3642380206492823,-0.08602905158707223,0.09123107359276
Gm15500,turquoise,0.042034982850463636,0.025228674239080446,0.1516505430465903,-0.15355408941148668,0.042034982850463636,-0.23722336479763279
ENSMUSG00002074875,yellow,0.7359728586132006,0.0060704236493719045,0.20253154610577195,0.09049900607970651,-0.08994102584670165,0.7359728586132006
Gm24924,brown,0.469553891888837,-0.16568348013030657,0.469553891888837,0.2502333119471742,0.06561326418238707,0.2408164368508846
ENSMUSG00000095526,brown,0.19668451129669984,-0.037227054364510334,0.19668451129669984,0.03215438293708835,-0.016023926217802555,0.09817548148166831
ENSMUSG00000066632,yellow,0.33491992347343097,-0.11248917833762342,0.2544001395099076,0.15327257538925357,-0.03113151868923398,0.33491992347343097
ENSMUSG00000115232,brown,0.33313801297124135,0.0977136162917199,0.33313801297124135,-0.19707773246968183,0.033959420622118874,0.1843729475166896
ENSMUSG00000083405,grey,,-0.2394952998920566,-0.21347900583773652,0.15718217971252207,-0.03884697861668521,-0.3829055710023141
ENSMUSG00000094638,brown,0.614878242285006,-0.27372723128279797,0.614878242285006,0.3042686723608216,0.05325006010941667,0.17246622822752755
ENSMUSG00000076138,blue,0.4123077315553918,0.4123077315553918,-0.02409218874110283,0.03611486906794075,-0.08545185186313996,0.22509148835430184
ENSMUSG00000100774,blue,0.31341188465021064,0.31341188465021064,-0.5533654876511801,-0.5823366717544975,-0.07505052541047136,-0.4146321633520629
H3c14,blue,0.41400487253357243,0.41400487253357243,-0.1853156694096526,-0.5192310527018559,-0.07092509045026922,-0.16297551655294215
Gm10259,grey,,-0.12122429637444958,-0.3452878169448564,-0.12234578253089173,-0.010691556291828217,-0.43428417631944005
ENSMUSG00000043346,turquoise,0.039155732431476804,-0.34941927313555815,-0.30127682380524484,-0.020643263764223548,0.039155732431476804,-0.2794140015476047
