"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_ERK_SIGNALING_PATHWAY",0.36,0.670344827586207,0.09754492162472,-0.38847944829101,-1.08942367000072,15,"kegg","Sos2; Flt3; Mapk1; Grb2; Kras; Map2k1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_PI3K_SIGNALING_PATHWAY",0.498,0.747,0.0793434960134973,-0.343708810924083,-0.963872132375974,15,"kegg","Sos2; Flt3; Mtor; Grb2; Kras","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119",0.031334340390008,0.307646251101897,0.321775918075361,-0.430613035264705,-1.49945212590005,34,"kegg","Rbbp7; Cbx8; Jarid2; Cbx4; Phc3; Ezh2; Phf19; Ctbp2; Cbx2; H3f3a; Suz12; Scml2","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY",0.624463519313305,0.785198190289689,0.0713052987340038,0.214570686401543,0.904013129534288,74,"kegg","Fgfr1; Erbb3; Egfr; Akt2; Pik3r3; Angpt2; Pik3ca; Flt3l; Pdgfa; Erbb2; Fgfr4; Kdr; Pdgfb; Pik3cd; Egf; Igf2; Fgf7","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY",0.470692717584369,0.736213893530676,0.0760837160951725,-0.238941661800743,-1.00557519532785,82,"kegg","Sos2; Met; Kitl; Fgfr3; Flt3; Mapk1; Ntf5; Ret; Kit; Ntrk2; Insr; Grb2; Kras; Efna1; Map2k1; Vegfa; Igf1r; Hgf; Pdgfc; Fgf1; Angpt4; Pdgfra","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY",0.647912885662432,0.786231366871266,0.0613026075396207,-0.215244381982404,-0.89839254278334,80,"kegg","Sos2; Met; Kitl; Fgfr3; Flt3; Ntf5; Pik3r1; Kit; Ntrk2; Insr; Grb2; Kras; Efna1; Vegfa; Igf1r; Hgf; Pdgfc; Fgf1; Pik3r2; Angpt4; Pdgfra","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GHRHR_PKA_GH_SIGNALING_PATHWAY",0.0781893004115226,0.375418994413408,0.231126709673834,0.437129996500807,1.38162460701897,22,"kegg","Adcy2; Atf6b; Prkaca; Creb3; Adcy9; Adcy3; Creb1; Adcy8","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER",0.0721442885771543,0.373166581934419,0.237793834423688,0.463941853826457,1.40066781648714,18,"kegg","Gtf2h5; Gtf2h4; Ercc3; Rad23a; Gtf2h3; Ccnh; Rbx1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GLYCOLYSIS",0.620758483033932,0.785198190289689,0.0679922591544058,0.289965892096832,0.891211485808657,19,"kegg","Aldoa; Pfkl; Gapdh; Eno2; Pgam2; Eno1; Gpi1; Ldhal6b","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GNRH_GNRHR_PLCB_PKC_SIGNALING_PATHWAY",0.741617357001972,0.856627535360567,0.0588438169595807,0.27355292457099,0.81930456449054,17,"kegg","Raf1; Gna11; Plcb3; Map2k2; Plcb1; Mapk3; Prkcb; Gnrh1; Elk1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GPCR_PI3K_SIGNALING_PATHWAY",0.249457700650759,0.578174330816747,0.126875729929857,0.341655442720041,1.15633285826406,28,"kegg","Gng2; Akt2; Gng7; Lpar2; Gnb2; Gng11; Gng12; Lpar6; Pik3cg; Gngt2; Pik3r5; Gng10; Gng4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY",0.938775510204082,0.974882260596546,0.0451344222209097,-0.192627444600437,-0.694414979156503,40,"kegg","Ednrb; Bdkrb1; F2r; Itpr3; Gna14; Ptger1; Bdkrb2; Chrm3; Adra1b; Chrm1; Cxcr4; Htr2b; Agtr1a; Gnaq; Plcb2; Itpr2; Hrh1; Plcb4","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS",0.807547169811321,0.899124683913636,0.052805004567129,-0.242493636245041,-0.776066270840751,24,"kegg","Pgap1; Pigk; Pigs; Pigx; Mppe1; Pigp","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_HGF_MET_RAS_ERK_SIGNALING_PATHWAY",0.212,0.566323024054983,0.132846300606183,-0.440890642505084,-1.23640183268346,15,"kegg","Sos2; Met; Mapk1; Grb2; Kras; Map2k1; Hgf; Sos1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",0.565126050420168,0.780722891566265,0.0753093764172773,0.263944987323586,0.924603992532077,32,"kegg","Pold2; Sem1; Rad54l; Brca1; Rfc1; Xrcc2; Pold4; Rfc4; Xrcc3; Pole2; Rad51; Rfc3; Rpa1","gastrocnemius","RR-9","GLDS-326","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
