gene,mean_z,n
ART2B,2.937660292419934,3
HOXA5,2.579294108655898,3
GM6811,2.1999524547237392,3
FBP2,2.0825618888656305,3
IGHG2C,2.0316653502460404,3
CEL,1.9769048503389886,3
GM5921,1.9679036881825036,3
TMC3,1.8992791813620917,3
STUM,1.897680624650344,3
GM32865,1.8661249020308035,2
IL12A,1.7988654322234428,3
SLC1A1,1.7677541420944067,3
GM16023,1.7223661171087608,3
SCX,1.6995925081154108,3
SLN,1.695701151645889,3
RASD2,1.692161872644731,3
TSEN15,1.6597675969422256,3
TMEM116,1.6591901980505757,3
SHISA2,1.62519024168148,3
1110046J04RIK,1.6233182012219682,3
KLHL23,1.6221193484667775,3
METTL23,1.620795125831257,3
ANO4,1.616018458678966,3
EDA2R,1.608935494946114,3
POLR2K,1.6083844738139819,3
CR2,1.6079583417828924,3
OAT,1.607397852683279,3
NEU2,1.5990257383676028,3
AP4S1,1.5978027521877731,3
FGFBP3,1.5974592512944283,3
MYBPH,1.5704202276025183,3
GM41717,1.5583358150132929,3
TMEM230,1.5565701393971472,3
CSMD3,1.55612359021105,2
HECTD2OS,1.5553956326245242,3
PM20D2,1.551395598535916,3
BOLL,1.5445158944219406,3
PDLIM3,1.5387484438750345,3
PDE8B,1.53584033442141,3
RERGL,1.53341072999059,3
HSCB,1.5243052351522461,3
RNPC3,1.5136039100041547,3
GATA6,1.5128032472122894,3
GM8098,1.508944468264156,2
CTXN3,1.5079187207356421,3
GM25788,1.5070479211092758,3
GM4841,1.5011403664720673,3
LMCD1,1.5007786257464517,3
PCP4,1.4979932477774225,3
CHRNA1,1.4976383352028069,3
HTRA4,1.4976096115937392,3
OLR1,1.4974346873543898,3
4632428C04RIK,1.4959168241481828,3
CSTDC2,1.4869946993842973,3
PFN2,1.4848486294843528,3
MUSTN1,1.481341368540069,3
EGF,1.479958035257216,3
CFL2,1.4788716755582911,3
CDKAL1,1.4758105540052961,3
CCDC39,1.4745697607893875,3
USP47,1.4724837017772299,3
GM22362,1.467198323841729,3
