gene,mean_z,n
SNORD1B,1.3285964832831767,2
CAGE1,1.3276884741218369,3
MIR22HG,1.3271231784129327,3
GM25663,1.3254444951221012,2
TMEM158,1.3248414688988264,3
SLC18B1,1.3227459294808646,3
ZFP335,1.322446453118464,3
E2F1,1.3224156768737563,3
DVL1,1.3216774300143312,3
GABBR1,1.3209326762901503,3
SKAP2,1.320424708152352,3
2700099C18RIK,1.3202508826075896,3
ALCAM,1.3198033768377797,3
CIMAP1C,1.318024318383722,2
PLA2G6,1.3170831505313771,3
IFRD1,1.317030079350774,3
ELOVL5,1.3156049500605753,3
PPARG,1.3134946426173935,3
HK2,1.3132409850076006,3
NR2F6,1.3117131754246667,3
DCDC2A,1.311382410378012,3
S100B,1.310069592461972,3
ND1,1.3073670787700395,3
BBOF1,1.3064277797116202,3
GRIP1,1.3052357535637318,3
5033421B08RIK,1.304805103708176,3
1700119H24RIK,1.3037036786657947,3
FAM184A,1.3008394464946373,3
ZFP57,1.3006401197191995,3
WDFY1,1.2986863070597492,3
TMED9,1.298613370545479,3
ATOSB,1.2980318851840147,3
GM29683,1.296901338942788,3
EDA2R,1.2950446770353106,3
LDC1,1.2936183465927884,3
ADAMTSL2,1.2924972251632616,3
CLOCK,1.2920117997023883,3
CCDC124,1.2911483515682807,3
DNM3OS,1.2896389208060741,3
ACTB,1.2893933046145225,3
SCRN2,1.287526369456656,3
BET1,1.287181687656249,3
IFNGR1,1.2861357376092102,3
MRGBP,1.285755451704985,3
HEG1,1.2855864290670664,3
CLEC3B,1.2844546976985989,3
RAB4B,1.283504633676398,3
ORM3,1.283172753768089,3
SEC14L3,1.2817298834906339,3
SLC66A3,1.280610108587861,3
EHD1,1.2801488009644955,3
ADAT3,1.2784036817963191,3
TMOD2,1.27815309044452,3
LACTB,1.2763519024119983,3
CD14,1.275672971331735,3
MRPS15,1.2745564976955879,3
POP4,1.273973183359034,3
IER2,1.2739581790761962,3
NES,1.2726746653460814,3
1110032F04RIK,1.2717715678635446,3
NELFE,1.2705702834228065,3
EVA1A,1.2704499384976617,3
TPGS2,1.2700024700015184,3
ND2,1.2699377256062054,3
TTYH2,1.26907071838993,3
HMGXB4,1.267108169911445,3
GM5796,1.266221715518037,2
RPS19BP1,1.2652619174370636,3
IQCG,1.2652086783498109,3
HOXB2,1.2638130909394008,3
SELENOK,1.2637185392069263,3
NSMF,1.2621510679811168,3
H2BC4,1.2608499993274618,3
PCDHGB4,1.2607846489536965,3
CYP2J13,1.2595597282762843,3
SET,1.257823948468882,3
SAP18,1.2575340886023474,3
H2AC12,1.2573857541851823,3
CHD9,1.2573272004407412,3
SOX17,1.2561781568145138,3
SNORA43,1.2559594698661292,3
TIMP4,1.2559578236921067,3
ARHGEF10L,1.2556475298670409,3
CRLF3,1.2548520125321696,3
ASPDH,1.254221911866633,3
PFKFB1,1.253204068636637,3
CKS2,1.2531910346291009,3
RPF2,1.2522652587525476,3
RFX5,1.2512824507964175,3
ROGDI,1.2503903861804113,3
WBP4,1.2469666619515944,3
INSIG1,1.244971811266754,3
SLC28A2,1.243195799223432,3
INO80DOS,1.2430534264820363,3
CD1D1,1.2418725066212135,3
SGCG,1.2409402298575836,3
MGMT,1.2401673376451452,3
ADPRHL1,1.2389861236718926,3
4930404I05RIK,1.2388299588442957,3
CXCL10,1.2378909285254391,3
TUBA8,1.2366562248518724,3
SLC9A4,1.2356451742824435,3
BEND5,1.2344657839410231,3
CD209F,1.2327816773612124,3
SULF2,1.2321970782212615,3
TLNRD1,1.231941273416698,3
SNRPA1,1.2317595765078924,3
BNIP3L,1.2309115743505317,3
UNC5CL,1.2290325321203235,3
NDUFAF2,1.2277571561314433,3
TPD52,1.227673117098875,3
NDUFB4|NDUFB4C|NDUFB4B,1.2272987843566303,3
ALYREF,1.2270044495678811,3
CENPJ,1.226292271202354,3
OSBPL8,1.2257807223640442,3
ACE3,1.225768101890341,2
WASF3,1.2252018939494618,3
GM15708,1.2228745916243149,3
BC049715,1.2224110830605637,3
PALM,1.221454908347731,3
A830021F12RIK,1.219875656605885,3
NLRP3,1.2196963941130443,3
ZFP433,1.2189359429305922,3
MYCN,1.2183856752899813,3
TDG,1.2169781169509728,3
IL1B,1.2166332869580734,3
TNFRSF11A,1.216042170636177,3
AAAS,1.215012900405301,3
A930007A09RIK,1.2143888860380179,3
SEC14L4,1.2136581423085595,3
LRFN3,1.2136557891491957,3
CENPU,1.2130804577217655,3
CALHM6,1.2128788128462438,3
FAM161A,1.2121893132107358,3
H3F3A,1.210952425038889,3
ANGPTL7,1.210562608487341,3
CCDC59,1.2099799870759587,3
FABP4,1.2098893308569376,3
ACLY,1.2081939338309506,3
RAP2B,1.2073513659980184,3
REM2,1.2057743662402522,3
BCHE,1.204275425716786,3
CLDN11,1.2040611847386722,3
GM1976,1.2037466969805986,3
DIO1,1.2027856569933417,3
1190005I06RIK,1.2016975860523338,3
C3AR1,1.201368050270313,3
FDPS,1.2009495678134634,3
CCDC34,1.199649110897861,3
MED28,1.1990525129084526,3
A930004D18RIK,1.1983447200704707,3
A530053G22RIK,1.1972405192176285,3
HMMR,1.197107285494166,3
SYNGR2,1.19655539913149,3
9530080O11RIK,1.193866342742914,3
MTHFR,1.1938522297591476,3
VAPA,1.1934098720021602,3
A930024E05RIK,1.1933433532478863,3
PMEPA1,1.192252312936465,3
FAM169A,1.1921818987768222,3
HMGCS1,1.1920639371982942,3
SLC26A6,1.190407613538136,3
ND5,1.1900321654594856,3
PABPC4L,1.1891844776226803,3
MARCHF7,1.1873605487269308,3
JUND,1.1869320736169622,3
ADRB3,1.185798979749042,3
ZFP397,1.184653441248162,3
GM36229,1.1845926963339233,2
RAB18,1.183459020897464,3
A630001G21RIK,1.183432256388758,3
CATSPER2,1.1809012551745763,3
MAPKAP1,1.180508728132563,3
ATG4A,1.180176538847928,3
IER5,1.1800435398324496,3
PPP1R3B,1.179803109731185,3
PSMD14,1.1786949301220224,3
CREB3,1.1777379360302225,3
GM10845,1.1775323682258272,3
MPHOSPH6,1.1762597827741608,3
PGM3,1.1762390556212357,3
CFP,1.1761181989440301,3
RHBDL1,1.1755126292870772,3
GM4131,1.1753597447976667,3
MS4A7,1.1751042912802918,3
AGMO,1.1748595701491618,3
RBM24,1.1741188515144172,3
ASPSCR1,1.1727429763141355,3
B3GALT1,1.1710841250638946,3
SKA1,1.170074027221352,3
APOBEC1,1.1695741366358885,3
CCNYL1,1.1693735511774024,3
AGPAT2,1.168296560033059,3
CORO1C,1.1677961113515234,3
PDSS1,1.1674997900764523,3
CGN,1.1663179911799961,3
HAL,1.1658113845436306,3
CFAP36,1.1646252241990493,3
ZFP966,1.16438445601271,2
ACACA,1.164070012992476,3
9330136K24RIK,1.1624512123213966,3
CSF2RA,1.162438721262794,3
4930577N17RIK,1.1591047577338627,3
NRXN2,1.1588694180169699,3
APOBEC2,1.1576721191763701,3
