gene,mean_z,n
AVIL,1.859833721610244,2
WNT4,1.8584836523159325,2
AMER1,1.8573337303462312,2
PAKAP,1.8497244891147908,2
ABTB2,1.846328048907273,2
RPS18,1.844263904059877,2
LRTM1,1.8403880357871236,2
EFS,1.8380440500468813,2
SEMA6B,1.8367210417725919,2
CBFA2T3,1.8337382544079526,2
PMEPA1,1.823171825578024,2
YAP1,1.820070014807987,2
UNC5A,1.8199944356284363,2
TMX2,1.818508121381226,2
MBOAT1,1.8172934531814136,2
PACSIN3,1.812309418247635,2
STAC3,1.8100856567597805,2
IFFO1,1.8098890361799715,2
TRIO,1.8056830580010899,2
SYNC,1.8025566508617081,2
PITX3,1.800921079423392,2
RPL32,1.7994658816468165,2
MDP1,1.7979321261247287,2
TMEM11,1.7967024928554391,2
IFT20,1.7935364829060036,2
SLC41A3,1.7902332706018587,2
FMOD,1.789721801504946,2
MYBPH,1.7895901331539825,2
MDM2,1.7876422633090225,2
PARP10,1.7844240879894557,2
RPL6,1.783929902534621,2
FAM78B,1.7827705995673155,2
ST3GAL1,1.78145585305747,2
OR7D10,1.7812770835763965,2
FAM83D,1.7771732647919003,2
SHB,1.7724701422533464,2
ARL4D,1.771969068333408,2
PAG1,1.7688506997928388,2
ZFP579,1.7686549367525102,2
ZFP395,1.7671398524534923,2
MARVELD2,1.7645875333811012,2
MAFB,1.7620149378489396,2
LDLR,1.761031354611076,2
KLHL40,1.7605792767412103,2
RGS17,1.7559570440610148,2
ATP10A,1.7551687709068684,2
ZHX2,1.7530962285920226,2
CHRNA9,1.7506845632426935,2
KIF5A,1.7496998702381004,2
RPL28,1.7481025603839417,2
PFKL,1.746776755083873,2
RPL17,1.7466598848952013,2
CCDC112,1.7460285730502836,2
AHCYL,1.744416116947011,2
ADAMTS15,1.7438721996608584,2
FBN2,1.7414038390193216,2
ENKUR,1.7404241204734552,2
RPL37A,1.7398957471350123,2
CCDC25,1.7387677420438155,2
GM11827,1.73832296742619,2
FAU,1.7356064811325813,2
DUSP29,1.7353604540653915,2
RNF25,1.7351067590811862,2
RPS19BP1,1.734259211916506,2
ARHGAP44,1.7338842437427373,2
LARP4B,1.7338148041737564,2
IGSF9B,1.7324524302979207,2
RPS29,1.7316866759384588,2
ARID5B,1.7313360952479773,2
SIPA1L1,1.7307817818401545,2
CAV3,1.728347205739774,2
RAF1,1.7252992458618075,2
PRG4,1.724142850072968,2
MROH7,1.722099202292764,2
RPS26,1.7214543762654684,2
BCL7C,1.7198792398445162,2
FXYD1,1.7197552386431707,2
TRIM65,1.7195483413457926,2
CAR14,1.7176646073311561,2
RGS2,1.7163515359162558,2
IKZF2,1.7161631952721352,2
ST6GALNAC3,1.7153804305038225,2
NAA10,1.715058577608958,2
DPEP1,1.711585473401997,2
MLIP,1.7101657708909763,2
TTC7B,1.7032886699434875,2
MRPL45,1.70194919790122,2
DNMT3A,1.701855980996802,2
RPL15,1.7013242464389864,2
FAM89B,1.7009199426245134,2
NFAT5,1.6994790741837194,2
RPL24,1.6985385567651057,2
RTKN,1.6964927548222581,2
KCNB1,1.6922396064557352,2
EDF1,1.6914499031612857,2
ANK1,1.6856106034135112,2
PIK3C2B,1.6825768635386016,2
TPBGL,1.6822878454884616,2
TSHZ1,1.6814155551407581,2
MIEN1,1.672191099516004,2
JUP,1.671196166373731,2
RPL34|RPL34-PS1,1.6681145397364658,2
BCL6,1.6674686766510787,2
ANKRD33B,1.667063161341205,2
AP2S1,1.6630376611626707,2
SOCS7,1.6610757501742943,2
ALPK2,1.6599239584779666,2
