gene,mean_z,n
CTRC,5.558100410254848,2
TRY4,4.093055814306042,3
BMAL1,3.1144752787766463,3
TARS1,2.1431216444497045,3
CDKN1A,2.0922077083229453,7
AHSP,2.028757265471202,2
STRIT1,2.022853978992222,2
GM34911,2.013267936462435,3
RNF144B,2.0039162657873657,7
MICAL2,1.93598809704337,7
TIMP4,1.9242349977462152,5
NEDD4L,1.8978175789222387,7
RLIG1,1.869416509873881,3
ACNAT2,1.8589161837414305,7
LARS2,1.851412415833938,7
NLGN4L,1.84626499968788,3
AARS1,1.7908443051650957,3
SMCO1,1.788477211347798,4
ALX1,1.766544995307533,2
NPAS2,1.7591266985314125,7
SIX1,1.7164551989388293,4
GM36041,1.7028957971409664,3
DNMT3B,1.6833495365254951,7
LONRF3,1.6592124406185906,7
CLOCK,1.6581168989157862,7
DUSP29,1.653089883867881,3
VGLL2,1.6195301064296477,3
TREH,1.594089805937135,7
GCLC,1.5875962209264842,7
SLC45A3,1.5853692588529236,7
NFIL3,1.5841985832993493,7
LEO1,1.5815621888112346,7
ASAP2,1.581173978311762,7
SDR9C7,1.575977463734501,7
MIR6240,1.5689374464343817,2
SMTNL1,1.563077658639799,5
DENND2B,1.5559331205101519,3
ASB18,1.5438022369367466,4
HSPB3,1.5408042589028665,3
BTNL12,1.5317656459919256,3
ST8SIA5,1.521383299444838,4
TUBB2A,1.5213357487240111,7
MIR6236,1.4974055750847741,6
CUZD1,1.4961933596489727,3
TECRL,1.493649966933311,3
TRIM2,1.4884418604868979,7
PSMD1,1.4873728643457933,7
CLPX,1.4870077237261774,7
MDM2,1.4793470734494336,7
ARNTL,1.4770576948836744,4
DDC,1.4612485351424809,7
DTX4,1.455180854850534,7
APBB2,1.450438645088496,7
PPP1R3B,1.445749292325141,7
GM7798,1.440268011442434,5
AOX1,1.4388573944167917,7
KDM2B,1.4381573835786838,7
PSMD11,1.437399025747208,7
NHSL1,1.433477435613263,7
TAB2,1.4257922975648474,7
GSR,1.4251625771307401,7
TRP53BP1,1.4215999745030448,7
CHKA,1.4214586747469913,7
DUSP26,1.4166488592406252,4
GM2436,1.4136524589600274,3
LGALSL,1.4085987067044388,7
GM7969,1.4061673052612311,4
IDE,1.404115010150988,7
RAD23B,1.401328181910088,7
SPG20,1.39185054381139,4
NEU3,1.3818547600458555,7
TUBB4B,1.3773021720729468,7
UGDH,1.3722287119175987,7
UBQLN1,1.370871520230042,7
OLFR1034,1.3670390503712537,3
BPTF,1.3663556443518206,7
PRSS2,1.3456324683698238,3
DNAJC21,1.3455387113382618,7
NEK4,1.34195171589705,7
4921539E11RIK,1.3388393207094518,3
ZDBF2,1.335384087457706,6
MCU,1.3281308145982824,7
LRRFIP2,1.3277998743831154,7
TUBA3A,1.3181759423144317,3
DDIT4,1.3147395629141667,7
GM31508,1.3139496544238758,7
LOXL4,1.3139079692927658,7
STON2,1.3131391084345057,7
MAP7,1.3092965761627664,7
ABLIM3,1.3080547039588184,7
NRIP1,1.302172942236443,7
CYP26B1,1.3016230057714167,7
GRK5,1.2943422987371067,7
PPFIA1,1.2918076794906828,7
PPARD|1810013A23RIK,1.288232627634451,6
CMAH,1.285293905450816,7
SARS1,1.2778573348914757,3
NET1,1.2766639381228901,7
PEG3,1.2750727177613794,7
RUSC2,1.2713294866970097,7
MYH4,1.2680016029611794,6
SIPA1L1,1.2668226130937985,7
PRKAR2A,1.265783118197554,7
ATP2B2,1.264239590734504,7
4930515L19RIK,1.2636159473943764,2
ANKRD23,1.260067322516582,7
MAST4,1.2541364449217909,7
PSMC4,1.251790264984018,7
GM30842,1.2505190685029801,3
PPIP5K2,1.2487959240236743,7
SLC34A2,1.2471101012433565,7
SNORD3B1,1.245505964082674,3
CELA3B,1.2444033415686528,3
GM30948,1.2432274404286474,2
SDF2L1,1.2428700550091105,7
SRXN1,1.2410946348143135,7
GM3625,1.238081748731538,3
ITSN1,1.2370397436758123,7
SPART,1.2353950328390626,3
UBXN4,1.2344617684249408,7
FAM166B,1.2343338018401406,4
GCK,1.229847575237327,7
GON4L,1.2270254738372794,7
SNORD3B3,1.2249502733389528,3
LNX2,1.2241874796572514,7
TMEM182,1.223525490899022,6
ZBTB21,1.2219310878123262,7
CARS1,1.221831969452153,3
SNTB1,1.2215295703583908,7
ERC1,1.2197903210343135,7
TEAD1,1.2195017754778184,7
OLFR986,1.2189025744343858,2
CYP39A1,1.2166136234873484,7
RAD54L2,1.2154378992844994,7
MRTFB,1.2148877925182957,7
BC024978,1.2136528658159775,4
POC5,1.2116811207601406,7
TUBA4A,1.2111096394787142,7
OTUD7B,1.2069649672353577,7
ZRANB2,1.2064674411476963,7
GM25848,1.2037502694513647,5
NAV2,1.2019708241452853,7
KPNB1,1.1998068841493352,7
IL22RA1,1.199102185610045,7
TXNRD1,1.1989737993290657,7
ZFP267,1.1989692333237767,7
CYP26A1,1.1988717904579365,7
FYB2,1.1983063172349973,7
DPP9,1.197871748377023,7
EVI5,1.193816896405506,7
KATNAL1,1.1929717704912473,7
AQR,1.1909263358484083,7
OLFR1033,1.1889757034150226,3
PNRC1,1.1886092662227958,7
FRYL,1.1861724918471315,7
USP53,1.1784483320708343,7
IRGQ,1.172572315437568,7
NARS,1.1683768585103886,4
DYNLL2,1.168184157995759,7
TCF4,1.1679972482403778,7
AFG2A,1.1654406728395281,3
HNRNPA3,1.164755048463492,7
