"pathway","pval","padj","log2err","ES","NES","size","db","leadingEdge_str","tissue","mission","glds","contrast_column","rank_sign","sign_convention"
"REACTOME_THE_PHOTOTRANSDUCTION_CASCADE",0.530651340996169,0.675318452353659,0.0738052724171275,-0.262055095259084,-0.949409004657137,32,"reactome","Nmt2; Fnta; Grk4; Gngt1; Guca1a; Ppef1; Rcvrn; Calm1; Guca1b; Nmt1; Pde6b; Pde6g; Grk1; Sag; Metap2","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",1.21292831987364e-08,3.08873607037589e-07,0.747739663149885,-0.58905939045973,-2.43576502975618,58,"reactome","Fkbpl; Uba52; Psma7; Rps27a; Psmc1; Tubb3; Sem1; Psmd2; Psmc3; Tuba1c; Psma5; Psmb6; Psmd14; Tubb4b; Tuba1b; Psmd8; Psmb1; Psma1; Psmb7; Psmc5; Psma2; Psma4; Tubb2a; Psmb3; Tuba8; Hsp90aa1; Psma6; Psmb4; Psmd3; Psmd6; Psma3; Tubb2b; Psmd12; Psmd13; Adrm1; Psmd1; Psmc2; Tuba1a; Ccnb2; Tuba4a","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS",0.415132924335378,0.580549875028403,0.0905428948469474,0.304982765861501,1.04038463119849,27,"reactome","Ap1g1; Pacs1; Ap2m1; Ap1s3; Cd4; Ap2b1; Elmo1; Lck; Ap1m1; Pak2; Cd247; Ap1b1; Ap2a1; Ap1s2","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS",0.0673076923076923,0.161627024291498,0.241339976815091,-0.389535555246066,-1.39785785893765,31,"reactome","Gna15; Gng4; Gna11; Gnb2; Gng10; Gng8; Gngt2; Gngt1; Gnb3; Gng11; Gng2; Gna12; Arrb2","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR",0.0136442174771781,0.0448661205330633,0.380730400722792,-0.504799394574379,-1.68690591439486,24,"reactome","Gna15; Aamp; Gng4; Gna11; Gnb2; Gng10; Gng8; Gngt2; Gngt1; Gnb3; Gng11; Gng2","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT",0.634042553191489,0.744133543134706,0.070113215764256,0.28367307899581,0.865680865877308,19,"reactome","Traf6; Tlr3; Ube2n; Ubc; Ikbkb; Ube2d2a; Ticam1","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_TIE2_SIGNALING",0.0702479338842975,0.167584940312213,0.245041785430996,0.485027435599484,1.4617091819514,18,"reactome","Kras; Sos1; Tek; Grb2; Pik3cb; Angpt1","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_TIGHT_JUNCTION_INTERACTIONS",0.0959692898272553,0.212793522267206,0.199915231309662,-0.407584340910988,-1.36203894594047,24,"reactome","Patj; Pard6a; Pard6b; Crb3; Cldn2; Cldn23; Cldn1; Cldn10; Cldn3; Pard6g; Cldn7; F11r; Cldn8; Cldn12; Pard3; Pals1; Cldn4","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY",0.732177263969171,0.818931669097286,0.0583452776743612,-0.229310110840464,-0.836226628903955,33,"reactome","Uba52; Rps27a; Sharpin; Rack1; Tradd; Tnf; Birc3; Rbck1; Ubb; Usp4","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
"REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING",0.5625,0.691287878787879,0.0718276293603809,-0.276312355141464,-0.931582729269358,25,"reactome","Sharpin; Tradd; Tnf; Mib2; Birc3; Rbck1; Usp4; Birc2; Traf2; Ikbke; Rnf31; Ripk1","eye","RR-3","GLDS-194","Stat_(Space Flight)v(Ground Control)",1,"flight_positive"
