"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_SUBUNITS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3",-0.502125922773022,-0.598784837866924,-0.403942047291874,-0.514072392407727,-0.411039606465418,-0.478127387097384,-0.249917418305046,0.0806926588907671,-0.458867925044588,-0.096017238627059,-0.172673656795469,-0.29307495457497,-0.0835371455099627,-0.120657985880394,0.137339524813547,-0.1884134009751,-0.329344902242341,-0.596417861313275,-0.204363492122178,-0.283950416188242,-0.424621390455975,-0.234304055251045,0.252957499417382,-0.288264031636095,-0.158824819221796,-0.34066555962559,-0.0473237920665794,-0.296135739314582,0.365886473611376,-0.260368317720076,-0.0122010906703882,-0.273141445607288,-0.160308052637135
"Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6",-0.390306305932465,-0.368441315125183,-0.293463318998091,-0.407026144321243,-0.350934500591133,-0.330325504290089,0.00110813909861876,0.295310593006456,-0.29585377013554,-0.344704497919988,-0.449366752190971,-0.268595287701853,-0.223597677476229,0.00760981530161431,-0.248561229815864,-0.289071324243785,-0.189039237708745,-0.506227573597627,-0.382790086155998,-0.201602303196304,-0.261525949600288,-0.446645212583537,0.166955390320959,-0.0867535575869253,0.114432880825235,-0.533859177442405,-0.337283151528088,-0.324943297979592,0.0304457627957208,-0.425142062547329,-0.276298537519584,-0.464123808320905,-0.154956420648953
"Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7",-0.318217701642045,-0.398136033600736,-0.0298135142089103,-0.284899984322275,-0.193359118227204,-0.282494952338516,-0.103897644244536,0.290021768936352,-0.223845244808623,-0.31311849805756,-0.157956860200331,-0.197213294378875,-0.204002232934605,0.318886422021605,0.244208934647452,0.000932428666661017,0.100413014380238,-0.0841957132918744,-0.083611836317517,0.259240433741167,0.289426523747232,-0.228661384810695,0.155155905463262,0.232430558656799,0.0459252036638501,-0.351575373763194,0.00130304776766396,0.0565158252639325,0.310232889848084,-0.133195743951742,0.0788301689650349,-0.28665407200315,0.136430146513956
"Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10",-0.50263972998267,-0.352554289602078,-0.461201554527202,-0.556895189622638,-0.422574797710623,-0.428890833192236,-0.284469919625766,-0.266890814947065,-0.427877565651799,-0.329811883586542,-0.357238037449963,-0.0588897663263387,-0.396118440162856,-0.0987605263939091,-0.0682620259802483,0.06093039032699,-0.1261143311572,-0.0311642001661974,-0.126361027117365,-0.259926656645701,-0.0425377681507822,-0.12518005368795,-0.209817910999831,-0.0526046266522879,0.233412070454703,-0.432765244217667,-0.221052946662098,0.209061367000298,0.237284227754475,-0.161732890976146,-0.202273675068807,-0.480372201150325,0.0347153040154048
"Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8",0.52924310597427,0.543368956910884,0.498120205835803,0.476939245313555,0.525699743641341,0.494879239936177,-0.0607191723422391,0.35700870345436,0.40373451053998,0.380606410606924,0.521047881893463,0.338346475519682,0.461826172434148,0.433975007098107,0.67068841403808,0.481505176370687,0.594128340463216,-0.0449429218712963,0.397956836763972,0.469607536759125,0.34660161691361,0.446442092737787,0.287398650058627,0.528876567589469,0.317150538150552,0.103322335131028,0.227007767860097,0.220117270517227,-0.00780620349267228,0.152885628061102,0.241464445626828,0.338107645930558,0.0461831129642255
"Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9",0.334337176960494,0.327701773390104,0.277242749601375,0.146142850296915,0.493241244134596,0.265572400023454,0.0820390291312028,0.35758678602496,0.325374453620272,0.441278313755638,0.403073675657172,0.245949415056497,0.46397183586409,0.291224716120655,0.419460616287594,0.461834921318513,0.168506330805801,-0.154843668595038,0.556368716216253,0.283397874460285,-0.0898227558604649,0.428377821246781,0.436975107329666,0.338282964954102,0.259515226004127,0.221755139335805,0.458113087550119,0.525990361360649,0.53748362062346,0.43029602052985,0.466240766927776,0.00298645785522528,-0.00858475189520683
"Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4",-0.310075096065184,-0.498231086533626,-0.405149856793085,-0.587688093203186,-0.446904028606202,-0.412074886192626,-0.166955997410315,-0.438238500602563,-0.159327132741057,-0.0677673081083406,-0.36224200688648,-0.384501699955888,-0.200519169101074,-0.395607316318122,-0.055102145470548,0.00167531667255433,-0.149403325082084,0.325360544022589,-0.0394091370028811,0.131759212024394,-0.139561635822832,0.0620544487293258,-0.0212038210812173,-0.0941661156833236,0.207412562571568,0.177358200534513,-0.139879880845181,-0.0658148242499671,-0.253457328877462,0.0493471344799283,-0.218754522938071,-0.231326992016036,-0.275023042273979
"Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5",-0.235326479318426,-0.406029217371627,-0.212540366896629,-0.39018363388922,-0.383490715033915,-0.365657684294494,-0.244782812421113,-0.296315837836612,-0.0888579693296758,-0.252162649301882,-0.202622325828762,-0.0638219808771909,-0.28061346098916,-0.346765334721701,-0.178166941810334,0.147835638334747,-0.110837492180838,0.335759788261618,-0.562158693385976,-0.102822198202436,-0.0765321607611933,-0.384446568354874,-0.295458999975308,-0.285540038563413,0.161550667463356,-0.241030532766447,-0.69316110456891,-0.344973340974224,-0.518583815804894,-0.378232483913602,-0.59083219558488,-0.0865152529775632,-0.0265464026118694
"Mmus_C57-6T_LVR_BSL_ISS-T_Rep1_B1",-0.40052676543829,-0.0926325503263373,-0.41154033287826,-0.416218942797647,-0.480806717528099,-0.29447907366244,-0.420919900981581,-0.375346011988087,-0.339064177553169,-0.458248236194603,-0.346451011697744,-0.0935519664317239,-0.563745063066993,-0.195939580492908,-0.227049531168879,-0.369057600668604,0.0871272629940707,0.270754865855999,-0.536794831111046,-0.0573017466365978,-0.122039010759529,-0.495924850449046,-0.130160372699269,-0.562946617564889,-0.247943828986522,-0.46803029970429,-0.515457994176838,-0.417193243717677,-0.483923124251311,-0.475621388514604,-0.505681869056083,-0.339433352314905,-0.233597602374733
"Mmus_C57-6T_LVR_BSL_ISS-T_Rep2_B3",0.552133471384784,0.617753714037468,0.641333495793184,0.548179069842263,0.42438398946308,0.451000670912786,0.201296435489949,0.597101497401227,0.17651182313159,0.174974213563078,0.399521993485372,0.601749650217759,0.379771916533723,0.491164867923331,0.214645304342871,0.129724194937835,0.422011342223496,0.476907176807213,0.314736225819302,0.315692886535163,0.593315848521333,0.207218403993164,-0.278198619941617,0.420168115235538,0.129853519225715,0.41045692420772,0.157565339477158,0.30653962792277,-0.238138168901009,0.33261629592264,0.179132861822677,0.357693189693576,0.212533017419906
"Mmus_C57-6T_LVR_BSL_ISS-T_Rep3_B4",0.439819206959034,0.362259233464649,0.551549705709276,0.526616422253212,0.0383835998410273,0.118179780732199,-0.057979459881551,0.512552155322484,0.0698664269330058,-0.410462544219615,-0.134485512032412,0.30831923641387,0.0337547149329817,-0.118569025273651,0.0507011018897181,0.212585316513176,0.136937356114902,0.273816483016716,-0.321529961538948,0.0415528852027724,0.370806753136646,0.0186870849675875,0.0467771188271434,0.0930526038674085,-0.171500269681774,-0.220909584942381,-0.403194547990275,-0.142999673919125,-0.214146839122785,-0.158008743869033,-0.331716216343433,0.29334086857436,-0.159598458559682
"Mmus_C57-6T_LVR_BSL_ISS-T_Rep4_B6",-0.469167833493593,-0.370831547704258,-0.575300332088132,-0.268469509418097,-0.495128615163466,-0.293076817426429,-0.283746849012039,-0.449613578468141,-0.303810575936595,-0.576773436386023,-0.510576161986077,-0.4606712337215,-0.556819754040003,-0.133468295340629,-0.282084097213353,-0.40446617316939,-0.456200537796946,-0.381987066624988,-0.594403282417093,-0.512982994686303,0.0182007657313489,-0.577352861735039,-0.21470033465257,-0.583044545985699,-0.396447517340246,-0.5642490274538,-0.574572821599138,-0.55547206113668,-0.522031877611748,-0.563837940796503,-0.54270319930803,-0.371363518040958,-0.155470610921306
"Mmus_C57-6T_LVR_BSL_ISS-T_Rep5_B9",0.2503453947077,0.198811241385297,0.34773605912655,0.286728646336403,-0.175557713451476,0.363672436194601,0.0480011457982769,0.424933014343519,-0.303295405542483,-0.396236274451086,-0.179513742164404,0.23039941554329,-0.357198529340518,0.225639543254964,-0.176680162644245,-0.20257603537108,0.0777737689368245,0.383608019695483,-0.474081083920622,-0.133521695690207,0.0171674481559977,-0.411831889943814,-0.188880848007779,-0.321857793045487,-0.115144274907665,-0.464683482746768,-0.235121014699091,-0.435861934233581,-0.435815389390639,-0.467251830824711,-0.308457242264345,0.167578085808059,0.18336708356917
"Mmus_C57-6T_LVR_BSL_ISS-T_Rep6_B10",0.176126979873385,0.518606209722402,0.288019739459655,0.312018191327542,-0.034044468847126,0.237658425621095,0.0475806103614662,0.150207131150755,-0.0344996974677318,-0.490549456943747,-0.112323309124833,0.158349043012652,-0.223097414260143,0.282496588205616,-0.0293427589529243,-0.170496773224142,0.172977045645593,0.326343758453872,-0.387757098917996,-0.185054242736242,0.229830041684582,-0.226107878296431,-0.252616866167673,-0.124310918677339,0.0701410935309097,-0.360106465625836,-0.350329803322974,-0.362586505584137,-0.530407062727203,-0.359237099991758,-0.377984039909443,0.222294915684115,0.0549336805548815
