"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"Mmus_C57-6J_LVR_FLT_I_Rep1_M21",-0.0954808520962166,-0.0585516246586093,0.148103022128487,0.414139720253575,0.340764161154392,0.488247626641363,0.268993901722206,-0.120583169797524,0.318034470491445,0.0292291866660398,0.161827869096106,-0.332537842107628,-0.200710220039576,0.563820573195457,0.367407661985887,0.28227685441042,-0.211184651197874,0.0141723012385259,0.128079363414181,0.529234430265683,-0.0445742046102612,0.284565562741983,0.231098719473437,0.118798991249142,0.191922664235444,-0.209544485045048,-0.112958433864418,0.209167103816115,0.341564184905528,0.302855932876906,0.226891553496099,-0.306823577485852,-0.320860803494888,0.49636917227386,0.244234857584766,-0.45836639104539,0.157080254885489,0.270813770212652,-0.0374635376608322,0.0992003905889662,0.190630377374678,-0.237218695684142,0.206220136452022,0.441331069960915,0.359371267001231,-0.0572479542344574,0.433735562303788,0.221404457432684,0.501347978980447,-0.214720978116172
"Mmus_C57-6J_LVR_FLT_I_Rep2_M22",0.156741694910965,0.244383063818791,0.0764398359073045,-0.0446600563657097,0.15953131713848,0.0273143398884235,0.164542016218,0.396421182099588,-0.206357870954634,0.3982984770166,0.269040155456175,0.106031237489325,0.0476793601903094,-0.04102745005525,0.0520378316277199,0.212161396380028,0.0779482744878624,-0.0357470119614651,0.224434172897125,0.0834491071117304,0.24264172914473,-0.00456653494280274,0.133977473693043,0.20978378019078,0.177641880147153,-0.125451618786784,0.0470897871975998,0.104391362796714,0.0867524637447441,0.181398542387879,-0.00645482480504583,-0.115680241843185,-0.0269076459324695,-0.100750744913961,-0.015125239954297,-0.0434048350690317,0.131969142314954,0.175205700323295,0.293579684425659,0.32819587543842,0.183525795375239,0.125499127518245,0.0925186457703246,0.0718172335608733,-0.0872906339711328,-0.00434979283902556,-0.0106927329748356,0.279605462730801,0.18444230783733,0.353440585550264
"Mmus_C57-6J_LVR_FLT_C_Rep1_M25",0.055090245425055,0.134806448897267,-0.125964043682274,0.152135459340764,-0.240723180560192,-0.432132195325413,0.0516403858093448,0.184726110839852,0.104227958739741,0.325433771999329,0.200551691197346,0.0855747896396677,0.342140536686391,-0.185394830812337,-0.198851084473747,0.0589467590129137,0.0382375809515149,0.233093923495271,0.00842881012064736,-0.310435339475449,0.339173452704789,-0.0142531584472999,0.0390694643370847,0.307890442350906,0.000587476807784509,0.260311332003359,0.26423650680279,-0.0165370518676228,-0.0316320551610461,-0.086969117286251,0.115803554849713,0.253455375535095,0.0617689829101511,-0.236328075842267,-0.276609836374601,0.309568317372817,0.0337222651306783,0.211036800173228,-0.0361389277473738,0.0372838243209779,0.0811370066899971,0.317456299599261,0.058618673415762,-0.32679765311315,-0.113029760475653,0.0531706221608159,-0.282603160236657,-0.00986822490405392,-0.245249728631465,0.281286320305359
"Mmus_C57-6J_LVR_FLT_C_Rep2_M26",-0.151052876689742,0.293092066305329,-0.250643914522007,-0.136059564724318,-0.130982742822725,-0.114552362457775,-0.0803457343177542,-0.51790947108828,-0.00283952520451211,-0.230607140958377,-0.159568781019851,0.227661998287551,0.218153710930024,-0.00933687097014979,-0.144099602441094,-0.156052615568213,-0.33379070969235,0.244702836601577,-0.129921366278199,-0.111352059615367,-0.325272172339928,-0.173635985274245,-0.0842901871530364,0.253991574141632,0.175862450524551,0.618987916224566,0.479661438886676,-0.106415990218497,-0.0448070654268226,-0.0345934732183242,0.134021622086712,0.289624946020842,0.388012852552949,-0.0928148351172083,0.216133696884625,0.0598739750523156,0.0504768995963169,-0.125122070979587,-0.323825971810709,-0.0256924189495437,-0.244658480733597,0.0425649067265691,0.00321109584860244,-0.356202449412858,0.207784980545294,0.0606158990786999,-0.338940562006081,-0.0584597191069352,-0.146950774138043,-0.296248908634112
"Mmus_C57-6J_LVR_FLT_C_Rep3_M27",0.284479927639361,-0.131968616966474,0.00394878394015999,0.150317559261068,-0.255430176819576,-0.198773351823937,-0.0592942627570065,0.0209991844566848,0.374402504710159,0.113526881942594,-0.141421178425284,0.250793326603913,-0.0428970962684995,-0.137160134725953,-0.254039097499154,-0.11034754192139,0.17996306095077,-0.214169171312296,0.0475872379708273,-0.247745870794096,-0.255873110009974,-0.0137569039358338,-0.184013156087868,-0.301788653660338,-0.24443854758961,0.210851587049114,-0.0587963259200317,-0.147893999965839,-0.0558511773215088,-0.361498009561723,0.266256790522099,0.460594444702471,0.140019176012291,-0.096555458477275,0.0104171922272099,0.549686562562639,-0.0264418798255011,0.158004759707188,0.0712540116480566,0.0582444589528569,0.289358111780348,0.218616019903983,-0.228032018940424,-0.0766712374824424,-0.267289367933572,0.237893869851652,-0.300373553408544,-0.119034019808104,-0.147034306197316,0.246266524311771
"Mmus_C57-6J_LVR_FLT_C_Rep4_M28",-0.379673651083152,-0.353756908780036,-0.0734713126350884,-0.201801220582259,-0.115323797783693,-0.233326777563775,-0.279593347048109,-0.409128552969955,0.162877725129154,-0.429262708586349,-0.335773100980522,0.162319525183338,-0.0584121638665613,-0.156682533845072,-0.0130274379059467,-0.0930766796078572,-0.446692419113468,0.184190571172317,-0.205500102570883,0.0642765124504334,-0.339056425830553,-0.172736117291049,-0.182738162734876,-0.248560451958186,-0.279002935822829,0.343690928470645,-0.0553283495156407,-0.0732451594035748,-0.25598926862426,0.0988775763475841,-0.0939486691586336,-0.0804394257890175,0.113294162671037,-0.155578093210752,0.207620789549614,-0.436552395924394,-0.156811844026518,-0.134009056282395,-0.41251019512254,-0.101102815524056,-0.301778623395371,-0.296371966569484,0.0648754854081497,-0.240499654525509,-0.119660424410646,0.0643255917932228,-0.180948309454524,-0.203238965918187,0.0833181033114679,-0.393232365160896
"Mmus_C57-6J_LVR_FLT_C_Rep5_M30",0.038148608720435,-0.152934881748135,-0.177969274529956,-0.40374665318883,-0.247130131239243,-0.335345937969605,-0.322306909889836,0.219542338707055,-0.250206513102177,-0.198453673952375,-0.0725664581063791,0.120924726078292,-0.108636531544311,-0.430223767741299,-0.251738786622704,-0.123014659891598,-0.08552577201713,-0.131369003053116,-0.25062649942377,0.0932189260926729,-0.281865104188751,-0.33126947116252,-0.219862729046565,0.0206981450515519,-0.151834611644311,0.0748313840877089,0.0880044466691457,0.0511285378510251,-0.279919030093009,-0.119219469124018,-0.353735701928437,-0.303544798455548,-0.0569781628576107,-0.32460901113646,-0.360193758373292,0.0167157575832393,-0.155410159076608,-0.309321114970771,0.0137572321168947,-0.269871749093027,-0.347134683729284,0.0746434426854456,-0.0152634783096416,-0.146198994889547,-0.178711843616572,-0.18893335807068,-0.282861505757411,-0.228988889341106,-0.314431721502188,0.146421458290062
"Mmus_C57-6J_LVR_GC_I_Rep1_M31",0.0104702957838488,0.21081636093206,0.488582838123936,0.202064712017823,0.253578852717937,0.417315071120973,0.191677049440703,0.293461078338258,0.339534886057919,0.323722772758787,0.336711797972261,-0.243458439262582,0.249300404682141,0.263777595656382,0.352300268682869,0.296419389968693,0.200474414827636,0.345550539195626,0.336863310426901,0.160799916506587,0.266792569524605,0.163836481992184,0.194979665832142,0.133619257443704,0.277525649207895,0.321288666933172,0.230858091101001,0.00368130632044959,0.259843703472228,0.417969609607135,0.261044809937274,-0.0149515063527684,-0.190576693166417,-0.0543441506076142,0.287630081555996,-0.4395513460185,0.039209066020112,0.218511118072172,0.217711474627691,0.339039023467353,0.494361892919938,-0.204423025214499,0.0698579717413372,0.433499937442387,-0.065150097727519,0.237156534244774,0.414246262312687,0.173352287734258,0.188295251376529,0.266765872803075
"Mmus_C57-6J_LVR_GC_I_Rep2_M32",0.333205918179086,-0.228726530899591,0.346682478993693,0.346159746966082,0.25899161630339,0.427655468854058,0.197068958728695,0.158108071797078,0.266776858851205,0.208013965158613,0.0176751799118781,-0.323849204171179,-0.292576552034425,0.407259537516293,0.413655444350722,0.322993861567439,0.424183412642931,-0.214936572412902,0.241716722591833,0.0311184721907288,0.31772975426764,0.337244590021506,0.219941614646841,-0.10475428992307,0.0187862359189922,-0.45558446273647,-0.327025863989266,0.2237316466839,0.296413426629301,0.208784617787528,0.335325460103964,-0.0277637283399415,-0.361087979734119,0.636351028261053,0.211090118355425,0.25096719560464,0.0183455886707731,0.248176460535973,0.331156643622483,0.24945395016086,0.308767711239574,0.0219961417392638,0.128973440516476,0.308708948996267,-0.0238063452526486,-0.0485395459522202,0.449244563062809,0.123756721308738,-0.0138331585565166,0.148234321214085
"Mmus_C57-6J_LVR_GC_C_Rep1_M36",0.0503417198302702,0.132602042847349,-0.277893838638676,0.289211198110926,-0.295265889868354,-0.256269913625045,0.0552382179631615,0.12990006606164,-0.320458022972198,0.0502640723033382,-0.115202860603337,0.294989624738516,-0.00167797672420145,0.0211501541289788,-0.280574159136478,-0.125326233026282,0.00531772757086532,-0.23266452330039,0.0188198522581613,-0.408230461259359,-0.173428344859828,-0.0096514871933816,0.00835483593060904,-0.112097451314888,-0.0143726831310892,0.0254898932680938,-0.0747316391836572,0.117612965570726,-0.105899949202168,-0.400670645776672,-0.144096227390654,0.180321230093942,-0.00868541012364665,-0.169179310787241,-0.27213226190904,0.553185098963875,0.0210080006039761,-0.190904047012849,-0.0891991967386011,-0.305901767466699,-0.212502731760634,0.328525141654127,-0.154609978799075,-0.152755108953112,-0.0210742428417846,-0.215035532737332,-0.231371390322804,-0.17120385419818,-0.428124218833752,0.0838707578412388
