"","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_BRANCHED_CHAIN_AMINO_ACID_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_GLYCINE_METABOLISM","MITOCARTA_METABOLISM_AMINO_ACID_METABOLISM_LYSINE_METABOLISM","MITOCARTA_METABOLISM_CARBOHYDRATE_METABOLISM_TCA_CYCLE","MITOCARTA_METABOLISM_DETOXIFICATION_ROS_AND_GLUTATHIONE_METABOLISM","MITOCARTA_METABOLISM_DETOXIFICATION_XENOBIOTIC_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM","MITOCARTA_METABOLISM_LIPID_METABOLISM_FATTY_ACID_OXIDATION","MITOCARTA_METABOLISM_LIPID_METABOLISM_PHOSPHOLIPID_METABOLISM","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CLUSTER_BIOSYNTHESIS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_FE_S_CONTAINING_PROTEINS","MITOCARTA_METABOLISM_METALS_AND_COFACTORS_HEME_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_NUCLEOTIDE_METABOLISM_NUCLEOTIDE_SYNTHESIS_AND_PROCESSING","MITOCARTA_METABOLISM_VITAMIN_METABOLISM_FOLATE_AND_1_C_METABOLISM","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_RRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MT_TRNA_MODIFICATIONS","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_GRANULES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_MTRNA_METABOLISM_MTRNA_STABILITY_AND_DECAY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_MT_TRNA_SYNTHETASES","MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA_TRANSLATION_TRANSLATION_FACTORS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_APOPTOSIS","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_AUTOPHAGY","MITOCARTA_MITOCHONDRIAL_DYNAMICS_AND_SURVEILLANCE_FISSION","MITOCARTA_OXPHOS_COMPLEX_I_CI_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_COMPLEX_I_CI_SUBUNITS","MITOCARTA_OXPHOS_COMPLEX_IV_CIV_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_ASSEMBLY_FACTORS","MITOCARTA_OXPHOS_OXPHOS_SUBUNITS","MITOCARTA_PROTEIN_IMPORT_SORTING_AND_HOMEOSTASIS_PROTEIN_HOMEOSTASIS_PROTEASES","MITOCARTA_SMALL_MOLECULE_TRANSPORT_SLC25A_FAMILY"
"GSM7708682",0.437003130391474,0.247605186223382,0.492071117718746,0.598407242622463,0.395949640850835,0.548345149320974,0.59234467540649,0.243708967107751,0.224159898247083,0.530657350241771,0.524941859699709,0.293312788499392,0.429198833808546,0.0712278771472298,0.0511420654582711,0.0153994612150796,0.0787650549557411,0.329120322791216,0.541439657870646,0.283227931009422,-0.292231842979034,-0.107727184426477,0.382114611803403,0.237452574518627,-0.0666491532627174,0.557405522329034,0.760880060693746,0.358393534009417,0.385171432937395,0.733834121878849,-0.0383391084252,0.137657356633068
"GSM7708683",-0.303532841721291,-0.0584196863097223,-0.110752584005883,0.512120749083982,-0.0880025315835208,0.273687169839595,0.0311459897236683,-0.4148463341973,0.100427910018411,0.517072581541369,0.395251107493335,-0.0439426565830109,0.0054511811750321,-0.190703052178046,0.174083676631237,0.23022076185866,0.0630733004372964,0.189389590353123,0.404910614881284,-0.152534091569313,-0.24412387810645,0.183077426517902,0.401205640816537,-0.0368848386083373,-0.217118743224402,0.363511379275722,0.64962317895617,0.209304406615757,0.24855129137921,0.666644134491653,-0.31392890819701,0.229493328123994
"GSM7708684",-0.3836577457545,-0.553072070606482,-0.616433007858843,-0.366708787286576,-0.41107176018263,0.187746892057034,-0.22663022192943,-0.440018174769902,-0.213827511988248,-0.121728841400392,-0.0301391613236649,0.000208135939253173,-0.176821471931312,-0.240828168630748,-0.0327545731744399,-0.269627982203415,-0.403959011171141,-0.359944488173064,-0.504130503808271,0.0303631981948005,-0.125577090687258,-0.0300428454351251,0.0565393892722054,-0.172304900408775,0.21670605395606,-0.446354626741046,-0.434771200388753,-0.44494788799585,-0.308297612879559,-0.364677301949928,0.356980190571125,0.00365652448279133
"GSM7708685",-0.137366365575235,-0.0824186345726905,0.333506969533132,-0.134066522693368,0.0713439361068684,-0.240789452562602,0.166804673891543,0.360412770226966,-0.124148792698026,-0.192405977585549,-0.293455494994803,0.400837343870864,-0.163580052491947,-0.196222221403028,0.295331619544957,0.34838844542791,0.509436560635935,0.447342495518528,0.231389342727109,0.234036171457739,0.579804635616496,0.262538464617445,-0.228203634642261,0.0909929831948332,-0.00997175477796078,0.118264250874067,-0.479302090925347,0.0278134725932222,-0.0701061383121093,-0.44311110212451,0.194265027721448,-0.113986885126161
"GSM7708686",0.471027166649564,0.130502229930275,0.303348040211757,0.328315080380754,0.239691109555561,-0.0915107538678941,0.142382032444293,0.297591566887793,0.188778333397382,-0.133388356013595,0.292144599448451,-0.234833431086705,0.438202357148419,0.210074893485563,-0.108431170216396,-0.109056757440288,0.0501589457077875,0.211132800797803,0.129733227011642,0.429309587961078,0.250810339935596,0.0239957462056913,0.298472530064885,-0.424274510421042,-0.220776047078879,0.0694194125722634,0.570071228170221,0.211844581302726,0.194281698035646,0.501068742967542,0.211083284894293,-0.0789796151114817
"GSM7708687",-0.173780192323956,-0.418408536579694,-0.401607409716263,-0.0511444148991365,-0.17409896027464,-0.273511439782499,0.00678296296545991,-0.065466584318386,-0.143345749348013,-0.294484487766625,-0.371771938478271,-0.108599881349459,-0.103752634834894,0.0730216049259959,-0.210414549572477,-0.205584070843797,-0.0729183314166828,0.0423619471880196,-0.29164673692789,-0.311677052454358,-0.340695672298979,-0.148101982658415,-0.248673283512854,-0.38411214951671,0.209345324969786,-0.274410895808241,-0.440825680285422,-0.061766044028248,-0.146463444790732,-0.38555428271501,-0.0849647760899944,0.0890078327682221
"GSM7708688",-0.116468083463682,-0.0469043351322084,-0.283344686768142,-0.58368912307708,-0.101421721270305,-0.221647841160349,-0.439873500253435,-0.191719945314713,-0.246769873682246,-0.308695799191782,-0.294134172927325,0.101930605006929,-0.0452342664336592,-0.0213046277907015,-0.0530586881078082,0.0554310297801817,-0.177092437178592,-0.351213597841819,-0.443891794402635,-0.217102865173681,0.36664195661434,-0.435627529306677,-0.598162897131419,-0.135154732979099,0.073188829728501,-0.478712560968761,-0.559943591613648,-0.396113387213629,-0.360249076269798,-0.575166894822907,-0.38185596078538,-0.2444596115792
"GSM7708689",0.120112725259768,0.625293608108848,0.375067370695932,-0.178542105980441,0.0279334136435301,0.0619943540546051,-0.299266941527735,0.0086913757096399,-0.323264606991864,-0.324715944857196,-0.185677281990855,-0.128983673552973,-0.0778577501655238,0.220961221334743,-0.0195890772912142,0.458146625477076,0.332294078557129,0.319718915423063,-0.00284872506572553,0.387413613130313,-0.292743881455709,0.398246166278993,-0.217492398463668,0.363016313013992,0.37040024044181,-0.122099745849076,-0.112777868786498,-0.164729409870427,-0.0337985501054735,-0.0717621524314681,0.166513401512427,0.0505200768083028
"GSM7708690",0.325361052008009,0.2559836185075,0.0579617629875235,-0.420364942765073,-0.0149307798070389,-0.237443816088008,-0.12628068164547,0.315899146950763,0.276149248528749,-0.173133934550897,-0.417222766891119,-0.393901101295153,-0.239536652181922,0.306512026437153,-0.236074338198532,-0.371997988101459,-0.470170398419098,-0.554988001478203,0.0269331867110569,-0.304918885873426,-0.0191280175182439,-0.269426804524641,0.131199059692119,0.130550590451492,-0.208538165452315,0.109029925857455,-0.395955709079859,0.294855667513556,0.110341082882532,-0.421701112066935,0.0389528256069672,-0.0486502662542116
