module,condition,duration_days,mission_RR-3,mission_RR-7
MEblack,0.1975,-0.0,-0.0,-0.0
MEblue,0.0207,0.0,-0.0,0.0
MEbrown,-0.066,-0.0,-0.0,0.0
MEgreenyellow,0.0497,0.0,-0.0,0.0
MEmagenta,-0.2551,-0.0,-0.0,-0.0
MEpink,0.0415,0.0,-0.0,0.0
MEpurple,0.1858,-0.0,-0.0,-0.0
MEred,-0.1544,-0.0,-0.0,-0.0
MEturquoise,0.0018,-0.0,-0.0,-0.0
MEyellow,0.2113,-0.0,-0.0,-0.0
