,MEblack,MEblue,MEbrown,MEgreenyellow,MEmagenta,MEpink,MEpurple,MEred,MEturquoise,MEyellow
Mmus_BAL-TAL_KDN_BSL_Rep1_B1,-10.106577675210017,-5.238672967587287,-1.27487687112829,5.773032671833045,-0.3461599466369864,5.699641873785644,0.2899045404992939,-2.5634546180488686,-2.9222152931181578,-7.958178657381687
Mmus_BAL-TAL_KDN_BSL_Rep2_B2,4.993709045219651,-0.3627946391705892,7.358720134523333,16.353440574363784,-0.12965489845993358,18.03319385103718,-0.8333572488908293,-3.570278021909571,0.08848250236962955,-5.883916869280574
Mmus_BAL-TAL_KDN_BSL_Rep3_B3,-10.71793697091211,-6.704871797203952,-6.328018540925452,-11.332256500099211,1.327346381586399,-14.661800725564982,1.3643095237347649,-0.6193695713148837,-3.3388565274547872,0.198174104902142
Mmus_BAL-TAL_KDN_BSL_Rep4_B4,3.2352320286819136,-3.782146895969966,0.2930771011537236,-7.429246355762871,0.5520103715208463,-13.781924456471716,0.5454814258217285,-1.4922531147475755,-1.4477101710463316,-1.7950172709521308
Mmus_BAL-TAL_KDN_BSL_Rep5_B5,-12.684764701526406,-6.8284570048041875,-2.654798742412649,2.3385813166626828,0.7505873840346972,5.850145030644374,1.6704484971746034,0.31025642343032767,-2.3162216344105726,1.098530066396192
Mmus_BAL-TAL_KDN_BSL_Rep6_B6,12.731106708864607,1.3762239778727603,3.4092438351549257,1.1356360316164584,-0.5824151762830029,4.326744225917689,-1.3681215336489136,1.850343307266185,1.1090088615934535,3.3442265216881464
Mmus_BAL-TAL_KDN_FLT_Rep1_F2,-0.7874632088343332,-1.184336458078589,1.7193164267187784,-2.0740195567860424,-2.1789300236069518,-1.868319760534501,-0.6510235624532894,2.761551741414563,-1.4573074083894288,4.555950641234753
Mmus_BAL-TAL_KDN_FLT_Rep2_F3,0.7074759660373027,-2.0335849624404023,-0.837198954715994,-9.926616397596971,-0.5808874030681993,-12.03892608827745,-0.6400390000488861,-1.1014896882873362,-3.5202183918327967,-5.230453810690299
Mmus_BAL-TAL_KDN_FLT_Rep3_F4,0.5616754840160204,-0.2759262026790267,-2.280614501086893,-0.38283443754864865,0.48258985927330783,-0.45486272245900855,-1.361246759998834,2.6645245822966577,-1.8923612235021385,4.6888397934102
Mmus_BAL-TAL_KDN_FLT_Rep4_F5,4.659947751048588,-5.988821220442883,-0.6354005390080499,-6.450798536753245,-1.1279103473126422,-12.104193829452997,1.0133835567667036,-3.887116586243673,-3.293989950834734,-8.32820702154917
