module,condition,duration_days,mission_RR-3,mission_RR-7
MEblack,0.018447,1.0,1.0,1.0
MEblue,0.806847,1.0,1.0,1.0
MEbrown,0.435143,1.0,1.0,1.0
MEgreenyellow,0.557125,1.0,1.0,1.0
MEmagenta,0.002182,1.0,1.0,1.0
MEpink,0.624155,1.0,1.0,1.0
MEpurple,0.026873,1.0,1.0,1.0
MEred,0.066628,1.0,1.0,1.0
MEturquoise,0.982751,1.0,1.0,1.0
MEyellow,0.011606,1.0,1.0,1.0
