gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEgreenyellow,kMEmagenta,kMEpink,kMEpurple,kMEred,kMEturquoise,kMEyellow
Rps2-ps10,turquoise,0.9448924409502337,0.2789369537413118,-0.9265055400185227,0.08005816439713505,-0.04807852151815799,-0.10091005479155758,-0.0380999745950124,0.1630520249903812,-0.17267392253316644,0.9448924409502337,0.008702636635442173
Rprl3,turquoise,0.9143631315665672,0.0783507419772131,-0.9069809007692266,0.34425493534445284,-0.11553848986118707,0.07541875350130452,-0.0006769986881935583,0.20720342157698993,-0.2153583660665333,0.9143631315665672,-0.19769900991360775
Gm13394,turquoise,0.9544961420264806,0.10367431473880054,-0.955467565112473,0.26241180570831174,-0.12357778573649228,0.11261060923714507,-0.027263665540260128,0.11108446137666814,-0.12632596376452643,0.9544961420264806,-0.21152412975199572
Gm25939,blue,0.9703031596033329,-0.13822610100479166,0.9703031596033329,-0.16935254967190386,0.15985001357301376,-0.17004347108886075,0.10797233289809866,0.030365985372655935,-0.0023525081028901267,-0.9573650037020651,0.23108473628845058
Gvin1,blue,0.9823069602502105,-0.2072839587229261,0.9823069602502105,-0.1027487744659684,0.06798803126663737,-0.049369051942056257,0.06534747128103419,-0.028283381156251168,0.02229271181992663,-0.9826925383540964,0.07716703728383952
ENSMUSG00000102204,blue,0.9853822291185118,-0.2470519565737449,0.9853822291185118,-0.0895037489780803,0.07132817341782993,-0.017093844540514037,0.06281978137979506,-0.04996125479385982,0.048809781568072114,-0.9783694985955246,0.05284555491246351
Gm22513,blue,0.9805029517728584,-0.3054502373002605,0.9805029517728584,0.004060212453279109,0.07125577221615056,-0.021534190933697097,0.11518984134076377,0.056667856503953486,-0.03391026199560029,-0.9714010199469809,0.054521266441308
H2-Ea,turquoise,0.9932886188577462,0.3030417550816687,-0.9904654310816216,0.04150759119621577,-0.06418055584820848,-0.005200144103973877,-0.09201728300762109,0.02450430424164663,-0.024840236299022832,0.9932886188577462,-0.02734593645820005
ENSMUSG00000094497,turquoise,0.9771637431821748,0.23973682811104005,-0.969801268278032,0.13251991188467183,-0.07723282376338356,0.013563008673590943,-0.06367035058543412,0.09388737296725723,-0.09221341655788633,0.9771637431821748,-0.07298566018079632
ENSMUSG00000083833,turquoise,0.941268654168376,0.2137616379789912,-0.9333095881835756,0.12894803267698007,-0.09188045760790099,-0.0026757089233678255,-0.07889456111679649,0.09783720276656352,-0.10158046879706005,0.941268654168376,-0.07025269517955798
ENSMUSG00000098915,turquoise,0.9705283057047112,0.1695415730247362,-0.9626386395533324,0.1927934531483496,-0.09322382562264567,0.07302774077472163,-0.034767863120583054,0.09169640811855871,-0.09581739367789907,0.9705283057047112,-0.13157128876150198
Spink6,turquoise,0.9876927517444247,0.3052149766256876,-0.9863982948655651,-0.007638701394296548,-0.06336080455309463,-0.014477351937981366,-0.11185196569570459,0.0022721853966712257,0.012429233127329648,0.9876927517444247,0.02137007885194329
ENSMUSG00000108884,blue,0.9823056650184019,-0.21516026038064487,0.9823056650184019,-0.13194032486182353,0.07564054390424685,-0.029245564912540524,0.07983322975398364,-0.07328707496807632,0.07963807338441742,-0.9713239144091612,0.09745098030467059
Gm3375,turquoise,0.9747346232392557,0.1771871781416557,-0.974222056649509,0.20081814358763128,-0.09626121028586836,0.057517443107101836,-0.04491442003248246,0.10856566727801151,-0.11487659245980836,0.9747346232392557,-0.14527374030723628
Trim12a,blue,0.9894399954196451,-0.2352547555880719,0.9894399954196451,-0.07863098680094956,0.08112171123041194,-0.032332817303779696,0.08947822461584126,-0.03063266560980714,0.02462974072301454,-0.9813969759024109,0.06227316751171995
Rps3a3,turquoise,0.9846834344016575,0.26894977600722453,-0.986048995700852,0.02516072515146626,-0.06747936956107858,0.023909339428575024,-0.10455521256463943,-0.015077745439435226,0.021095036067307043,0.9846834344016575,-0.022248490353756544
Gm10240,turquoise,0.8497461358294536,0.021811499831601758,-0.8454351150603329,0.34469505443595144,-0.13154019253690635,0.1039655446745347,-0.005337540132257817,0.19760294117954644,-0.20300128858772154,0.8497461358294536,-0.22554351880680673
Gm13370,turquoise,0.8497461358294536,0.021811499831601758,-0.8454351150603329,0.34469505443595144,-0.13154019253690635,0.1039655446745347,-0.005337540132257817,0.19760294117954644,-0.20300128858772154,0.8497461358294536,-0.22554351880680673
ENSMUSG00000104222,turquoise,0.9755574562494037,0.35712640693951675,-0.9700204294193536,-0.06403514495360693,-0.044266201209183155,-0.06614819811548248,-0.10630110027126818,0.0003327696043090777,0.010723756423119719,0.9755574562494037,0.06669312522523162
Gm16867,blue,0.9684621756613404,-0.2964482418231497,0.9684621756613404,0.030653633762266277,0.06292990152010688,0.0061335641815217995,0.1016882749431864,0.03074681173022038,-0.030769269971477956,-0.9593153665638723,0.0006405156051936879
Gm32687,blue,0.9798676726563658,-0.2107531475807671,0.9798676726563658,-0.13635418491780502,0.09836527313842558,-0.06611575161856757,0.0710098470101881,-0.038704773562970446,0.04724455219848061,-0.9775447875170998,0.12286197852662661
Azgp1,blue,0.9757344325929848,-0.3167655493738937,0.9757344325929848,-0.025489248168558163,0.06417705335830828,0.028616696687971892,0.11633468915913345,-0.03786254702781838,0.02862948625283661,-0.9721868076339921,-0.00044048236516569
Gm25360,blue,0.9690146756847593,-0.15747751152978132,0.9690146756847593,-0.155203533397996,0.1389887085931466,-0.12346050622686462,0.09978754467804961,6.136181511079545e-05,0.030333602792942987,-0.9591673964438481,0.20685855238240422
Rps15a-ps8,turquoise,0.932487565823739,0.45924228505844467,-0.9094098078474095,-0.13580488865428375,0.030299601482923648,-0.2556826279511342,-0.09490778986999401,0.1192859450506627,-0.09248721492987791,0.932487565823739,0.2352387655217494
Rps18-ps6,turquoise,0.9336876271917545,0.020117650531027376,-0.9415104883516253,0.3129944180792345,-0.15806184510466967,0.23625616812926048,-0.06088081713667096,0.04743263391858021,-0.05954003043158703,0.9336876271917545,-0.3060890865655248
ENSMUSG00000090602,turquoise,0.9664671954989277,0.32992038850671473,-0.9643535774380025,-0.0684293574742086,-0.0668865447281168,0.0009455401175915973,-0.11218944777722163,-0.061928496373629606,0.0896699264500127,0.9664671954989277,0.058428906825654846
ENSMUSG00000062038,purple,0.9655481498622632,-0.0057878162405058525,-0.004885337899761612,0.44119646275114993,0.20723939899824007,-0.5474500785384183,0.2798708841300396,0.9655481498622632,-0.8897270489714304,0.06288953360080289,0.12640209272180056
Gm15772,turquoise,0.9666757123816214,0.1292480571195198,-0.9729417367435313,0.17429464487980123,-0.1526371021578909,0.16673769700973348,-0.11154277137803698,0.0012705790421227558,0.003657116084374572,0.9666757123816214,-0.18760858987555318
ENSMUSG00000100690,turquoise,0.971090221075192,0.23063549679811576,-0.98373867714908,0.03960890234442135,-0.10751323622107226,0.10454642483100007,-0.11190992324164106,-0.07222931371322419,0.08058922763873867,0.971090221075192,-0.08586839669081375
Gm24924,brown,0.4535676655409263,-0.41733004528425627,-0.13713656882444314,0.4535676655409263,-0.39197977357246905,0.6588155030350703,-0.05527028484995294,-0.21037366956352985,0.22469608549629358,0.09998167296684424,-0.5523148828956201
Lrrc31,blue,0.9823096092375541,-0.26547095594331827,0.9823096092375541,-0.05402771185517627,0.07673947132134709,-0.047635333555029157,0.10303724242390187,0.017619583373916562,-0.011532592133626108,-0.976701639407951,0.061698371072331816
H2-Q6,blue,0.9792265245542483,-0.23366530154924142,0.9792265245542483,-0.0505839083723986,0.0847656731329408,-0.07579697021027144,0.11398015658077572,0.03423205431245454,-0.027981086334742125,-0.9729762770332895,0.07778004568292674
ENSMUSG00000096403,turquoise,0.982812746051639,0.2195391673728469,-0.9829605276668077,0.14040666324023454,-0.07612730752319397,0.02717356799030782,-0.0849246146520102,0.08181580443986791,-0.08793280077493836,0.982812746051639,-0.09161430524334199
ENSMUSG00000098371,red,0.7965574915759465,0.030451450493998132,-0.06112208695573375,-0.36276187175139796,-0.09168567351907457,0.4004967240720914,-0.18429491460920155,-0.7367432211467442,0.7965574915759465,-0.0007161765616458462,-0.011239225866426027
