gene,ensembl_id,beta_intercept,beta_Sex,t_Sex,p_Sex,beta_HZE,t_HZE,p_HZE,beta_SexxHZE,t_SexxHZE,p_SexxHZE
GNAI3,ENSMUSG00000000001,7.933223272686671,0.006905618432782877,0.03768820447385023,0.9708597770236311,0.23385012836890187,1.276263891495036,0.23766455236357076,-0.0720480704848528,-0.27804188630776316,0.7880309704840378
CDC45,ENSMUSG00000000028,3.5165119113114356,0.8793736955560291,2.1280722535012773,0.06599072913834991,0.7346616630020459,1.77787112424055,0.11331788603310189,-1.2111600394016737,-2.0725233600839545,0.071946407335852
H19,ENSMUSG00000000031,4.691534423986577e-15,0.5288696794498619,0.5621726332455007,0.5893984910213272,0.5728472800732353,0.6089195058814572,0.5594676505637568,1.0089075874806825,0.7583285751048076,0.4700024323102501
SCML2,ENSMUSG00000000037,2.245066913209389,-1.2422687454135313,-1.8020857628278533,0.10920429269773968,0.03412833790604093,0.04950796039626805,0.9617282281062582,1.2947141025140578,1.3280633060707372,0.22079582478030613
APOH,ENSMUSG00000000049,0.8186243665382013,0.12937207139880563,0.234150826066687,0.8207490011343765,-0.4341387474240569,-0.7857487728053683,0.4546551514078909,-0.25399920901625767,-0.3250667347533285,0.7534687049758477
NARF,ENSMUSG00000000056,8.176482493507198,0.30279390306398096,0.9426000745246618,0.3734755214610348,0.4287141434880826,1.3345908867796987,0.21874443096490648,-0.8251740927709021,-1.816397645026237,0.10683961565039324
CAV2,ENSMUSG00000000058,2.133121752171515,-0.26951743485970575,-0.3768713180507302,0.7160693424932443,0.3503994111315043,0.489970112642509,0.6373084714657871,0.09075536565677117,0.0897353446250209,0.9307034704130197
KLF6,ENSMUSG00000000078,9.393738771088575,0.08469326148147774,0.49665907035230916,0.632787863638302,-0.058691098328560044,-0.3441769253412637,0.7395852399129015,-0.10007190505784552,-0.4149604284043615,0.6890758572235647
SCMH1,ENSMUSG00000000085,6.265918720844302,-0.2715407151871489,-1.3296887341005355,0.22028347297229822,-0.1950996161069516,-0.9553696630207271,0.36736463017539656,0.31628550495612046,1.0951644125459,0.30531712942082034
COX5A,ENSMUSG00000000088,7.013988063938742,0.13573696338029895,0.5409431824741,0.603278750823359,0.20154980935184172,0.8032225900941148,0.4450529090094264,-0.3582035933613047,-1.0094119989245123,0.342329170931414
NGFR,ENSMUSG00000000120,3.327592616177957,0.3576703159061494,1.0126197177729954,0.3408850336075042,-0.28966980055675684,-0.8200997920221894,0.4359107394131043,0.12386074580728189,0.2479603121077374,0.8104110815147276
FER,ENSMUSG00000000127,6.012505004122626,0.2345904938436819,0.6938320467761493,0.5074299991461082,0.14332920747849842,0.4239148644014356,0.6827963107413548,0.3363851135027273,0.7035026148498632,0.5017006690408867
XPO6,ENSMUSG00000000131,8.81689216517883,-0.11103030546019489,-0.7206822708571478,0.491624180818633,-0.10016535973173796,-0.6501594192098472,0.5338104370219141,0.4797020735497779,2.2017038488368446,0.05883736766893222
TFE3,ENSMUSG00000000134,7.0608288262124645,-0.12183477823302052,-0.7292566038561458,0.48664394343685946,-0.05465122763440002,-0.3271214446256538,0.7519712719267684,-0.34743953103912206,-1.4705280934159193,0.1796220383619056
AXIN2,ENSMUSG00000000142,4.970603337013981,0.014725084727997665,0.05297269092948895,0.9590525677073478,-0.2802182087899118,-1.0080697558785143,0.3429348448832812,-0.11623526153125949,-0.29567672001067646,0.7750062232853359
BRAT1,ENSMUSG00000000148,5.758129645840154,-0.42539037770028326,-1.7278377957434652,0.12228262364873466,-0.2665818251522369,-1.0827940106366105,0.31045342980503143,0.674652287556761,1.9376721947389277,0.08866440692820654
GNA12,ENSMUSG00000000149,5.738080859980501,0.23060900922609007,0.5735753065368004,0.5820164643225194,-0.019718467489982898,-0.049044163855344054,0.9620864379280041,-0.5146919746670412,-0.9052042299463945,0.39180265050123264
ITGB2L,ENSMUSG00000000157,0.19053034560513665,2.577377710097512,2.0241008758239647,0.07756374815085776,1.284871829519946,1.0090528001634946,0.3424911756275941,-3.338977507784068,-1.8541829370805971,0.10082720309887216
IGSF5,ENSMUSG00000000159,1.0162986603982151,0.2006129140467375,0.34096361331703595,0.7419127708030684,0.5323959694641689,0.9048652442266942,0.3919717268644962,-1.2826852830735325,-1.5415380978008588,0.1617559423301964
PIH1D2,ENSMUSG00000000167,1.7565662767014905,1.0928783512333315,1.2729741543475468,0.23877177860330745,0.722933829960319,0.8420663469126513,0.4242070545700829,-0.5930897071994456,-0.48848715953554456,0.6383128984757667
DLAT,ENSMUSG00000000168,5.206022289095501,-0.05966118289243159,-0.1354979245766922,0.8955655558686013,0.0931339080544879,0.21151862295208512,0.8377716602557035,0.13424404395092351,0.2155861276731112,0.8347053106221227
