gene,iss_delta,linear_mars_delta,linear_mars_over_iss,cap5_mars_delta,cap5_mars_over_iss,sqrt_after5_mars_delta,sqrt_after5_mars_over_iss,log_after5_mars_delta,log_after5_mars_over_iss,linear_extreme_gt5,min_bounded_abs_over_iss,max_bounded_abs_delta,max_abs_delta_shrink_frac,bounded_sign_stable,robust_regime_flag,saturation_sensitive_flag
GNAI3,0.08444056843599551,-0.9029504364218559,,-0.7296440520537673,,-0.9590912809928467,,-0.9179723051240436,,False,,0.9590912809928467,-0.062174890565933394,True,False,False
CDC45,-0.03602782015297723,-5.092450819702765,,-2.9239683383579105,,-4.111177025394074,,-3.87179458717983,,False,,4.111177025394074,0.19269185487508855,True,False,False
H19,0.32864267219776266,2.372915010705089,7.220349672903017,1.9874324470284217,6.047396200066413,2.508622488698619,7.633282896352061,2.4153919348675568,7.349599243198949,True,6.047396200066413,2.508622488698619,-0.05719019744967846,True,True,False
SCML2,0.022833970723003222,1.670147116626429,,0.38225599171380353,,0.7558414941821949,,0.6678371487402206,,False,,0.7558414941821949,0.5474401705947093,True,False,False
APOH,0.42878454613899275,2.463942293235079,5.746341176289453,-0.05947018061099607,-0.1386947854032932,0.4165033676497458,0.9713581597102011,0.285903690082697,0.6667770390913758,True,0.1386947854032932,0.4165033676497458,0.8309605834547001,False,False,True
NARF,0.03528045686786768,2.284726495389162,,1.1981218612513391,,1.7250817833837648,,1.6162305379604276,,False,,1.7250817833837648,0.24495041885093205,True,False,False
CAV2,-0.05134077495075459,4.467149389587075,,1.83925129866934,,2.8755116942436425,,2.6511758305478166,,False,,2.8755116942436425,0.35629829149066283,True,False,False
KLF6,-0.029397174150398483,1.0375976191880767,,0.2039996832895712,,0.441884884216309,,0.3855640429916881,,False,,0.441884884216309,0.5741269293176624,True,False,False
SCMH1,-0.01040996491135282,3.6758829243852045,,2.1618146825958777,,3.0255529021768606,,2.8527244287855855,,False,,3.0255529021768606,0.1769180454290753,True,False,False
COX5A,0.053651567169395405,-0.46440241834424145,,-0.1556272628423119,,-0.2698135523611745,,-0.24469176210539942,,False,,0.2698135523611745,0.41900915735289446,True,False,False
TBX2,-0.27707161023880555,2.254374865016074,-8.13643398207795,1.1632845135772887,-4.198497682872179,1.7300827996515085,-6.244172032495013,1.614628205434971,-5.827476167779649,True,4.198497682872179,1.7300827996515085,0.232566497036786,True,False,True
TBX4,0.3787163635773554,3.8508019991962836,10.1680370048487,1.738667716297239,4.590949543013618,2.5715488048449586,6.790170830101199,2.39124182438308,6.314070513867967,True,4.590949543013618,2.5715488048449586,0.3322043549936671,True,False,True
NGFR,0.38046890798576444,2.4818335887050544,6.523091733945089,0.965731580579727,2.5382667553372342,1.4780491580781678,3.884809315702271,1.36259893644915,3.581367380748318,True,2.5382667553372342,1.4780491580781678,0.404452754284235,True,False,True
WNT3,0.09913857189355307,2.6262365507840535,,1.1970905985046016,,1.78952687650367,,1.6628059722170976,,False,,1.78952687650367,0.31859646231432837,True,False,False
WNT9A,-0.18155856427967837,-2.9354172302470114,16.167880826184575,-1.0706055167024704,5.89675029073967,-1.7155166532698582,9.448833548976648,-1.5711009363949513,8.653411325586267,True,5.89675029073967,1.7155166532698582,0.415579960629481,True,True,False
