gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_HLUxIR,t_HLUxIR,p_HLUxIR
GNAI3,ENSMUSG00000000001,12.45316402880476,0.26297874297574086,3.4671281614821496,0.0029466947873009186,0.07383742613261286,1.1922612507030044,0.2495362837547579,-0.2523756006723581,-2.5773431286296633,0.01957520509560906
CDC45,ENSMUSG00000000028,7.696842560756785,0.6264450314139325,2.188375063388067,0.04289359179105112,-0.0372070323025824,-0.15918767845174436,0.8753969388272802,-0.6252658192643273,-1.6919171853726744,0.10890869564536088
H19,ENSMUSG00000000031,12.759895265464996,-0.07858883242913446,-0.19012075112474558,0.8514662484303077,-0.17041972402994102,-0.5049334848057795,0.6200882605914075,0.577651228656838,1.0824554001905293,0.2941658256823132
SCML2,ENSMUSG00000000037,8.163155399468915,-0.061206880844472074,-0.2909229397916049,0.7746297301811231,0.21132938635522952,1.2302212966864299,0.23536694521603518,-0.12728853478775434,-0.46864353689867516,0.6452777220662973
APOH,ENSMUSG00000000049,1.4203070234627901,0.5030577423072967,0.8112637881448905,0.42842707102293964,0.5601965556831191,1.106446240560201,0.28394534748162936,-0.6344697518514231,-0.7925575381134276,0.4389567944735542
NARF,ENSMUSG00000000056,11.347125199113234,-0.2332693097972604,-2.1796486839577995,0.04363443442189974,0.05742399707788036,0.6571551922625205,0.5198797698504762,0.21112576958724785,1.5280788547690811,0.1448851527225934
CAV2,ENSMUSG00000000058,11.5397577786026,-0.47852857840710344,-1.6660121781203885,0.11402882655580826,0.2748243688607917,1.171847670134088,0.25742022865793146,0.15236343459555712,0.4108910402649384,0.6862853175113006
KLF6,ENSMUSG00000000078,12.494872031304626,-0.08013368813734334,-0.5835483509628221,0.56718656140449,0.13902282067842617,1.2399193567200535,0.2318483022486073,-0.08828630669148133,-0.49800154375218925,0.6248637365873217
SCMH1,ENSMUSG00000000085,10.361957119186512,-0.5054485176147584,-4.400081555552699,0.000391115981889012,0.006108253934009961,0.06512481639792653,0.948834334188466,0.48893029876939575,3.2969045609837044,0.004258457991461739
COX5A,ENSMUSG00000000088,10.900610676293022,0.09677741979207514,0.9162588786729281,0.3723466380391569,-0.0366144123498849,-0.4245627177891931,0.6764800292189754,-0.00651144027279488,-0.047752580285091654,0.9624699484243382
TBX2,ENSMUSG00000000093,7.034104988153695,-0.5818818641030402,-2.1763591933302844,0.04391674379793864,0.036162629611140355,0.1656537934393234,0.870383462413691,0.26864762425309446,0.7783131754377797,0.447082702541473
TBX4,ENSMUSG00000000094,4.981035852062389,0.03536851634464346,0.09846381610092991,0.9227156945264894,0.2208848300480159,0.7531324167292649,0.4616736993103123,0.12246301718469617,0.2640829736317464,0.7948907261191471
NGFR,ENSMUSG00000000120,9.388621258005527,0.2138385751938573,0.6850050011641307,0.502574610132736,0.20737337217772134,0.8135913258458519,0.427128190467426,-0.040743039385814216,-0.10109664403313096,0.9206565304624537
WNT3,ENSMUSG00000000125,9.902387604468936,-0.1601364700997343,-1.0182351179994302,0.32283942380760955,0.1329741689888977,1.035549193410432,0.31491939541756775,0.12630087300438975,0.6220707740646437,0.5421493208670762
WNT9A,ENSMUSG00000000126,8.002133516964177,0.03717184824294033,0.18208524160976863,0.8576694263364484,-0.2466458459407854,-1.4797216436790301,0.15724056172174317,0.02791543341816675,0.10592063888217429,0.9168851457262983
FER,ENSMUSG00000000127,11.10079643249854,-0.10230335526341766,-1.0553774944183318,0.30602143543571736,0.09837092311962668,1.2428832281371873,0.23078111126838774,0.05210000086925388,0.4163238651608117,0.6823818900466749
XPO6,ENSMUSG00000000131,11.915546793669591,0.0477115992343856,0.6897130113689312,0.49968228232972467,-0.026007200253728355,-0.46045127133079844,0.6510275461382726,-0.033593440951493136,-0.3761616882528207,0.7114499137176433
TFE3,ENSMUSG00000000134,10.532649491530677,-0.0006428562230879643,-0.00791951972158407,0.9937733983286141,0.09100139435864685,1.373025707075674,0.18758539776964311,0.027690034041614287,0.2642312060819425,0.7947783977258349
AXIN2,ENSMUSG00000000142,11.324634173004702,-0.5605177160734933,-3.038146915127394,0.007424923452035159,0.052682202692725055,0.3497268545601268,0.730838762321081,0.531970771936689,2.233483889147379,0.039245449697565604
BRAT1,ENSMUSG00000000148,9.698023292768609,-0.02208675908156066,-0.30860414652332724,0.7613723479001699,0.062004778161785554,1.061061485303681,0.3035045461906192,0.02845443732726926,0.30796076542156275,0.7618534474829264
GNA12,ENSMUSG00000000149,11.383160923244118,0.00850845893559931,0.06904334723233753,0.9457607475953238,-0.07882950248278842,-0.7834392862831231,0.44414774014231817,0.0060625008606668375,0.038106439245327854,0.970046736974367
SLC22A18,ENSMUSG00000000154,6.988705507438953,0.02776165207018767,0.17531256805673814,0.8629052029426245,-0.06818699320766874,-0.5273693846870618,0.6047521475308073,0.08169119002929072,0.39959366305441496,0.6944315358757245
