gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_HLUxIR,t_HLUxIR,p_HLUxIR
GNAI3,ENSMUSG00000000001,11.58546324075318,0.2116893039363713,1.2230178296831808,0.2380070618016381,-0.06463981551079467,-0.457382570904084,0.6531872117908897,-0.09615892181437814,-0.430327483524548,0.6723632865723563
CDC45,ENSMUSG00000000028,8.254164026968782,0.4115209511217182,0.8160356554845597,0.42576683024755724,-0.1183376085433473,-0.2873992314096019,0.7772805444705577,0.36579651673254515,0.5618655117442165,0.5815405821552964
H19,ENSMUSG00000000031,3.3529740406582325,-0.682222783740183,-0.971868524583547,0.3447421481830033,0.003494475179223762,0.006096897412053502,0.9952063857285087,0.9562349194055657,1.0551677818960863,0.30611458453744556
SCML2,ENSMUSG00000000037,4.329230568169108,0.47780410969466536,0.9620488617970137,0.3495106238604655,0.28040081628157987,0.6914681048565924,0.4986065244657374,0.08146651947352931,0.12705800634768047,0.9003852650710289
APOH,ENSMUSG00000000049,3.0014454481491923,0.6547013633989399,0.5786558843073492,0.5704091596465137,0.49498273115488395,0.5358124562588638,0.59902922709907,-0.2460231144654372,-0.16843357462984168,0.868229901484141
NARF,ENSMUSG00000000056,10.641490060196869,0.03218023267495158,0.09450663482030329,0.925811708118442,-0.2304421473152234,-0.8288590089400478,0.4186702434778913,0.7716140009952182,1.7552898592085684,0.09721187670394027
CAV2,ENSMUSG00000000058,8.088228575574465,0.4003994380442017,2.0823021594790605,0.05273305221096458,0.3745116611134302,2.3854002727107786,0.028968690238654116,-0.7824474780833203,-3.151962998145093,0.005818409838511895
KLF6,ENSMUSG00000000078,11.715350386058335,-0.016805025260981894,-0.16720084405399885,0.8691847959530736,0.010130061851362167,0.123440315321923,0.9032061351884924,-0.12016595717017461,-0.9260967736205854,0.36735700162945406
SCMH1,ENSMUSG00000000085,9.392248230877621,-0.1993489664198931,-1.0994508885312195,0.28689807737717055,-0.2754781449964544,-1.8607782698360418,0.08016238834368661,0.42770424329525125,1.8271787276340348,0.0852821773863981
COX5A,ENSMUSG00000000088,10.083612447143661,0.4365212278265969,1.853445398228013,0.08125596870701535,0.1248054576609876,0.6490133572084068,0.525001576654601,-0.32668224231498855,-1.07442370446919,0.2976468720298229
TBX2,ENSMUSG00000000093,7.006728601217769,-0.015837510162365558,-0.051810724540703006,0.9592834444707861,-0.07408112938364028,-0.2968150945727589,0.770203590177208,0.14732712149070581,0.37332845060526704,0.7135185489521918
TBX4,ENSMUSG00000000094,1.2526284505543426,0.5863406546328652,0.6800437888500668,0.5056329077159631,0.6513422261070827,0.9252130172972358,0.3678033655322859,-0.936608929446416,-0.8414354206990619,0.4117844718578876
NGFR,ENSMUSG00000000120,8.93871278344326,0.03253387166134845,0.0951446624514695,0.9253124448125531,0.0521727564866937,0.18686935769551621,0.8539750466520852,0.01581510943600865,0.035825850328474795,0.9718385380088914
WNT3,ENSMUSG00000000125,3.9499402852621732,-0.2652905397102861,-0.6597574793669442,0.5182486844765912,-0.09852777735673689,-0.30010060739387506,0.7677390673764188,0.3051954988545778,0.5879173927761381,0.5643167946462515
WNT9A,ENSMUSG00000000126,3.6207710124182366,0.7085792237174852,1.884407427074885,0.07672662428852273,0.7313927071086901,2.382224287800109,0.02915500512864555,-1.145849584071468,-2.36042186909072,0.030464631820024346
FER,ENSMUSG00000000127,8.586772974274766,0.1438685429033334,0.9377217613474392,0.3615197720651748,0.23727065415215295,1.894077768630992,0.07535864646186674,-0.19900035247795791,-1.0047028179859756,0.32912739571514393
XPO6,ENSMUSG00000000131,12.304424100565452,-0.09979264800485561,-1.2868799065713012,0.21538394407149486,-0.03392597086750877,-0.5358181090315886,0.5990254044888808,0.016705724227089182,0.1668708223332971,0.8694404718681239
TFE3,ENSMUSG00000000134,10.204158592494956,-0.04980851237168926,-0.4473265568621908,0.660286502015432,-0.020808899525723498,-0.22888422102075848,0.8216897278743474,0.16542961925188623,1.1508269049392745,0.26573405466399835
AXIN2,ENSMUSG00000000142,8.981051114369222,-0.32592775351028225,-1.9216630019087328,0.07157489238747305,-0.14397476604226692,-1.0396517680074666,0.3130633014483901,0.14738976729695719,0.6731298407163067,0.5099127147386096
BRAT1,ENSMUSG00000000148,10.02865912876961,-0.21365807063481507,-2.302450141958487,0.03421922635093111,-0.10822144883248479,-1.4283344321175448,0.1713108273446038,0.1773755299657368,1.4806085860654983,0.1570063347132935
GNA12,ENSMUSG00000000149,11.365259020323796,-0.16830322519143961,-0.7724554799016493,0.45045121998364923,0.1335655708610532,0.750794658566668,0.4630428887749982,0.14353730291605393,0.5102951336262859,0.6164065015396343
SLC22A18,ENSMUSG00000000154,4.376783158474348,0.05476131152411657,0.19866729171429,0.844879558256372,0.36469313881746984,1.620413127250239,0.12354336290629764,-0.1977323001094999,-0.5556557003289684,0.5856853662359032
ITGB2L,ENSMUSG00000000157,5.675731501394197,0.9309084315512022,1.1175999737838878,0.2792838600397791,0.15899696661365945,0.23378351677809453,0.817945128882329,0.7823143692249114,0.7275056181404987,0.4768170644547587
IGSF5,ENSMUSG00000000159,0.77193208429512,0.6541018727114647,0.8605675256026851,0.4014507132840759,0.9535480004752048,1.536482967528218,0.14282267402338666,-1.055748832712557,-1.0759096334111526,0.29700059695698844
PIH1D2,ENSMUSG00000000167,3.792355585240065,0.24478471110741856,0.6814427054220352,0.5047694772335098,0.6159323460654875,2.100021298914944,0.0509577463713875,-0.7001287876182029,-1.509727682469253,0.14947525419026597
DLAT,ENSMUSG00000000168,9.63485294584975,-0.04627980233656337,-0.23077386416751774,0.8202449173994251,-0.1011893886245753,-0.6179818614886757,0.5447781375113134,0.0469403645016042,0.18130810116882026,0.858269871539576
SDHD,ENSMUSG00000000171,10.439144221100232,0.4886895130347355,1.8256684827050342,0.08551892684443896,0.08963467250640869,0.4101196370497944,0.6868403063731137,-0.34683428733196087,-1.0036598435219757,0.3296155972812904
