gene,iss_delta,linear_mars_delta,linear_mars_over_iss,cap5_mars_delta,cap5_mars_over_iss,sqrt_after5_mars_delta,sqrt_after5_mars_over_iss,log_after5_mars_delta,log_after5_mars_over_iss,linear_extreme_gt5,min_bounded_abs_over_iss,max_bounded_abs_delta,max_abs_delta_shrink_frac,bounded_sign_stable,robust_regime_flag,saturation_sensitive_flag
GNAI3,-0.4824776045333219,-1.8961123984134618,3.9299490392874983,-1.524387532584806,3.159499048788544,-2.124724478567617,4.403778452313375,-2.009110294300911,4.16415244028628,False,3.159499048788544,2.124724478567617,-0.12056884409671209,True,False,False
CDC45,0.22003075623039392,-24.04885562904368,-109.2977001990674,2.74795136293029,12.488942046142466,0.4613380488149468,2.0966980103994204,1.906629406908967,8.665285888089835,True,2.0966980103994204,2.74795136293029,0.8857346309812928,False,False,True
H19,-0.9933411465612271,-102.97209888214977,103.66237142055489,-2.883576721964265,2.902906752576093,-12.690639199474633,12.775710785169226,-7.187536443028374,7.235718028907153,True,2.902906752576093,12.690639199474633,0.8767565259206874,True,False,True
SCML2,0.6486464663047871,46.49574712028013,71.68118464462987,5.164667586130397,7.962222650425439,11.351865887571897,17.5008521240257,8.711850948101702,13.430815398920501,True,7.962222650425439,11.351865887571897,0.7558515221143627,True,True,False
APOH,-0.683973077125178,15.586404406477108,-22.788037903463483,-7.081084747271337,10.352870579400577,-3.844507064423757,5.620845604892356,-5.3189585273417315,7.776561249600586,True,5.620845604892356,7.081084747271337,0.5456883728534138,False,False,True
NARF,-0.3176853674401703,0.005152989796853191,-0.016220419084374903,-1.6324757350036432,5.138655733997845,-2.350695152635107,7.3994442097740425,-2.2961940437625366,7.227887334769925,False,5.138655733997845,2.350695152635107,-455.1808280836537,False,False,False
CAV2,-2.9584849132283937,-48.619796152530746,16.434018620522647,-10.038899985094147,3.393257116237709,-17.369030081333136,5.870920620101961,-14.646210005455899,4.950577892071616,True,3.393257116237709,17.369030081333136,0.6427580644961415,True,False,True
KLF6,-0.2831756779025792,-19.179720339942886,67.73081813382743,-2.280204341699289,8.052260556373584,-4.195116828475557,14.814537955900299,-3.2294382707039153,11.404363166440225,True,8.052260556373584,4.195116828475557,0.7812733056519608,True,True,False
SCMH1,-0.000327184853304463,-9.085005131872915,,0.04679702141440523,,-0.4581159775870134,,-0.04078243959452266,,False,,0.4581159775870134,0.949574494352259,False,False,False
COX5A,0.7896532141919959,22.91689463636307,29.021466923062597,3.4867989222998137,4.4156078385214235,5.3151592914332095,6.731004440818858,4.288030756134937,5.430270755653947,True,4.4156078385214235,5.3151592914332095,0.7680680835788523,True,False,True
TBX2,-0.462864932160866,-25.598850191416474,55.30522710352951,0.053528427586175376,-0.11564589120260224,-5.188922647797835,11.210446692458557,-3.25648740833161,7.03550254526484,True,0.11564589120260224,5.188922647797835,0.7972986048593024,False,False,True
TBX4,-0.22723588959915897,-27.78807916102196,122.28736935014868,1.402167842769579,-6.170538664658052,0.5369951423848249,-2.3631616613558584,1.721647377528038,-7.576476500103046,True,2.3631616613558584,1.721647377528038,0.9380436709010469,False,False,True
NGFR,2.754193430304176,133.7478892020373,48.561545362217366,12.970933828036735,4.709521737042343,30.82811146102832,11.193154090714547,23.11048906353595,8.391018876616666,True,4.709521737042343,30.82811146102832,0.7695058094377856,True,False,True
WNT3,-1.0186216671786381,109.03128389221814,-107.03805682261917,-4.401476243960429,4.321011800339539,4.9258472241400915,-4.835796628775455,-1.1160534076520836,1.0956505674411092,True,1.0956505674411092,4.9258472241400915,0.9548217076026593,False,False,True
