source_id,glds_prefix,mission,tissue,task_ids,api_url,api_status,api_response_sha256,n_files,checksum_manifest_count,checksum_manifest_files,checksum_manifest_urls,parsed_checksum_entries,checksum_algorithms,checksum_payload_matches,checksum_manifest_content_sha256,audit_status,freeze_ready,pending_reason
OSD-863,GLDS-716,SpaceX-19,,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-863/files/,ok,6aac60b752edcc818711f035751a3af5dd185221f75492738810e63277ca468b,338,2,GLDS-716_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-716_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-863/download?source=datamanager&file=GLDS-716_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-863/download?source=datamanager&file=GLDS-716_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,335,md5,296,283f0b54f3664c2d03e7d3034b7a8b4e5b9c41ea15ae5a1698455c8728371d75;7867c04009fdec738d2ceec6cf1a9ed52a0e6de39e19fe1eec865048088fd9d1,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-871,GLDS-720,SpaceX-19,,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-871/files/,ok,450d85a7eb8b77362d1c15e515ea0d40c0b4f5a56616bf73aa6f719748730e76,402,2,GLDS-720_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-720_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-871/download?source=datamanager&file=GLDS-720_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-871/download?source=datamanager&file=GLDS-720_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,399,md5,352,370c9f2c113d06031e83fa42e61b864ed4f16c8e273bec015f2be50a42963822;9f1e187db667f7a91f2ce2c20a31944adddac4c31293e8430b3e0f2969e27b45,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
