source_id,glds_prefix,task_ids,api_url,api_status,n_files,matrix_file_count,matrix_files,matrix_urls,downloaded_matrix_count,local_matrix_paths,matrix_sha256,matrix_bytes,n_feature_rows,n_matrix_columns,sample_columns,n_sample_columns,expected_sample_count,matching_sample_count,missing_samples,extra_samples,audit_status,pending_reason
OSD-863,GLDS-716,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-863/files/,ok,338,1,GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-863/download?source=datamanager&file=GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,1,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,448569ef5247b81c0d063c69f09a44962088a7615b25c5f511e72635adca93e2,9090036,30408,20,GSM8115892;GSM8115893;GSM8115894;GSM8115895;GSM8115896;GSM8115897;GSM8115898;GSM8115899;GSM8115900;GSM8115901;GSM8115902;GSM8115903;GSM8115904;GSM8115905;GSM8115906;GSM8115907;GSM8115908;GSM8115909;GSM8115910,19,19,19,,,matrix_downloaded_sample_aligned,Matrix downloaded and sample columns align with parsed sample factors.
OSD-871,GLDS-720,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-871/files/,ok,402,1,GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-871/download?source=datamanager&file=GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,1,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,88a8989db05166ea92dd19e6675b6a19b7dfaa875ab0425e5659831da8dbd7a5,10699251,30269,24,GSM8115911;GSM8115912;GSM8115913;GSM8115914;GSM8115915;GSM8115916;GSM8115917;GSM8115918;GSM8115919;GSM8115920;GSM8115921;GSM8115922;GSM8115923;GSM8115924;GSM8115925;GSM8115926;GSM8115927;GSM8115928;GSM8115929;GSM8115930;GSM8115931;GSM8115932;GSM8115933,23,23,23,,,matrix_downloaded_sample_aligned,Matrix downloaded and sample columns align with parsed sample factors.
