source_id,glds_prefix,task_ids,api_url,api_status,n_files,candidate_reference_file_count,candidate_reference_files,candidate_reference_categories,de_reference_file_count,de_reference_files,de_reference_urls,de_reference_file_sizes,de_reference_data_types,contrast_file_count,contrast_files,contrast_urls,contrast_sha256,contrast_pair_count,contrast_group_count,contrast_groups,direct_spaceflight_contrast_count,direct_spaceflight_contrasts,reversed_spaceflight_contrast_count,reversed_spaceflight_contrasts,disease_contexts,microglia_conditions,enrichment_reference_file_count,enrichment_reference_files,metric_reference_status,recommended_metric_policy,audit_status,pending_reason
OSD-863,GLDS-716,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-863/files/,ok,338,3,GLDS-716_rna_seq_contrasts_GLbulkRNAseq.csv;GLDS-716_rna_seq_differential_expression_GLbulkRNAseq.csv;GLDS-716_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv,contrast_definition;differential_expression,2,GLDS-716_rna_seq_differential_expression_GLbulkRNAseq.csv;GLDS-716_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-863/download?source=datamanager&file=GLDS-716_rna_seq_differential_expression_GLbulkRNAseq.csv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-863/download?source=datamanager&file=GLDS-716_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv,141741746;141841931,differential expression table;differential expression table - supplementary,1,GLDS-716_rna_seq_contrasts_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-863/download?source=datamanager&file=GLDS-716_rna_seq_contrasts_GLbulkRNAseq.csv,a586e8c1065cdfa76e45bd1d233c41260001154d26b15ec43f84dedde0ebbdf0,56,8,no known diseases & Ground Control & with microglia;no known diseases & Ground Control & without microglia;no known diseases & Space Flight & with microglia;no known diseases & Space Flight & without microglia;primary progressive multiple sclerosis & Ground Control & with microglia;primary progressive multiple sclerosis & Ground Control & without microglia;primary progressive multiple sclerosis & Space Flight & with microglia;primary progressive multiple sclerosis & Space Flight & without microglia,4,(no known diseases & Ground Control & with microglia)v(no known diseases & Space Flight & with microglia);(no known diseases & Ground Control & without microglia)v(no known diseases & Space Flight & without microglia);(primary progressive multiple sclerosis & Ground Control & with microglia)v(primary progressive multiple sclerosis & Space Flight & with microglia);(primary progressive multiple sclerosis & Ground Control & without microglia)v(primary progressive multiple sclerosis & Space Flight & without microglia),4,(no known diseases & Space Flight & with microglia)v(no known diseases & Ground Control & with microglia);(no known diseases & Space Flight & without microglia)v(no known diseases & Ground Control & without microglia);(primary progressive multiple sclerosis & Space Flight & with microglia)v(primary progressive multiple sclerosis & Ground Control & with microglia);(primary progressive multiple sclerosis & Space Flight & without microglia)v(primary progressive multiple sclerosis & Ground Control & without microglia),no known diseases;primary progressive multiple sclerosis,with microglia;without microglia,0,,public_osdr_de_reference_tables_available_pending_contrast_freeze,keep_classification_primary_enable_de_signature_after_frozen_contrast_subset,reference_tables_listed_contrast_definitions_parsed,Public OSDR differential-expression tables and contrast definitions are listed. DE/signature metrics should wait for a frozen contrast subset and sign-orientation contract before leaderboard scoring.
OSD-871,GLDS-720,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-871/files/,ok,402,3,GLDS-720_rna_seq_contrasts_GLbulkRNAseq.csv;GLDS-720_rna_seq_differential_expression_GLbulkRNAseq.csv;GLDS-720_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv,contrast_definition;differential_expression,2,GLDS-720_rna_seq_differential_expression_GLbulkRNAseq.csv;GLDS-720_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-871/download?source=datamanager&file=GLDS-720_rna_seq_differential_expression_GLbulkRNAseq.csv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-871/download?source=datamanager&file=GLDS-720_rna_seq_differential_expression_rRNArm_GLbulkRNAseq.csv,143916213;143992071,differential expression table;differential expression table - supplementary,1,GLDS-720_rna_seq_contrasts_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-871/download?source=datamanager&file=GLDS-720_rna_seq_contrasts_GLbulkRNAseq.csv,29f8f5deeeee36255291be9c814abdbc5a9f2e021e183f6caf91e4c2e03e0a06,56,8,Sporadic Parkinson disease & Ground Control & with microglia;Sporadic Parkinson disease & Ground Control & without microglia;Sporadic Parkinson disease & Space Flight & with microglia;Sporadic Parkinson disease & Space Flight & without microglia;no known diseases & Ground Control & with microglia;no known diseases & Ground Control & without microglia;no known diseases & Space Flight & with microglia;no known diseases & Space Flight & without microglia,4,(Sporadic Parkinson disease & Ground Control & with microglia)v(Sporadic Parkinson disease & Space Flight & with microglia);(Sporadic Parkinson disease & Ground Control & without microglia)v(Sporadic Parkinson disease & Space Flight & without microglia);(no known diseases & Ground Control & with microglia)v(no known diseases & Space Flight & with microglia);(no known diseases & Ground Control & without microglia)v(no known diseases & Space Flight & without microglia),4,(Sporadic Parkinson disease & Space Flight & with microglia)v(Sporadic Parkinson disease & Ground Control & with microglia);(Sporadic Parkinson disease & Space Flight & without microglia)v(Sporadic Parkinson disease & Ground Control & without microglia);(no known diseases & Space Flight & with microglia)v(no known diseases & Ground Control & with microglia);(no known diseases & Space Flight & without microglia)v(no known diseases & Ground Control & without microglia),Sporadic Parkinson disease;no known diseases,with microglia;without microglia,0,,public_osdr_de_reference_tables_available_pending_contrast_freeze,keep_classification_primary_enable_de_signature_after_frozen_contrast_subset,reference_tables_listed_contrast_definitions_parsed,Public OSDR differential-expression tables and contrast definitions are listed. DE/signature metrics should wait for a frozen contrast subset and sign-orientation contract before leaderboard scoring.
