source_id,glds_prefix,sample_id,true_label,organoid_type,microglia_condition,disease_context,donor_or_line_id,ipsc_line_id,matrix_path,n_features,sample_sum,sample_mean,sample_median,nonzero_features,zero_fraction
OSD-863,GLDS-716,GSM8115892,Ground,cortical_neural_organoid,without_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,38226568.47,1365.917547,50.67395221,24505,0.1243836204
OSD-863,GLDS-716,GSM8115893,Ground,cortical_neural_organoid,without_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,25422146.97,908.3880144,45.90568502,21365,0.236582577
OSD-863,GLDS-716,GSM8115894,Ground,cortical_neural_organoid,without_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,35239018.43,1259.165956,55.60211217,25265,0.09722718502
OSD-863,GLDS-716,GSM8115895,Ground,cortical_neural_organoid,with_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,26113637.35,933.0964537,46.26505819,21489,0.2321517902
OSD-863,GLDS-716,GSM8115896,Ground,cortical_neural_organoid,with_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,31954999,1141.820875,55.28611183,25273,0.09694132781
OSD-863,GLDS-716,GSM8115897,Ground,cortical_neural_organoid,with_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,35938238.36,1284.150588,54.61781864,25063,0.1044450797
OSD-863,GLDS-716,GSM8115898,Ground,cortical_neural_organoid,without_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,32072522.29,1146.020235,53.96887364,25289,0.09636961338
OSD-863,GLDS-716,GSM8115899,Ground,cortical_neural_organoid,without_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,33522996.92,1197.848815,51.28130653,25343,0.09444007718
OSD-863,GLDS-716,GSM8115900,Ground,cortical_neural_organoid,with_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,33254209.58,1188.244464,50.73856682,25292,0.09626241692
OSD-863,GLDS-716,GSM8115901,Ground,cortical_neural_organoid,with_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,34187448.68,1221.591106,50.17799028,25099,0.1031587222
OSD-863,GLDS-716,GSM8115902,LEO_or_ISS,cortical_neural_organoid,without_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,25913471.89,925.944111,58.57414522,26219,0.06313871221
OSD-863,GLDS-716,GSM8115903,LEO_or_ISS,cortical_neural_organoid,without_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,27048626.79,966.5056382,58.53916677,25985,0.07150003573
OSD-863,GLDS-716,GSM8115904,LEO_or_ISS,cortical_neural_organoid,with_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,29995395.42,1071.800022,59.29108672,26116,0.06681912385
OSD-863,GLDS-716,GSM8115905,LEO_or_ISS,cortical_neural_organoid,with_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,25958680.03,927.5594951,48.98271,22847,0.183627528
OSD-863,GLDS-716,GSM8115906,LEO_or_ISS,cortical_neural_organoid,with_microglia,no_known_diseases,Subject1,051121-01-MR-017,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,25478008.31,910.3840603,57.23916014,26305,0.06006574716
OSD-863,GLDS-716,GSM8115907,LEO_or_ISS,cortical_neural_organoid,without_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,30287419.79,1082.234681,61.50154048,25742,0.08018294862
OSD-863,GLDS-716,GSM8115908,LEO_or_ISS,cortical_neural_organoid,without_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,27167994.57,970.7709057,58.02468583,25806,0.0778960909
OSD-863,GLDS-716,GSM8115909,LEO_or_ISS,cortical_neural_organoid,with_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,30192432,1078.840563,56.66176419,25632,0.08411348531
OSD-863,GLDS-716,GSM8115910,LEO_or_ISS,cortical_neural_organoid,with_microglia,primary_progressive_multiple_sclerosis,Subject2,AK003-01-MR-008,v9/human_organoid/matrices/GLDS-716_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,27940976.56,998.3912157,54.37832942,25567,0.08643607518
OSD-871,GLDS-720,GSM8115911,Ground,dopaminergic_neural_organoid,without_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,33057766.11,1181.225117,59.5439956,24621,0.1202386908
OSD-871,GLDS-720,GSM8115912,Ground,dopaminergic_neural_organoid,without_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,35053780.26,1252.546997,65.47002332,24789,0.1142356893
OSD-871,GLDS-720,GSM8115913,Ground,dopaminergic_neural_organoid,with_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,27422321.47,979.8585532,54.06757139,22114,0.2098191953
OSD-871,GLDS-720,GSM8115914,Ground,dopaminergic_neural_organoid,with_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,34943359.95,1248.601442,64.11461968,24474,0.1254913171
OSD-871,GLDS-720,GSM8115915,Ground,dopaminergic_neural_organoid,with_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,36191243.85,1293.191019,62.79378555,24467,0.1257414421
OSD-871,GLDS-720,GSM8115916,Ground,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,30540601.2,1091.281398,62.66840334,25100,0.1031229901
OSD-871,GLDS-720,GSM8115917,Ground,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,26746805.63,955.7209188,58.22832684,21839,0.2196455371
OSD-871,GLDS-720,GSM8115918,Ground,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,28374085.07,1013.867115,61.05603348,24911,0.1098763668
