group_field,group_value,n_samples,sample_sum_min,sample_sum_median,sample_sum_max,zero_fraction_median,label_distribution
source_id,OSD-863,19,25422146.97,30192432,38226568.47,0.09626241692,Ground:10;LEO_or_ISS:9
source_id,OSD-871,23,24616835.16,29441521.81,36191243.85,0.1031229901,Ground:12;LEO_or_ISS:11
true_label,Ground,22,25422146.97,32013760.64,38226568.47,0.1073929822,Ground:22
true_label,LEO_or_ISS,20,24616835.16,28142851.2,34692051.09,0.08345244051,LEO_or_ISS:20
organoid_type,cortical_neural_organoid,19,25422146.97,30192432,38226568.47,0.09626241692,Ground:10;LEO_or_ISS:9
organoid_type,dopaminergic_neural_organoid,23,24616835.16,29441521.81,36191243.85,0.1031229901,Ground:12;LEO_or_ISS:11
microglia_condition,with_microglia,20,25478008.31,30277769.55,36191243.85,0.1011041235,Ground:11;LEO_or_ISS:9
microglia_condition,without_microglia,22,24616835.16,28562181.25,38226568.47,0.0967983992,Ground:11;LEO_or_ISS:11
disease_context,no_known_diseases,21,25422146.97,30477862.47,38226568.47,0.1044450797,Ground:11;LEO_or_ISS:10
disease_context,primary_progressive_multiple_sclerosis,8,27167994.57,31179971.04,34187448.68,0.09043807618,Ground:4;LEO_or_ISS:4
disease_context,sporadic_parkinson_disease,13,24616835.16,28649353.24,31195319.48,0.1023368827,Ground:7;LEO_or_ISS:6
donor_or_line_id,Subject1,11,25422146.97,27048626.79,38226568.47,0.09722718502,Ground:6;LEO_or_ISS:5
donor_or_line_id,Subject2,8,27167994.57,31179971.04,34187448.68,0.09043807618,Ground:4;LEO_or_ISS:4
donor_or_line_id,Subject3,10,26671228.42,33460561.11,36191243.85,0.11723719,Ground:5;LEO_or_ISS:5
donor_or_line_id,Subject4,13,24616835.16,28649353.24,31195319.48,0.1023368827,Ground:7;LEO_or_ISS:6
ipsc_line_id,051121-01-MR-017,11,25422146.97,27048626.79,38226568.47,0.09722718502,Ground:6;LEO_or_ISS:5
ipsc_line_id,AK003-01-MR-008,8,27167994.57,31179971.04,34187448.68,0.09043807618,Ground:4;LEO_or_ISS:4
ipsc_line_id,HDF410iPS504,13,24616835.16,28649353.24,31195319.48,0.1023368827,Ground:7;LEO_or_ISS:6
ipsc_line_id,UEC741iPS517,10,26671228.42,33460561.11,36191243.85,0.11723719,Ground:5;LEO_or_ISS:5
