sample_id,geo_accession,geo_series_accession,geo_pubmed_id,geo_sample_title,geo_subject_id,donor_or_line_id,ipsc_line_id,geo_source_name_ch1,geo_cell_line,geo_cell_type,geo_treatment,geo_title_organoid_type,geo_title_microglia_condition,geo_title_spaceflight_condition,geo_title_replicate,geo_biosample_accession,geo_sra_accession,geo_metadata_status,geo_metadata_source
GSM8115903,GSM8115903,GSE259421,39441987,"Subject1, Cortical organoid, without microglia, LEO2",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid without microglia,38 days microgravity exposure,cortical_neural_organoid,without_microglia,LEO_or_ISS,2,SAMN40179188,SRX23771880,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115904,GSM8115904,GSE259421,39441987,"Subject1, Cortical organoid, with microglia, LEO1",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid with microglia,38 days microgravity exposure,cortical_neural_organoid,with_microglia,LEO_or_ISS,1,SAMN40179187,SRX23771881,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115905,GSM8115905,GSE259421,39441987,"Subject1, Cortical organoid, with microglia, LEO2",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid with microglia,38 days microgravity exposure,cortical_neural_organoid,with_microglia,LEO_or_ISS,2,SAMN40179186,SRX23771882,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115906,GSM8115906,GSE259421,39441987,"Subject1, Cortical organoid, with microglia, LEO3",Subject1,Subject1,051121-01-MR-017,051121-01-MR-017,051121-01-MR-017,iPSC-derived cortical organoid with microglia,38 days microgravity exposure,cortical_neural_organoid,with_microglia,LEO_or_ISS,3,SAMN40179185,SRX23771883,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115907,GSM8115907,GSE259421,39441987,"Subject2, Cortical organoid, without microglia, LEO1",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid without microglia,38 days microgravity exposure,cortical_neural_organoid,without_microglia,LEO_or_ISS,1,SAMN40179184,SRX23771884,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115908,GSM8115908,GSE259421,39441987,"Subject2, Cortical organoid, without microglia, LEO2",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid without microglia,38 days microgravity exposure,cortical_neural_organoid,without_microglia,LEO_or_ISS,2,SAMN40179183,SRX23771885,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115909,GSM8115909,GSE259421,39441987,"Subject2, Cortical organoid, with microglia, LEO1",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid with microglia,38 days microgravity exposure,cortical_neural_organoid,with_microglia,LEO_or_ISS,1,SAMN40179182,SRX23771886,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115910,GSM8115910,GSE259421,39441987,"Subject2, Cortical organoid, with microglia, LEO2",Subject2,Subject2,AK003-01-MR-008,AK003-01-MR-008,AK003-01-MR-008,iPSC-derived cortical organoid with microglia,38 days microgravity exposure,cortical_neural_organoid,with_microglia,LEO_or_ISS,2,SAMN40179181,SRX23771855,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115911,GSM8115911,GSE259421,39441987,"Subject3, Dopaminergic organoid, without microglia, Ground1",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,without_microglia,Ground,1,SAMN40179180,SRX23771856,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115912,GSM8115912,GSE259421,39441987,"Subject3, Dopaminergic organoid, without microglia, Ground2",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,without_microglia,Ground,2,SAMN40179179,SRX23771857,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
