source_id,glds_prefix,task_ids,api_url,api_status,api_response_sha256,n_files,sample_table_file_count,sample_table_files,sample_table_urls,fetched_sample_table_count,sample_rows,sample_table_columns,candidate_condition_columns,condition_value_summary,audit_status,pending_reason
OSD-863,GLDS-716,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-863/files/,ok,6aac60b752edcc818711f035751a3af5dd185221f75492738810e63277ca468b,338,1,GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-863/download?source=datamanager&file=GLDS-716_rna_seq_SampleTable_GLbulkRNAseq.csv,1,19,condition,condition,condition=no.known.diseases...Ground.Control...with.microglia/no.known.diseases...Ground.Control...without.microglia/no.known.diseases...Space.Flight...with.microglia/no.known.diseases...Space.Flight...without.microglia/primary.progressive.multiple.sclerosis...Ground.Control...with.microglia/primary.progressive.multiple.sclerosis...Ground.Control...without.microglia/primary.progressive.multiple.sclerosis...Space.Flight...with.microglia/primary.progressive.multiple.sclerosis...Space.Flight...without.microglia,sample_table_parsed,Sample table parsed; manual factor mapping is still required before final fold generation.
OSD-871,GLDS-720,draft_human_organoid_spaceflight,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-871/files/,ok,450d85a7eb8b77362d1c15e515ea0d40c0b4f5a56616bf73aa6f719748730e76,402,1,GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-871/download?source=datamanager&file=GLDS-720_rna_seq_SampleTable_GLbulkRNAseq.csv,1,23,condition,condition,condition=Sporadic.Parkinson.disease...Ground.Control...with.microglia/Sporadic.Parkinson.disease...Ground.Control...without.microglia/Sporadic.Parkinson.disease...Space.Flight...with.microglia/Sporadic.Parkinson.disease...Space.Flight...without.microglia/no.known.diseases...Ground.Control...with.microglia/no.known.diseases...Ground.Control...without.microglia/no.known.diseases...Space.Flight...with.microglia/no.known.diseases...Space.Flight...without.microglia,sample_table_parsed,Sample table parsed; manual factor mapping is still required before final fold generation.
