"ENSEMBL","log2FC","stat","pvalue","adj_pvalue"
"ENSMUSG00000000001",0.268088788849523,2.77762692238388,0.0177235713978618,0.110476640612975
"ENSMUSG00000000028",0.374503596773141,1.03942674029031,0.320547908199497,0.564709744111917
"ENSMUSG00000000049",0.514207553475532,5.94957098596381,8.9547935166465e-05,0.00489720053985151
"ENSMUSG00000000056",0.276085728454186,1.82192747923337,0.0952828691417234,0.285358033327085
"ENSMUSG00000000058",0.00855531266022877,0.0237439265861964,0.981475059473835,0.992677716368473
"ENSMUSG00000000078",0.294661847936498,1.65599519685575,0.125472605698724,0.335283552960237
"ENSMUSG00000000085",0.0753510847589133,0.41797305821251,0.68387635704515,0.837954860671426
"ENSMUSG00000000088",-0.569774546349768,-5.21204048352901,0.000273451488816942,0.00944964213796178
"ENSMUSG00000000093",0.377322750018053,1.22465330663103,0.245865312188255,0.489550085587848
"ENSMUSG00000000120",0.500673072587949,1.54010164783648,0.151326608665107,0.374037390849927
"ENSMUSG00000000126",0.0764737134269701,0.137995622266357,0.892696145626135,0.95216865414638
"ENSMUSG00000000127",-0.0735037902536419,-0.297465716143866,0.771561513722392,0.888239716724131
"ENSMUSG00000000131",0.251560352360325,2.21731242566917,0.0482022583636801,0.193667903150367
"ENSMUSG00000000134",0.287770736355117,2.50595263266838,0.0288738260639888,0.147940714385313
"ENSMUSG00000000142",-0.819238507855023,-3.57353431998743,0.00425566203692853,0.0480249092277832
"ENSMUSG00000000148",-0.362742123798271,-2.42639147792116,0.0332824770872735,0.159758386828897
"ENSMUSG00000000149",0.394619010798097,2.7150872284626,0.019836086194526,0.118507187222852
"ENSMUSG00000000154",0.369687616534988,3.78159970915193,0.00295037697908632,0.0399957353828046
"ENSMUSG00000000159",-0.0609965237064213,-0.518515211226791,0.614199102742198,0.794883716964908
"ENSMUSG00000000168",-0.721468590748098,-5.92900131384706,9.22843594294625e-05,0.00493423619795297
"ENSMUSG00000000171",-0.374309319564807,-4.10791970875948,0.00167600776709818,0.0281826233995664
"ENSMUSG00000000184",0.527875526273184,2.90566220710191,0.0140718589409737,0.0976946692444162
"ENSMUSG00000000194",0.00804688295396033,0.0553790230266335,0.956813076081301,0.982765538247716
"ENSMUSG00000000247",-0.562682933646815,-1.93300464998176,0.0789349007944473,0.256026547723083
"ENSMUSG00000000266",-0.0503283082417363,-0.162488687895847,0.873818575303495,0.944367562550361
"ENSMUSG00000000275",-0.0426249666584688,-0.33399384921799,0.744560707476642,0.87251311911306
"ENSMUSG00000000276",-0.173337075607696,-0.625182599953528,0.544391470717662,0.750151142338011
"ENSMUSG00000000278",0.0411663795691744,0.323395992618668,0.752359546344221,0.876453244355643
"ENSMUSG00000000282",-0.0114252413468415,-0.0604697790278892,0.952848133280632,0.980823484684061
"ENSMUSG00000000290",0.0422221547496991,0.165330690052026,0.871633204128867,0.943200584579496
"ENSMUSG00000000295",-2.39632924936845,-2.88061442735371,0.0147216571264219,0.0999432606083933
"ENSMUSG00000000296",-0.198564263159995,-0.915457121711498,0.379259771278453,0.618738818593876
