"ENSEMBL","log2FC","stat","pvalue","adj_pvalue"
"ENSMUSG00000000001",0.135747884119416,1.45292892873438,0.241943012766707,0.510544350228145
"ENSMUSG00000000028",0.149780602761226,0.315026516259975,0.580765170053934,0.786519979358082
"ENSMUSG00000000049",0.566510763094821,12.586504075717,0.00198683764369671,0.0340291016988866
"ENSMUSG00000000056",0.0322826980782036,0.056960383983587,0.813762792964589,0.916089098374332
"ENSMUSG00000000058",-0.685593071396905,6.15355954320734,0.0219991327325769,0.137253936718563
"ENSMUSG00000000078",-0.149593536549411,1.13204679498691,0.299851288973011,0.568771008288992
"ENSMUSG00000000085",-0.00229126329016848,0.00021165755577103,0.988534675693197,0.994963842243373
"ENSMUSG00000000088",-0.109760502068827,0.437636099780685,0.515716408120113,0.741906985358523
"ENSMUSG00000000093",-0.184877351138884,0.7326979979299,0.402016393129601,0.657811886242617
"ENSMUSG00000000120",-0.192359739568503,1.14900714944421,0.296354964565578,0.564665648592213
"ENSMUSG00000000126",0.0822245377902989,0.0410968212773541,0.841372295030863,0.929819238184956
"ENSMUSG00000000127",-0.0951029999346811,0.734062825530273,0.401586052395492,0.657640136962132
"ENSMUSG00000000131",0.211269291450907,3.20181926404443,0.0885112362676303,0.299135670810248
"ENSMUSG00000000134",0.154475812397602,2.11876339498383,0.160818898217992,0.410955428241968
"ENSMUSG00000000142",0.0425151559656814,0.028179793848538,0.868350508998631,0.943088058000521
"ENSMUSG00000000148",0.207088658403252,4.09175173862861,0.0564849317134386,0.233640863376921
"ENSMUSG00000000149",0.372934316538009,6.68777652242121,0.0175337624856451,0.120568638574021
"ENSMUSG00000000154",0.30642764211836,6.67594546719879,0.0176209021239616,0.12068428582852
"ENSMUSG00000000159",-0.197101733296376,1.34664169529458,0.259352475238011,0.528979282386647
"ENSMUSG00000000167",0.0224257598816879,0.00672501175671658,0.935446237855157,0.97310480440099
"ENSMUSG00000000168",0.105990126725555,0.822182276836232,0.375197027972606,0.63607494420129
"ENSMUSG00000000171",0.211623242349207,2.04952964911346,0.167493599039812,0.420140268821278
"ENSMUSG00000000184",-0.0410197663254337,0.124839087228776,0.727492567626776,0.873314015247665
"ENSMUSG00000000194",0.0309442706399792,0.122112829386055,0.73035864907307,0.874689280313553
"ENSMUSG00000000204",-1.00689704787948,6.18004401297309,0.0217498319967747,0.136460454780655
"ENSMUSG00000000244",-0.444873157330107,1.32390717592754,0.263286271865188,0.533311008898505
"ENSMUSG00000000247",0.0150627617441295,0.00568207656411811,0.940651778920715,0.975011828588409
"ENSMUSG00000000253",-0.13280913068488,0.271574344176825,0.607924984666281,0.804191902208874
"ENSMUSG00000000266",-0.0987656133419035,1.01011056936565,0.326724856594226,0.594933437089116
"ENSMUSG00000000275",0.186767471488567,2.17230095788771,0.15587829718431,0.404525329473181
"ENSMUSG00000000276",-0.459119125803695,14.8146284223061,0.000981570006185472,0.0221843307593936
"ENSMUSG00000000278",0.44555178658438,22.9722380109296,0.000107086559538762,0.00610782795041993
"ENSMUSG00000000282",0.22510101886845,1.77471049587237,0.197586196441784,0.459117986744205
"ENSMUSG00000000290",-0.691859302009781,14.6922002326274,0.00101899742825373,0.0226708860456168
"ENSMUSG00000000295",-0.583596423446379,2.62566330819179,0.120603195813362,0.349780442126214
"ENSMUSG00000000296",-0.493667111208496,7.93111084186074,0.0105773171195214,0.0887668373567108
"ENSMUSG00000000301",0.0583165215278482,0.186713406807167,0.670228289458809,0.842167240291566
"ENSMUSG00000000303",-0.325618665113088,1.09991970543124,0.306629073079811,0.575696211794479
"ENSMUSG00000000305",0.381629368877296,3.06407658560262,0.0951639539794709,0.31077381181928
"ENSMUSG00000000317",-0.0169982112462918,0.00777533102709486,0.930600746312859,0.970904889467896
"ENSMUSG00000000320",0.169886956258385,0.319692912781617,0.577998155331837,0.78488813079624
"ENSMUSG00000000325",-0.121489553674595,0.857696971574052,0.365280627894843,0.628295498248779
"ENSMUSG00000000326",-0.177242257781561,0.901296712443346,0.353617682814676,0.618995045526205
"ENSMUSG00000000339",0.108401905002614,1.28057795870577,0.271003124764244,0.54158351286014
"ENSMUSG00000000340",-0.0188898898983407,0.036228738021032,0.850937341543375,0.93459507052082
"ENSMUSG00000000346",0.138816032082458,1.51423883752605,0.232583727863642,0.500076990421971
"ENSMUSG00000000355",-0.267019200372502,3.52328106871086,0.0749828833632962,0.271492734430586
"ENSMUSG00000000359",0.997261285960818,14.300503827276,0.0011497403512167,0.0238818960864066
