,MEblack,MEblue,MEbrown,MEcyan,MEdarkgrey,MEdarkorange,MEdarkred,MEdarkturquoise,MEgreen,MEgreenyellow,MElightcyan,MElightgreen,MEmagenta,MEmidnightblue,MEorange,MEpink,MEpurple,MEsaddlebrown,MEtan,MEturquoise,MEwhite,MEyellow
RR-1.Mmus_C57-6J_GST_FLT_Rep1_M23,-1.6485404981354645,0.022312506912052388,-0.0951747389477131,0.46213726016514084,3.8867048105685353,-2.6483898947127464,-0.06856643883457782,-1.0757656881782551,-1.4346824177274136,-0.36329575230364125,-0.30539898121502124,-2.39498056510758,-1.3108778601060413,6.0369330567560375,-1.2937747845597158,-0.287070935830846,-1.4530870941125922,1.8559996352236494,-0.05007079700198986,-1.25431088997331,0.4165006061588705,0.1988123170291917
RR-1.Mmus_C57-6J_GST_FLT_Rep2_M24,-0.591198827437995,0.7652830861557931,0.3068299229514386,0.7401452126626451,-12.531544044305415,2.227569363295428,0.41802425271244364,0.32246465468134977,-0.20494682657277238,1.752800444827482,-0.1686909479958547,0.18569987535670646,0.4605214437576349,7.88321407664357,0.2743529376349691,0.5683094685691359,1.4726734115510716,1.4097442252213728,1.1737127602773623,0.8060830058465865,-1.7557350412909059,-0.5307126128589645
RR-1.Mmus_C57-6J_GST_FLT_Rep3_M25,-5.651154897555515,-4.464575140581183,-5.111726936423522,-3.7492307623077465,-4.4581871881771375,-0.09045682327073745,-1.8184505032978415,-2.1691829904016946,-2.1215402625772195,-2.6589540692355786,-2.898072979217925,-6.622982725950898,-3.4071145530047633,2.915337220460703,-0.9669952274620004,-2.3348717469804665,-0.7667260269162427,2.889289134995451,-1.556012524392339,-2.150316870437977,-0.40879331511582184,-3.4514254563122884
RR-1.Mmus_C57-6J_GST_FLT_Rep4_M26,4.9073434740252795,2.3472230970830665,1.5867959667221296,2.9353392039990576,4.1706726479034595,-1.058533794586561,-0.1284680165775458,2.8495940888420876,2.859209946957263,2.1911791030525327,2.426138189812866,5.500958605592245,1.339268953838903,13.909922756341503,0.9049638249909338,1.9585994580982569,2.1522391821904656,-0.46678176025498674,1.6624843637996847,2.9783838726630676,2.3270738983309074,3.1968149429870736
RR-1.Mmus_C57-6J_GST_FLT_Rep5_M27,2.601758985248926,-0.3067463549027908,0.5383701502780179,0.7489209263087921,4.12313212963251,-0.4069585360747691,0.4364128893011347,1.1403425805558298,1.1132485440968225,1.8529549469024331,-1.5639417826254205,3.350664879518379,0.5520382358341029,-11.867093304280045,-0.540083468314612,-0.6310060520011606,0.6964585517976154,1.0824552737543094,0.42932896121490616,0.8320083110672165,0.6327921926920652,0.8882391364865346
RR-1.Mmus_C57-6J_GST_FLT_Rep6_M28,-0.7571963804708948,0.5368823719416257,1.5473165779762743,-0.5415743516017761,-3.4097776664405437,3.305799253868061,-1.502614727375477,-0.29921078944757973,-0.015262728319749822,0.4609234951400082,-1.0709982119175596,0.22944089702672998,2.1862052470632882,-16.901689750810537,1.559283800573036,1.8854645316910805,0.8471647688104281,0.22089375035390688,0.39032207137895736,2.8465695926225503,-1.3666120426529254,0.6902296172423051
RR-1.Mmus_C57-6J_GST_GC_Rep1_M33,-1.3552421254587206,-1.4171964190218103,0.8891593004826526,1.0650148639711412,8.333337412554481,-0.34089418818330014,2.0880891570173334,0.7242586337625933,-0.9747559858663076,-0.34100377291456296,1.1805434229857568,-5.171711623153483,0.10560096178276329,5.2347212967267955,0.6806249355520437,-0.6735309090792645,-0.15897452805345041,-2.5341239621359506,0.5000992270124841,-0.619407894223297,2.604193961872567,0.006957568592335956
RR-1.Mmus_C57-6J_GST_GC_Rep2_M34,-2.854120347986148,-3.3594318145686293,-0.12180446850568004,-2.7355414972641237,4.868537378350717,1.5417058436665732,-0.06556426277613765,-1.9438719746245654,-0.6462612287632524,-1.3293817088937165,-1.4286852670371597,-4.053541349826841,-1.2958931840991246,-0.7856351950378704,-0.039524872867650836,-0.010508645758131943,-0.8276199162573588,0.7846563927059392,-2.862026299598071,-2.7347245120159718,1.2186766835692275,-3.2231156611046003
RR-1.Mmus_C57-6J_GST_GC_Rep3_M35,3.2233421281121015,-0.4769323841242878,-0.9170883116551578,-1.393239001364948,7.146488233783331,-1.3638317150931694,-0.23277500424569164,-0.4179593459555063,-0.937504274186988,-2.283454955834684,-1.0460826379223742,5.967103413815873,-1.0421094602227927,0.5805398453865313,-0.41441992551176815,-5.695969257383859,-1.9525897224083812,0.006544233727456619,-0.6867189081821281,-0.6019170440688799,0.14455780027774548,-0.9365368304795254
RR-1.Mmus_C57-6J_GST_GC_Rep4_M36,4.826112718298218,3.5479021529567496,0.8376306089774576,3.263676965272318,-9.417080805628183,-0.702378653795414,0.17437326316759696,2.7865630207647634,2.478920798303015,0.7878344461173362,8.09516098233851,7.627511581640721,2.7702747559154153,27.59262518848654,-0.04530377120592055,1.3690933715179967,0.20242353158852153,-2.9201311689039797,2.283557596639337,1.8900848111409738,-2.1736365544629437,1.3216379656854453
