gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEdarkgrey,kMEdarkorange,kMEdarkred,kMEdarkturquoise,kMEgreen,kMEgreenyellow,kMElightcyan,kMElightgreen,kMEmagenta,kMEmidnightblue,kMEorange,kMEpink,kMEpurple,kMEsaddlebrown,kMEtan,kMEturquoise,kMEwhite,kMEyellow
Gm24924,grey,,0.2080847192802004,0.06800998158072384,0.09505661183660265,-0.08667097677219494,0.008380464999600093,0.004019277352276119,-0.003210049538027967,0.19306060848276124,-0.12629465580549498,-0.1387219295274495,0.08564829397242835,0.3029644503960861,0.17668771450698478,0.12017848012595263,-0.2950941346097988,-0.05095158932543705,-0.04415496925328181,-0.12263798314550425,0.0021077195089920318,0.16523742895173066,0.14405589823649986,-0.18108672594677291
Gm4294,darkorange,0.6331719944309903,0.17819982427250433,-0.05567155065107317,0.039718717504818424,0.23297621539050029,-0.31341665840238203,0.6331719944309903,0.14084721941426193,-0.26928440320400926,0.3020218074490081,-0.08344788102033883,-0.2448769141233475,0.051613522251366215,-0.03507263732454826,-0.204314298542777,0.015373724828678383,0.151760262501791,0.35931012285159863,0.3851845032433697,-0.10585967416445699,0.39826586593499774,-0.1478409647492779,0.017950391654824992
ENSMUSG00000092595,greenyellow,0.614865349637532,-0.02962061915676901,0.03221591346189804,0.1604921024324014,0.37652225457161725,0.038817633763666495,0.259947775178788,-0.07880018393676506,-0.07701073833733392,0.4535477657024354,0.614865349637532,-0.4852300371847182,0.3584011230389918,-0.006389315919629466,-0.1510029179756643,0.4269025353707763,0.5217390312657725,0.06488843341822054,0.3908120118879889,-0.07801266355583156,0.19465362866274655,-0.14500576377780228,0.1558197087836793
ENSMUSG00000083411,grey,,-0.1966598815231399,-0.09820994151699355,-0.04731960155149282,0.05098373826834676,0.03846942069862073,-0.00466637727560056,-0.20057019130182271,-0.14027794807825136,-0.1682280343840183,0.0762815758878973,-0.07756977607391921,-0.012064466448656568,0.038929993992616735,0.010866426005325246,-0.1135081649089928,-0.22783781888126217,-0.30006612183078585,-0.3145944394601978,-0.24987323333309164,-0.09052223401016254,0.028626786708261312,-0.40414939653357845
Zfp968,brown,0.580705769829462,0.09016701391802777,-0.020350032848926086,0.580705769829462,0.13228100374521382,-0.005588240807766132,0.030630628902563004,0.00907858208679595,0.31679364687632555,0.10599772506255023,0.0086250900057337,0.2641893835237955,-0.0141899283757037,0.3347856762237999,-0.1312839263533837,-0.23741811549656536,0.21015886878832993,0.02068084006360627,-0.13334681718148028,0.3772646571047185,0.21345772707981073,0.09803959068832405,0.01229484637868133
Rdh9,tan,0.5502486489137137,0.24025154740317045,0.01224197490663679,0.4178839159225657,0.4289671804304718,0.3114650969794832,0.015995041076236928,0.022031170847089318,0.1723623845265663,0.2508715510393839,-0.09736868928955777,0.30370357984450663,0.21068185682219936,0.2424696697867082,0.26140183720849386,-0.021135106851675512,0.05788469601265492,0.21735114684881635,-0.24035546869920763,0.5502486489137137,0.1020225609654302,0.45743030838560367,0.31058356129027054
ENSMUSG00000085791,tan,0.6133349495662481,0.265750217380074,0.01591984169795314,0.3189078057015219,0.2815329336500051,0.05977496976861547,-0.06153828908849907,0.12318158773388847,0.14555283417643217,0.23427413046179246,-0.18993103023901556,0.2251599372689876,0.129138259695508,0.12657364389704392,0.2973114096161762,0.04036172142271136,0.12390175220352297,0.3008427047912105,-0.002415951418381603,0.6133349495662481,0.006077598139674804,0.2943968770867697,0.482090243145564
ENSMUSG00000114635,grey,,0.3294179936288104,-0.0012981172233031536,0.4871372678073517,-0.04399860627494259,0.2428546372785143,-0.1717789195465446,0.1301031026309105,0.43648554811340856,0.09104601878365964,-0.049906114509323814,0.06299489088930439,0.4590584337729356,0.21050958692611688,0.13559921783209142,-0.16124540641293453,0.34639324153357576,0.19665153231467505,0.0378309688109278,0.5666514774064669,0.23073497082342884,0.21416017480965133,0.2947139568894321
Gm24497,grey,,0.18658521894229807,0.02077759784743119,0.03166649378844495,-0.022869938340189425,-0.013515112510446561,0.010076727685177726,-0.00946149602268628,0.04129795879102958,0.0036324306299597812,0.011025797517510512,-0.2684055290037072,0.4345342634870468,0.02879772469921612,-0.10720218732573426,0.03795989898374172,0.15654625157803528,0.04266927385518928,0.11947634801042165,0.023070162741403485,0.08006076720257355,0.016124953889161065,0.04754767981430353
ENSMUSG00000094365,magenta,0.5996358146721519,0.30054954284805585,0.3430066750147903,0.32498741163559197,0.0038336129086991005,0.026151096614949146,-0.07521207268301337,-0.32248562724469565,0.44145109432811763,0.22501560811780766,-0.20874979517005432,0.2620074762849475,0.21069157285410875,0.5996358146721519,0.08231281852886863,-0.4036694891162217,0.16448538968694917,-0.14603179042102418,-0.2538930555470526,0.09157511133608075,-0.012271068334346623,0.2634306258900942,-0.09597281054159575
