module_color,n_genes
grey,934
blue,242
brown,235
yellow,187
turquoise,148
greenyellow,136
tan,124
green,111
black,104
pink,85
magenta,84
purple,83
cyan,67
midnightblue,62
lightcyan,61
darkorange,57
lightgreen,56
darkred,53
darkturquoise,39
darkgrey,38
orange,36
white,26
saddlebrown,20
