Power,SFT.R.sq,slope,mean.k
1,0.0,4.5893,1603.3618
2,0.0,1.2942,899.5624
3,0.0,0.6989,524.538
4,0.0007,-0.089,316.4585
5,0.0101,-0.2661,196.8128
6,0.0312,-0.4141,125.7917
7,0.0751,-0.5801,82.41
8,0.0768,-0.5572,55.2163
9,0.142,-0.708,37.7639
10,0.1914,-0.7875,26.3197
11,0.2609,-0.8767,18.6657
12,0.3347,-0.9733,13.4527
13,0.4001,-1.0849,9.8422
14,0.4692,-1.1858,7.3023
15,0.5488,-1.3526,5.4894
16,0.6082,-1.3934,4.178
17,0.6563,-1.4082,3.2172
18,0.6796,-1.4199,2.505
19,0.7406,-1.5047,1.9711
20,0.7757,-1.6252,1.5667
22,0.831,-1.7133,1.0183
24,0.8937,-1.7182,0.6859
26,0.8749,-1.6662,0.4776
28,0.8956,-1.6908,0.3431
30,0.8789,-1.6725,0.2537
