stressor,gene,n_environments,mean_beta,std_beta,cv,icp_score,environments
IR,ELOVL2,3,-0.048490920703747276,0.3861409061521979,7.963158723014287,0.11156781118160347,analog_spleen|analog_skin_analog|analog_brain
IR,ENSMUSG00000020992,2,0.03858908068604422,0.3072961002398153,7.963291345980624,0.11156616039803575,analog_spleen|analog_brain
combined_flight,STXBP1,6,0.07021934911681223,0.559196810592679,7.963571432410532,0.11156267426889625,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,IQGAP1,6,-0.04640781955784126,0.3696125696220341,7.964445758907392,0.11155179326132511,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,ENSMUSG00000111169,2,0.06824623391677825,0.5435803154065717,7.964986142743724,0.11154506923687794,analog_skin_analog|analog_brain
HLUxIR,AOX4,3,0.10092741017105185,0.8039004723788186,7.965135170428255,0.11154321502017366,analog_spleen|analog_skin_analog|analog_brain
IR,TMEM79,3,-0.06391533821713828,0.5091016340572814,7.965249661395378,0.11154179055448157,analog_spleen|analog_skin_analog|analog_brain
combined_flight,PKMYT1,6,-0.09747578047625631,0.7764227967863756,7.965289275218593,0.11154129769846359,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,TFG,3,0.004202011306904413,0.03347051230596387,7.965353231109719,0.1115405019994088,analog_spleen|analog_skin_analog|analog_brain
HLUxIRxT,TRIM30E-PS1,2,0.03662748365237267,0.29181473222729265,7.96709724942549,0.11151880839299125,analog_brain|analog_brain
HLU,ENSMUSG00000107019,3,0.07503676058422304,0.5978903947860411,7.967966396243724,0.11150800034429821,analog_spleen|analog_skin_analog|analog_brain
combined_flight,FGGY,6,-0.048866277126618396,0.38938015196598713,7.968279289800963,0.11150410995086144,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLU,MTMR10,3,0.015867915019588636,0.12644477194664588,7.968580864087777,0.11150036055361065,analog_spleen|analog_skin_analog|analog_brain
IR,ZC3H15,3,-0.013979951607360467,0.11140300786415386,7.968768635560324,0.1114980261654977,analog_spleen|analog_skin_analog|analog_brain
combined_flight,SYBU,6,-0.04859366191337483,0.38725460317446825,7.969240842469626,0.11149215608805707,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLU,BABAM2,3,0.009523459449684865,0.07589729412827938,7.96950798811695,0.11148883543276035,analog_spleen|analog_skin_analog|analog_brain
combined_flight,WDR7,6,-0.08824842610697307,0.7033391356236517,7.969990612649417,0.11148283684821332,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLU,MYL1,3,-0.06265293436492957,0.4993582502344676,7.97022912535375,0.11147987259027388,analog_spleen|analog_skin_analog|analog_brain
combined_flight,EPN3,6,-0.0496567781998394,0.39579118973822924,7.970536875647974,0.11147604807407545,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,A430018G15RIK,3,-0.023084429963242937,0.18399531969458585,7.970537371597307,0.11147604191095842,analog_spleen|analog_skin_analog|analog_brain
IR,GM31520,2,0.13263111469268668,1.0573017638476467,7.971747491723367,0.11146100588793006,analog_spleen|analog_skin_analog
IR,TSSK3,3,-0.08139558173319317,0.6489246817651851,7.97248032356126,0.11145190225427998,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,TRBV13-2,2,-0.0921087274359692,0.7343953630552039,7.973135396888365,0.11144376583761038,analog_spleen|analog_skin_analog
HLUxIR,KIF17,3,-0.06238233479627899,0.4973959211962205,7.97334557687225,0.11144115552368597,analog_spleen|analog_skin_analog|analog_brain
combined_flight,EPHB1,6,-0.06361680890451317,0.5072522628066995,7.973557045190874,0.11143852933279363,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,ENSMUSG00000106917,3,0.08197275527536001,0.6536972097904343,7.974566666936971,0.11142599270938405,analog_spleen|analog_skin_analog|analog_brain
combined_flight,TREM3,4,0.09428643590886734,0.7519507009571037,7.975173583915388,0.11141845788833796,flight_thymus|flight_skin|flight_liver|flight_kidney
HLUxIR,TTC17,3,0.012508552382603538,0.09976150300250108,7.975462865373859,0.11141486684300893,analog_spleen|analog_skin_analog|analog_brain
IR,PUS7,3,0.017678675666848397,0.14100860322461137,7.976196741526196,0.11140575778310906,analog_spleen|analog_skin_analog|analog_brain
HLU,ENSMUSG00000056412,3,0.15172043267060262,1.2103665836600823,7.9776108885101555,0.11138820922611305,analog_spleen|analog_skin_analog|analog_brain
IR,ENSMUSG00000097019,2,0.08030882985016358,0.64081774542246,7.9794181865014,0.11136578999108007,analog_spleen|analog_skin_analog
combined_flight,HNF1B,3,0.05005662867240312,0.3994250835714579,7.9794641825769235,0.11136521953507257,flight_eye|flight_liver|flight_kidney
