"","CS-Female_Ground_Control-13","CS-Female_Ground_Control-14","CS-Female_Ground_Control-15","CS-Female_Ground_Control-16","CS-Female_Space_Flown-29","CS-Female_Space_Flown-30","CS-Female_Space_Flown-31","CS-Female_Space_Flown-32","KCNQ370_Female_Ground_Control-01","KCNQ370_Female_Ground_Control-02","KCNQ370_Female_Ground_Control-03","KCNQ370_Female_Ground_Control-04","KCNQ370_Female_Space_Flown-17","KCNQ370_Female_Space_Flown-18","KCNQ370_Female_Space_Flown-19","KCNQ370_Female_Space_Flown-20","KCNQ97_Female_Ground_Control-05","KCNQ97_Female_Ground_Control-06","KCNQ97_Female_Ground_Control-07","KCNQ97_Female_Ground_Control-08","KCNQ97_Female_Space_Flown-21","KCNQ97_Female_Space_Flown-22","KCNQ97_Female_Space_Flown-23","KCNQ97_Female_Space_Flown-24","Sei_ts1-Female_Ground_Control-09","Sei_ts1-Female_Ground_Control-10","Sei_ts1-Female_Ground_Control-11","Sei_ts1-Female_Ground_Control-12","Sei_ts1-Female_Space_Flown-25","Sei_ts1-Female_Space_Flown-26","Sei_ts1-Female_Space_Flown-27","Sei_ts1-Female_Space_Flown-28"
"FBgn0000003",94.5289398712665,157.576718902528,173.237930917101,158.919629933561,181.091462149359,256.970614643042,181.884319269295,206.680713008236,114.375844903152,197.865388121686,156.116320828729,101.227361220845,206.243943521663,308.780067408562,117.893325043945,169.642261515061,140.803595338936,154.713138521106,231.471764349923,195.064279697884,344.145731717117,148.098433502666,265.462086264833,410.643368743593,160.994206349789,141.274564514326,118.548537933176,103.299934751889,72.5405512763812,159.222034018216,147.652241496853,124.586593894356
"FBgn0000008",1136.5118795426,831.262885612917,961.055278306691,1043.94446905443,1156.05224206105,1184.22558322026,1135.05410668531,1254.08183924854,792.418714012354,965.864306025352,947.923293712374,980.148127483397,1044.1880659931,884.604241789355,1007.395702647,1304.87770085235,918.354585944438,896.633360799779,825.49222617803,705.221192994742,843.5826915127,944.576449118324,989.409156085308,685.153535330267,999.91453784993,910.185971422262,882.419399521429,955.556247634678,762.116394643404,567.592090661133,743.684145481691,588.11158758218
"FBgn0000014",0,0,1.871243752217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959746316892859,3.79089205961954,0,1.04068529133309,3.10233429107973,4.42312809957419,0.898826996770149,0,0,0,0.986286483363046,0,0.738553844859531
"FBgn0000015",0,3.0698142904105,0.847448162776625,0.846505231740853,1.61510202124519,0,0,1.40531418797475,0,2.27356447981974,1.78756109467471,0,2.30957320733361,3.10824849652675,0,0.959993430294999,0,6.37503055218653,0,6.37927800964903,2.08598845295491,1.45606718600484,3.43314995248892,4.67257325280372,1.33538666191667,0,0,0,0,5.42505808624561,0,0.753608186887524
"FBgn0000017",3264.3862042891,3513.21347315157,3170.46356762314,3341.83929155198,2726.42535093053,2619.37282413374,2677.33894139569,2789.30513890097,2890.08021506919,2608.6631672444,3033.05868719075,3773.92060578661,1941.15716554028,2147.14575758032,2519.84207520467,2725.73991506476,3045.29444546212,3363.22123774773,3305.80007797177,2856.28436645485,2444.95345610787,2287.66195962538,1928.2557030654,3127.35628942874,3120.38850199077,3015.18967695867,3000.88832233432,2995.09413230069,2443.93974624595,2209.00477867258,2499.6047988822,2549.99087274865
"FBgn0000018",187.105895685714,232.761246885649,189.881387042464,205.868227732177,223.914324885596,214.315909663248,230.671347672771,206.563469724715,158.494722077244,162.382443389156,149.405757342134,133.933366625028,175.422456193305,140.039363728703,145.929294208971,139.487010677957,134.34723946246,211.25831428663,122.466881950735,149.656497404323,146.06362553191,165.433558412729,160.734026227089,219.542221099928,199.133796173091,209.900934589171,210.429723007068,203.939500110052,308.661798470377,241.565922383046,283.993612582767,280.487912999199
"FBgn0000024",19001.9476637573,17875.3516727124,14894.0735975788,16348.2687900534,16043.8530566577,17864.9479371631,15896.3169844903,15647.6649078346,6992.30084309049,6592.98260188235,6464.9734074476,7031.12273536898,7417.89999936403,8876.08073550639,8016.62583544027,7120.10276108473,5738.76691136778,5424.11665280177,7410.72025284302,7111.80836352264,5585.19910507076,7281.29334749569,4638.50363797753,3665.03606015021,6809.06354381084,6672.68273853244,6142.57260323649,7008.93393804745,6232.25195499495,6235.61162396932,6365.92615119173,5579.28151906372
"FBgn0000028",335.17164101761,350.094867095478,324.55793740548,315.801438536426,377.470350578178,370.892193246825,375.025438571428,415.879539469722,329.358505994386,376.787435576265,374.214160002615,417.714752630851,306.302990256703,508.177710541973,358.443385065742,362.314351980124,321.065121450508,334.188607644805,506.069699776928,384.725837888406,323.894766084887,255.97971366521,275.656914741907,313.816530499718,406.730456396821,350.969733944945,409.608575065687,384.952221437606,375.123676293645,315.281399765496,337.116490958217,261.84283442086
"FBgn0000032",348.053851003962,348.144586764509,393.580463356122,354.418173758102,379.306984080218,333.203887024516,413.383772221109,383.62377014229,334.086925718729,452.353065041229,357.471376209556,334.678661604632,422.573728252425,443.798450182484,516.819331401994,451.897216709649,421.918864792521,361.159267875924,353.154126623673,355.163021877746,385.903537074508,395.944537497622,413.278607707593,491.014679092447,417.599385438728,445.011168610604,422.273010084585,424.78412423381,459.069789273576,432.393110024288,417.45476842408,432.517386677238
"FBgn0000036",1882.12225197246,1507.71827117275,1692.97391493352,1749.20201972598,1627.27341128425,2249.35578499193,1407.55857571209,1757.46818652811,1686.15553521882,1958.19289236846,1737.94667749493,2070.39334097649,1471.46318412285,2925.08769620426,1754.10511491723,1730.99075598788,1765.56426280242,1828.49825591385,2430.21527766997,2056.69107699139,2039.45199487844,1533.08145082497,1404.64567582975,2059.79500892695,2551.1832945497,2457.44656282032,2176.11306281334,2547.40466528565,1815.26306831814,1426.09978722741,1635.38533471067,1568.54150343051
