module,condition,duration_days,mission_RR-3,mission_TBD
MEblack,0.0964,-0.0,-0.0,-0.0
MEblue,0.1601,-0.0,0.0,-0.0
MEbrown,-0.0079,-0.0,-0.0,0.0
MEgreen,-0.1281,-0.0,-0.0,-0.0
MEpink,0.0451,-0.0,-0.0,-0.0
MEred,-0.0145,-0.0,-0.0,-0.0
MEturquoise,0.1397,-0.0,0.0,-0.0
