,MEblack,MEblue,MEbrown,MEgreen,MEpink,MEred,MEturquoise
M21,3.624521925914388,76.99099628571048,36.56581559724382,-13.360847536372573,-3.796327211005617,15.543224518087886,21.971661276733894
M22,6.307103389335963,53.09080149223173,59.37013834289367,44.1332170229543,0.5743271558261985,23.654037866594713,32.83375256915166
M23,-3.7335626765064105,-10.339930907710432,-7.43673900925001,-3.5710977725513864,-4.488101137095786,-6.1708320346839605,11.4765371367805
M24,-4.549757651529722,-31.46788007392563,-12.328172174775492,-14.064809485368107,-4.821385340653278,-12.011042566007164,-25.06891207567098
M25,2.2846296270483353,0.44319940872813807,-8.029710714445658,-3.559839860090745,-4.363955317530317,-7.390533123097361,-12.560865789998246
M26,-5.069654715493126,-16.02710140202016,-6.389129707829098,-20.90276276553947,-4.5997739504757575,-8.413486325319859,-17.620496123067067
M27,-2.2694172335705924,16.752232366705123,-6.375171056317276,-9.171346041415315,10.214514854013016,-1.5408014356483417,6.852919180944066
M29,-4.710697727966477,-19.572370926424266,-10.392658858523932,-23.901251968639432,1.3817611522816169,-10.31674841069427,-20.382488559653485
M30,2.8284205760487144,0.22110823166435678,-5.600755025819647,10.708657653049945,1.9400310858504934,0.47870199489720927,1.7596775586010467
M31,2.417419712245914,4.802168212668121,-5.296131307674902,46.505217399079946,11.046594465983144,16.266652870486347,49.03978079739798
M32,-3.5742533862790986,-19.915262703260513,-9.46557204814964,-18.444987208533274,-0.08109809186606248,17.895685157353167,-18.698632585188655
M33,-3.4969593288054757,-13.460889490045414,-10.436152387061112,-12.80072371010473,-4.599381090028363,-2.8003389017335807,3.29899043705462
M34,-7.3555606107489755,-28.75644679642581,-12.675557468186456,14.459681520014078,-5.108323752910881,-14.269549385924275,-20.380498798514196
M35,-0.9026835623637302,-20.858979337356935,-9.04373831864342,-7.736618612147004,-4.705586234854661,-10.234748431507553,-26.667075311357557
M36,20.453942418481713,25.772531058718226,16.034447511184148,2.645957653401143,15.081587577881908,9.577703299149182,20.521936421347114
M37,-2.253490755811443,-17.674175419257217,-8.500913374644945,9.061553712262565,-3.6748841654156608,-10.267925091952245,-6.376286134560883
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7,1.1574610948554604,-22.366573924126172,-0.42378044971658557,15.807759789093092,-0.6247058514079769,-10.5522770931172,-11.85883193335272
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6,17.741284495732543,-9.829479027908747,6.141531640438665,21.632669506673135,0.08811380546138536,-6.944010395153955,25.31941147202328
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7,-3.4997045372810427,39.320012132123374,-0.37458184202353745,-19.820239575226072,0.3028121517180783,39.247021567215334,17.31419166734625
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8,-10.476014821774543,-5.549227301872483,-4.923485024626506,-17.223298000838803,-0.08405570779547103,-13.738099725482506,-15.387866889466794
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9,11.094869784877938,-2.8125136259090433,2.0969987446214837,24.346121730251067,0.7402672195526655,-0.9813026652083022,2.0601213725172545
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10,1.632623252999505,-11.71037855506535,-0.8611446129415665,-16.943910824117065,-0.10757694685227114,0.9004200263737304,20.180080407738707
