pathway,pval,padj,log2err,ES,NES,size,leadingEdge_str,tissue,mission,species,ranking_metric
HALLMARK_ADIPOGENESIS,0.274269136353493,0.497687392714095,0.0252748722149536,0.629709390026277,1.13723908754575,188,RNF11; CMPK1; GPX4; STOM; RIOK3; ALDOA; CD36; UBC; UCP2; UBQLN1; MYLK; ANGPT1; NDUFA5; GADD45A; IMMT; G3BP2; RTN3; IFNGR1; DLD; ACLY; NABP1; ACADM; CD151; CRAT; MGLL; GPD2; TALDO1; PPM1B; BCL2L13; DNAJC15; NDUFAB1; ARL4A; SCP2; ADIPOR2; ETFB; ITSN1; SPARCL1; BAZ2A; BCL6; COX7B,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_ALLOGRAFT_REJECTION,0.063932044260646,0.483978638184246,0.0585987461758163,0.889268302200237,1.60594377259473,187,B2M; PF4; CCL5; HLA-E; FLNA; EIF4G3; SRGN; TIMP1; TGFB1; LYN; CTSS; PTPRC; PRKCB; HLA-A; ABI1; CCND3; EIF3A; JAK2,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_ANDROGEN_RESPONSE,0.0522260273972603,0.483978638184246,0.0683519284059275,0.906927469662274,1.64570183711974,96,B2M; MYL12A; TSC22D1; SAT1; NCOA4; ABCC4; ACTN1; CDC14B; IQGAP2; STK39; CCND3; VAPA; HOMER2; PDLIM5; TMEM50A; RAB4A; ELOVL5,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_ANGIOGENESIS,0.0334969679468669,0.483978638184246,0.0937158165018434,0.940220300129861,1.64625904617263,34,PF4; APP; PTK2; TIMP1; FSTL1; PDGFA,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_APICAL_JUNCTION,0.0687381245110093,0.483978638184246,0.0563823226021518,0.8823667385989,1.59348012910343,187,ACTB; RSU1; VCL; MSN; ACTG1; MYH9; NEXN; MYL9; ITGB1; YWHAH; JAM3; SKAP2; CD99; PTK2; ACTN1; PTPRC; MYL12B; CAP1; ZYX; RASA1; AKT3; LDLRAP1; PIK3CB; VASP; GTF2F1; ARPC2; EVL; INSIG1; PFN1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_APICAL_SURFACE,0.495106822880772,0.669063274163205,0.019271737884772,0.546403687809918,0.96715566705373,43,APP; LYN; AKAP7; ADAM10; CROCC; AFAP1L2; ADIPOR2,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_APOPTOSIS,0.196100917431193,0.483978638184246,0.0317711239893025,0.690427032934126,1.24827837595583,158,CLU; SOD2; GPX1; SAT1; GPX4; APP; PTK2; TIMP1; ROCK1; DAP; PPP3R1; DNAJC3; DNM1L; GADD45A; DPYD; F2R; MADD; CASP3; BCL2L1; SQSTM1; IRF1; SPTAN1; IFNGR1; PLCB2; BCAP31; BIRC3; LMNA; VDAC2; CDKN1A; CTNNB1; NEDD9; ANXA1; TGFB2; CASP8,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_BILE_ACID_METABOLISM,0.681029323758229,0.740249264954596,0.0402696947953221,-0.34194034065669,-0.849055029176898,109,ATXN1; CAT; RXRA; LCK; PEX26; SOD1; LONP2; FADS2; FDXR; ABCA2; ABCD2; DHCR24; PEX13; IDH2; ABCG4; CYP46A1; CYP27A1; BCAR3; PRDX5; NR1I2; IDH1; EPHX2; AGXT; AR; SLC23A1; FADS1; PIPOX; KLF1; SLC29A1; PEX6; SLC22A18,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.138663967611336,0.483978638184246,0.0411314894003624,0.752947563005576,1.36628876630462,72,CLU; ACTG1; CD9; ATXN2; ANTXR2; CTNNB1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_COAGULATION,0.0640150623676159,0.483978638184246,0.0601783862400583,0.891239007803258,1.61237637458464,129,PF4; CLU; SPARC; THBS1; TIMP1; WDR1; CD9; PLEK; PROS1; GP1BA; SERPINA1; GP9; LRP1; ARF4,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
