module,condition,duration_days,mission_MHU-2,mission_RR-6,mission_RR-9
MEblack,-0.4793,0.0,-0.0,0.0,-0.0
MEblue,0.1614,0.0,-0.0,0.0,-0.0
MEbrown,0.01,0.0,-0.0,0.0,-0.0
MEcyan,0.0893,0.0,-0.0,0.0,-0.0
MEgreenyellow,-0.1643,0.0,-0.0,0.0,-0.0
MEmagenta,0.3226,0.0,-0.0,0.0,-0.0
MEmidnightblue,-0.194,0.0,-0.0,0.0,-0.0
MEpurple,0.316,0.0,-0.0,0.0,-0.0
MEsalmon,0.0411,0.0,-0.0,0.0,-0.0
MEturquoise,0.2814,0.0,-0.0,0.0,-0.0
MEyellow,-0.3143,0.0,-0.0,0.0,-0.0
