Power,SFT.R.sq,slope,mean.k
1,0.0,3.3424,2713.1085
2,0.0,0.2786,1598.6307
3,0.1261,-0.8761,1001.8154
4,0.1748,-0.9435,659.1273
5,0.2652,-1.024,450.8733
6,0.3672,-1.0221,318.3254
7,0.4782,-1.1256,230.6938
8,0.561,-1.1328,170.8998
9,0.6051,-1.252,129.0038
10,0.6459,-1.2704,98.9795
11,0.7117,-1.1876,77.0416
12,0.7027,-1.2694,60.7397
13,0.7389,-1.2668,48.4447
14,0.7413,-1.3474,39.0483
15,0.7525,-1.3261,31.7812
16,0.7636,-1.3694,26.1001
17,0.765,-1.4031,21.6145
18,0.8051,-1.4039,18.0404
19,0.8016,-1.4428,15.1683
20,0.8188,-1.4872,12.8419
22,0.8343,-1.5214,9.383
24,0.8404,-1.5743,7.0172
26,0.8682,-1.5624,5.3581
28,0.8747,-1.5552,4.1681
30,0.899,-1.5573,3.2967
