auroc,ci_high,ci_low,claim,panel,scope,source,tier,tissue
0.86,0.953,0.763,,held_out_mission_tissue_transfer,,evaluation/RESULTS_SUMMARY.md:Category B,1,thymus
0.801,0.944,0.653,,held_out_mission_tissue_transfer,,evaluation/RESULTS_SUMMARY.md:Category B,1,gastrocnemius
0.772,0.834,0.691,,held_out_mission_tissue_transfer,,evaluation/RESULTS_SUMMARY.md:Category B,2,skin
0.754,0.838,0.688,,held_out_mission_tissue_transfer,,evaluation/RESULTS_SUMMARY.md:Category B,2,eye
0.577,0.666,0.492,,held_out_mission_tissue_transfer,,evaluation/RESULTS_SUMMARY.md:Category B,3,liver
0.555,0.681,0.397,,held_out_mission_tissue_transfer,,evaluation/RESULTS_SUMMARY.md:Category B,3,kidney
,,,transfer_is_tissue_specific,claim_boundary,mouse_bulk_rna_seq_six_tissue_tasks,evaluation/RESULTS_SUMMARY.md:Category B,,
