gene,beta_intercept,se_intercept,t_intercept,p_intercept,beta_isolation,se_isolation,t_isolation,p_isolation,beta_time_num,se_time_num,t_time_num,p_time_num,beta_iso_x_time,se_iso_x_time,t_iso_x_time,p_iso_x_time
A1BG,9.275188287909087,0.15827785774329678,58.60066859732248,0.0,-0.04651940299241324,0.3644270614674142,-0.12765079191730894,0.8989940789178563,0.15833260195338011,0.0716857533345363,2.2087038858961066,0.0323303590409072,0.1036514661299564,0.22203786979646006,0.4668188639396184,0.6428818181150928
A1BG-AS1,7.369868646000007,0.17953501876236141,41.04975562319133,0.0,0.3998097529294938,0.41337063977816796,0.9671943637410931,0.33861650231389184,0.2429178432051264,0.08131335142773657,2.9874287425111024,0.0045425622768318075,-0.15791968021153632,0.25185817958513834,-0.6270182706460523,0.5338157656269051
A2M-AS1,11.15622069586363,0.17765880306819837,62.79576639712619,0.0,0.0662102318479168,0.40905074448863343,0.16186312515012824,0.8721382360713545,0.08886977082750486,0.08046359305109557,1.1044718170995824,0.2752593090028772,-0.005359686308270772,0.24922615674915644,-0.021505312195883364,0.9829376421398399
A4GALT,11.639477179999997,0.2685804822089059,43.3370179555588,0.0,0.8374278640256548,0.6183934840566031,1.3541990425452202,0.18243447243303557,0.11995707564102154,0.12164300472985042,0.9861403531376666,0.32933704643830186,-1.0175648758205131,0.37677435737910153,-2.700727520043683,0.009717008277942307
AAAS,9.692904239909081,0.0743362030698793,130.3927809010816,0.0,-0.12825591351805601,0.1711554884027888,-0.749353203422989,0.45754394147960786,0.0928809428764572,0.03366767021661341,2.7587576532285514,0.008358854846820973,-0.0060220951136333856,0.10428149845926314,-0.057748452051500546,0.9542046723346149
AACS,8.66810837109091,0.09319945867649881,93.00599482212078,0.0,-0.0914634156421829,0.21458721605213657,-0.42622956448608174,0.6719725821742051,0.019389346636364102,0.04221104266164326,0.4593429921119433,0.6481992375123398,0.0007274652226146594,0.13074355166137827,0.005564061962296784,0.9955851375226423
AADACL3,8.516055125727279,0.12131411632973535,70.19838567327474,0.0,0.4538457129073485,0.27931984649592495,1.62482443908249,0.11118457875868004,0.10978283060372904,0.054944475135082216,1.998068601689715,0.05177424107482165,-0.024273753546033033,0.1701838042929613,-0.14263257098335405,0.8872171052152495
AADACP1,10.07608068309089,0.49874343486646805,20.202933971027864,0.0,-2.070019340270381,1.1483324767342522,-1.802630668565012,0.07814577278049706,-0.07423167823542379,0.22588629489187767,-0.32862409058927367,0.7439642690644805,0.5741752904918478,0.6996552229833931,0.8206546190615321,0.41616926133423493
AAED1,7.268044569727279,0.10394401906439746,69.92268179686641,0.0,0.8404531026894022,0.23932604323080373,3.511749458369131,0.0010253829951416549,0.05330314627039351,0.04707737024932222,1.132245620095165,0.26352849845784343,-0.18457732868706075,0.14581640729920028,-1.2658200274289233,0.21209193385286929
AAGAB,10.676753001818186,0.06405077300310545,166.69202417433013,0.0,0.4869045724125989,0.14747378643508746,3.3016347120572265,0.0018880273438166562,0.06103860631701363,0.029009287716250064,2.104105654508083,0.04098842909272449,-0.15497668593239872,0.08985272734415974,-1.724785552015544,0.09142936701313098
AAK1,9.505086711654544,0.061282893691473224,155.1017933243753,0.0,-0.24890354325197098,0.14110087907826357,-1.7640112866618864,0.08451800745732196,0.023526480197202743,0.02775568524511201,0.8476274316212725,0.4011314249280762,0.11740690618485078,0.08596984672541103,1.365675415937988,0.1788284943011076
AAMDC,8.56906634327274,0.10186948855669746,84.11808545110598,0.0,0.7975273531888153,0.23454953773834403,3.400251225728321,0.0014207831771169133,0.21259856883216538,0.046137792949121806,4.607905043628924,3.351754822045194e-05,-0.22970910006293438,0.1429061813122872,-1.6074119254573056,0.11495892444130296
AAMP,9.658500025727268,0.08167912591587403,118.24930687523646,0.0,0.2935878434394032,0.18806221075486798,1.5611208772935457,0.1255012230425232,0.04021983447552263,0.03699335937741963,1.0872176831843072,0.28272990154740585,-0.07106065064218753,0.11458241464583872,-0.6201706506345495,0.538273548779471
AAR2,9.90152574927272,0.0768348203968539,128.86768913015058,0.0,0.002237239246516895,0.17690843314934784,0.012646312030971387,0.9899658734759189,0.06867628493473155,0.03479932102319305,1.9734949681621712,0.054598883406888676,-0.028105609069343784,0.10778664868449393,-0.2607522305625504,0.7954731722270152
AARS,7.123775284454539,0.1126394563040401,63.24404891680063,0.0,-0.22653583474940972,0.2593468641251369,-0.8734859220819589,0.38703586641569476,0.0247022820023321,0.05101562780463945,0.48421009532466497,0.6305851303393031,0.21027037906177418,0.1580146793074707,1.330701552433761,0.18999107832367956
AARS2,9.22821143918181,0.09530364201122138,96.82957801439791,0.0,0.20936849154895792,0.21943199573512492,0.954138391931163,0.34511113760589485,0.192887923195804,0.04316405004785771,4.468716975861659,5.2671140593041343e-05,-0.02658817531118418,0.13369537570021983,-0.1988713160192007,0.8432592295972621
AASDHPPT,9.577576854636371,0.12074233676221943,79.3224407566147,0.0,1.006795181850824,0.27800335187963515,3.621521737215341,0.000740339360034481,-0.17984459813520084,0.054685509985925654,-3.2887066095111344,0.0019591454724467994,-0.02427745627505573,0.16938169135704903,-0.14332987278937923,0.8866695708325296
AATBC,7.536186282303025,0.10650057405076659,70.76193109260316,0.0,-0.33349178402737994,0.2452123866173399,-1.3600119823791865,0.1806010892787735,0.03909524984770982,0.048235261648359666,0.8105118229215479,0.42191193768199264,0.12622359538947497,0.1494028345562053,0.8448540870353414,0.4026618885396456
AATF,11.150373124545446,0.07639431303254411,145.95815685645826,0.0,-0.039245899417242096,0.175894186389763,-0.22312220899829693,0.8244501460330158,0.04666879438228566,0.034599810474401235,1.3488164744952489,0.18414480526613408,-0.022461090279716378,0.10716868911519253,-0.20958631168450328,0.8349365452872894
AATK,11.486652362363627,0.13449831382608457,85.40369046720278,0.0,-0.4639996789052895,0.30967581933953686,-1.498340037962563,0.14102766111516818,-0.037765529005826526,0.06091574075057939,-0.6199633877959093,0.5384087768088572,-0.03079944395250278,0.18867907058480735,-0.16323720408967707,0.871062574146134
ABAT,10.002031299181809,0.11074571540795004,90.31528905960545,0.0,0.2025437791002419,0.25498661791140526,0.7943310153265198,0.43117202729082305,-0.14167542957342866,0.05015793207453418,-2.824586734614585,0.007031732722302619,-0.01083563140092958,0.1553580714880988,-0.06974617602510368,0.9447047132743576
ABCA1,7.699071544500003,0.14954189958900063,51.484377058603975,0.0,0.526896089240391,0.3443129431399107,1.5302825517839687,0.13294692193257251,-0.0732628659230781,0.06772914341879319,-1.0817037131278622,0.28514699164764656,-0.2779823290096154,0.2097827535921653,-1.3250961971356119,0.19182845061573528
