gene,beta_intercept,se_intercept,t_intercept,p_intercept,beta_inflight,se_inflight,t_inflight,p_inflight,beta_postflight,se_postflight,t_postflight,p_postflight
A1BG,0.0012580866750000032,0.12178319655310638,0.010330544037340862,0.991793637596631,-0.3190458410250001,0.1722274482345514,-1.8524680258311736,0.06913888645490629,0.017973157999999864,0.1722274482345514,0.10435710558471933,0.9172523023398829
A1BG-AS1,-0.05093957100000005,0.14382318603378497,-0.3541819118652679,0.7245094607031075,-0.15355211900000007,0.20339670027268744,-0.7549390860035471,0.4533936255485562,-0.2413022606000002,0.20339670027268741,-1.1863627102922223,0.24040060151993026
A1CF,-0.012974615999999967,0.25834827050818315,-0.05022141613132648,0.9601215212708458,-0.9572819486500003,0.36535962796830573,-2.6201087240351653,0.011246439499080552,0.1132504468999995,0.36535962796830573,0.3099697892998286,0.7577143951130056
A2LD1,-0.02498006699999993,0.23160077481501642,-0.10785830496444558,0.9144868606513872,0.6305876920000004,0.32753295679951344,1.9252648593344155,0.05919088803441075,0.18987951575000017,0.3275329567995134,0.5797264422041888,0.5643836128869397
A2M,-0.023403906500000102,0.2876696109717583,-0.08135689557524295,0.9354431304602582,0.35400464400000015,0.4068262653188528,0.8701617230208739,0.38786187181404097,-0.35625000149999975,0.40682626531885274,-0.8756809278790947,0.38487882580950394
A2ML1,-0.054291749999999986,0.38074895510827145,-0.14259198685013158,0.8871152774612963,0.9825920158500001,0.5384603361735022,1.8248178182123154,0.07327039819822256,0.08765018500000019,0.5384603361735022,0.16277927845693285,0.8712679509362133
A4GALT,-0.11742126999999984,0.5782117016559458,-0.2030766061352892,0.8397983563975411,-1.3153114515000008,0.8177148304046645,-1.6085209691612044,0.11324656331226168,0.544652146999999,0.8177148304046644,0.6660661232357321,0.5080556512690801
A4GNT,-0.010588931999999995,0.21994086844764435,-0.04814444934557776,0.961769419383883,-0.6586250999500002,0.31104335907877545,-2.117470380659037,0.03859476969455078,0.013846211949999646,0.3110433590787754,0.04451537557660226,0.964649181716853
AAA1,-0.011326396875000084,0.20686753390480855,-0.054751930673722825,0.9565275564453339,-0.6996609168500002,0.2925548720628564,-2.391554486570559,0.020099679707405116,-0.3292544364250002,0.29255487206285635,-1.125445063017986,0.265117099597709
AAAS,-0.030333566499999964,0.19570368708788227,-0.15499741957533197,0.8773709133054859,-0.054979685600000064,0.2767668084861035,-0.1986498522013365,0.8432435117958725,0.1025796864499999,0.27676680848610347,0.3706357962904011,0.712282672580733
AACS,-0.009865486875000062,0.12775118917940353,-0.077224227331033,0.9387156067753242,-0.20764067182499996,0.1806674643468035,-1.1492975371947411,0.2552330555847653,-0.22420987720000007,0.18066746434680347,-1.2410086011370258,0.21968592761591466
AACSP1,0.02502112499999993,0.35836601053843714,0.06982002830683143,0.9445812833503191,-1.2940081630000004,0.5068060723969974,-2.553260968006639,0.013372773932903925,-0.2607898231500004,0.5068060723969974,-0.5145751745170791,0.608839494399743
AADAC,-0.061300506999999727,0.2836540472307797,-0.21611010876966583,0.8296734558926631,-0.10339373170000053,0.4011474006157872,-0.2577449873569777,0.7975320090016984,0.8891973074999995,0.40114740061578713,2.216634848275283,0.030653656478528024
