mouse_tissue,mission,n_proteostasis_pathways_present,mouse_mean_NES_proteostasis_11,mouse_median_NES_proteostasis_11,mouse_std_NES_proteostasis_11,n_overlap_with_i4_skin,spearman_r_vs_i4_skin,permutation_p_vs_i4_skin
eye,OSD-397,11,2.3273977161169026,2.37709224685567,0.2659174135273717,11,-0.7181818181818183,0.01759648070385923
eye,RR-1,11,3.2240837269158886,3.26797614091843,0.48137857499986336,11,-0.8181818181818182,0.002999400119976005
eye,RR-3,11,3.2147069437770273,3.30464793360024,0.5635666492478717,11,-0.8636363636363636,0.0007998400319936012
gastrocnemius,RR-1,11,-2.0426653571687967,-2.08481641430161,0.6829106243765368,11,0.881818181818182,0.0009998000399920016
gastrocnemius,RR-9,11,-2.4661691313414167,-2.79514590346933,1.2793116893627552,11,0.7545454545454545,0.007998400319936013
kidney,RR-1,11,2.0170159081643653,2.7234675253371,1.7102571165084202,11,-0.7818181818181819,0.006798640271945611
kidney,RR-3,11,1.3492402927373033,1.44979219207465,0.4602795505315216,11,-0.8545454545454546,0.001999600079984003
kidney,RR-7,11,0.6811300307884084,0.850065050423426,0.650221825835425,11,0.02727272727272728,0.9514097180563887
liver,MHU-2,11,1.5256430035572193,1.75612771718587,1.3164526191970847,11,-0.8363636363636365,0.0021995600879824036
liver,RR-1,11,0.6118193580595256,1.25481987156888,1.577561848785418,11,-0.5090909090909091,0.11717656468706258
liver,RR-3,11,-1.051413675802982,-0.986078026408079,0.31183852858523414,11,0.009090909090909092,0.9882023595280944
liver,RR-6,11,1.8812831442952727,1.98444499248656,0.4386474907025953,11,-0.6090909090909091,0.05038992201559688
liver,RR-8,11,1.8972170987465153,2.22254309185564,1.134641104013186,11,-0.8363636363636365,0.0015996800639872025
liver,RR-9,11,0.6322250740097775,1.47987605211341,1.8937706275853938,11,-0.7454545454545456,0.012997400519896021
skin,MHU-2_dorsal,11,-2.2295628135551926,-2.28588348402856,0.318442065836178,11,-0.19090909090909092,0.5758848230353929
skin,MHU-2_femoral,11,1.854218878298228,2.18248046120183,0.904554397280565,11,-0.8727272727272729,0.0005998800239952009
skin,RR-6,11,2.9072081510095207,2.97605628237203,0.16395773413221051,11,-0.44545454545454555,0.16916616676664667
thymus,MHU-2,11,2.2199653355803575,2.20474050117827,0.15013058450473027,11,-0.4090909090909091,0.20395920815836832
thymus,RR-6,11,-0.889075785622141,-1.2018992077145,1.2711994203561483,11,0.5,0.1249750049990002
thymus,RR-9,11,2.997772299622812,3.03420247504073,0.17987464962221536,11,-0.4909090909090909,0.132373525294941
