mission,compartment,n_pathways_in_set,human_mean_NES,human_median_NES,human_std_NES,spearman_r_vs_mouse_gastrocnemius,permutation_p,pathway_set
NASA_Twins,CD8;PolyA+|In-flight vs Pre-flight,2,-2.748388071,-2.748388071,0.1150367839260477,,,nonproteostasis_14
NASA_Twins,CD4;Multivariate (PolyA+ and Ribodepleted together)|Post-flight vs Pre-flight,2,-2.719820816,-2.719820816,0.21560870869343118,,,nonproteostasis_14
NASA_Twins,CD4;Multivariate (PolyA+ and Ribodepleted together)|In-flight vs Pre-flight,2,-2.5460983715,-2.5460983715,0.28351441795480536,,,nonproteostasis_14
NASA_Twins,CD4;PolyA+|Post-flight vs Pre-flight,2,-2.5332661114999997,-2.5332661114999997,0.10650530655868738,,,nonproteostasis_14
NASA_Twins,CD8;Multivariate (PolyA+ and Ribodepleted together)|Post-flight vs Pre-flight,3,-2.502213803666667,-2.638772836,0.673633104507897,-1.0,0.34333133373325336,nonproteostasis_14
NASA_Twins,CD4;Ribodepleted|Post-flight vs Pre-flight,2,-2.442586994,-2.442586994,0.31999341545036913,,,nonproteostasis_14
NASA_Twins,CD8;PolyA+|Post-flight vs Pre-flight,3,-2.4341863900000003,-2.883291458,0.8122759353316146,-0.5,1.0,nonproteostasis_14
NASA_Twins,CD4;PolyA+|In-flight vs Pre-flight,2,-2.3474595674999996,-2.3474595674999996,0.18111568423244037,,,nonproteostasis_14
NASA_Twins,CD8;Ribodepleted|Post-flight vs Pre-flight,3,-2.3106680313333334,-2.464111159,0.6083681461132621,-1.0,0.3385322935412917,nonproteostasis_14
Inspiration4_Skin,skin|Immediately Post-flight,14,-2.2180152857142854,-2.0932855,0.47445675548558913,0.6087912087912088,0.02459508098380324,nonproteostasis_14
Inspiration4_PBMC,CD14_Mono|Immediately Post-flight,6,-2.2093225,-2.2670019999999997,0.17219965855105515,0.028571428571428574,1.0,nonproteostasis_14
NASA_Twins,CD8;Multivariate (PolyA+ and Ribodepleted together)|In-flight vs Pre-flight,4,-2.1543908907500002,-2.1321822445,0.6804606316027907,-0.39999999999999997,0.758248350329934,nonproteostasis_14
NASA_Twins,CD4;Ribodepleted|In-flight vs Pre-flight,3,-2.1089045443333334,-2.198947945,0.4785343372080243,-1.0,0.3385322935412917,nonproteostasis_14
NASA_Twins,CD8;Ribodepleted|In-flight vs Pre-flight,4,-2.0084417915,-1.917579716,0.5877824012792433,-0.39999999999999997,0.7526494701059788,nonproteostasis_14
Inspiration4_PBMC,DC|Immediately Post-flight,13,-1.989624076923077,-1.87247,0.20653946438088674,0.4450549450549451,0.1235752849430114,nonproteostasis_14
NASA_Twins,CD19;Ribodepleted|Post-flight vs Pre-flight,1,-1.987396951,-1.987396951,,,,nonproteostasis_14
Inspiration4_PBMC,CD16_Mono|Immediately Post-flight,13,-1.918860923076923,-1.8284,0.19733260440918088,0.5714285714285714,0.04279144171165767,nonproteostasis_14
NASA_Twins,CD19;Multivariate (PolyA+ and Ribodepleted together)|Post-flight vs Pre-flight,2,-1.8109172745,-1.8109172745,0.07021854099133708,,,nonproteostasis_14
Inspiration4_PBMC,NK|Immediately Post-flight,14,-1.7449905714285716,-1.8043114999999998,0.9422567328692008,0.7186813186813187,0.004799040191961607,nonproteostasis_14
Inspiration4_PBMC,other_T|Immediately Post-flight,9,-1.693383222222222,-2.249265,1.1934071227157537,0.7,0.04879024195160968,nonproteostasis_14
Inspiration4_PBMC,CD8_T|Immediately Post-flight,10,-1.6886161000000002,-2.0179549999999997,1.1469790221681815,0.7333333333333332,0.021395720855828835,nonproteostasis_14
Inspiration4_PBMC,CD4_T|Immediately Post-flight,8,-1.646849375,-2.2027764999999997,1.2639860279705781,0.5952380952380953,0.13177364527094582,nonproteostasis_14
Inspiration4_PBMC,B|Immediately Post-flight,14,-1.6435089285714286,-1.6726545000000002,0.9348379410527601,0.7626373626373627,0.0013997200559888023,nonproteostasis_14
NASA_Twins,CD19;PolyA+|Post-flight vs Pre-flight,1,-1.636661369,-1.636661369,,,,nonproteostasis_14
Inspiration4_PBMC,other|Immediately Post-flight,4,-1.5406165,-2.4611755000000004,1.8938357561609365,0.19999999999999998,0.9180163967206558,nonproteostasis_14
