mouse_tissue,n_pathways,spearman_r,spearman_p,bootstrap_mean_r,bootstrap_ci_low,bootstrap_ci_high,permutation_p,concordance_1.0
gastrocnemius,25,0.8261538461538462,3.6400915595777106e-07,0.8096297376073057,0.5609638942617665,0.9459774215208997,0.0001999600079984003,1.0
thymus,25,-0.11384615384615385,0.5879182238585222,-0.11103465188502967,-0.4715615646453739,0.2850137488679155,0.5970805838832234,0.0
skin,25,-0.6653846153846155,0.0002839270469932321,-0.6537181409291193,-0.9318898618184605,-0.21145657941413065,0.0009998000399920016,0.0
liver,26,-0.8707692307692306,7.292203017407885e-09,-0.8511721677718868,-0.933678756476684,-0.7018054840370753,0.0001999600079984003,0.09090909090909091
eye,25,-0.883846153846154,4.743969749788048e-09,-0.8653149782927171,-0.9599102616575472,-0.6785571154257476,0.0001999600079984003,0.04
kidney,25,-0.9046153846153847,5.46885458949306e-10,-0.8842396600759372,-0.9588991962511758,-0.7696128612112788,0.0001999600079984003,0.125
