"ENSEMBL","log2FC","stat","pvalue","adj_pvalue"
"ENSMUSG00000000001",-0.39833966509133,-3.10690874627883,0.00189054747556259,0.00822055015750683
"ENSMUSG00000000028",-0.374598340259096,-1.57705780158154,0.114782225732844,0.182074400818969
"ENSMUSG00000000031",1.78095972095102,3.46514387555528,0.000529947883290515,0.00352127269068935
"ENSMUSG00000000037",-0.41978628226849,-2.36475658133784,0.0180419249485104,0.0423905784823308
"ENSMUSG00000000049",3.70505604882001,4.22376506180441,2.40254503701223e-05,0.000528747397721945
"ENSMUSG00000000056",-0.509479346332958,-3.31624587067456,0.00091235522446427,0.005067904624583
"ENSMUSG00000000058",0.915058059865761,2.10714622222337,0.03510490677591,0.0711268970070583
"ENSMUSG00000000078",0.146559312040698,1.00832413871706,0.313298878379408,0.407459856254556
"ENSMUSG00000000085",-0.43981770146127,-2.23502053747705,0.025416000471627,0.0553671667744855
"ENSMUSG00000000088",0.183838976970359,0.612398799710278,0.540273935755823,0.627828335634313
"ENSMUSG00000000093",0.85674997348526,1.96469981914421,0.0494489909036932,0.0928715183550383
"ENSMUSG00000000120",0.827007938091322,1.63083542018883,0.102925051389751,0.166804321442006
"ENSMUSG00000000126",1.04547995347208,3.52960140944229,0.000416186169115904,0.00300289881744044
"ENSMUSG00000000127",0.561485137251158,2.06253429571294,0.0391568958829064,0.0774769029139961
"ENSMUSG00000000131",-0.310471204046365,-2.00401636675082,0.0450683072335578,0.0864969082828512
"ENSMUSG00000000134",0.618042252454768,4.44883528684145,8.63371923954933e-06,0.000288957670808233
"ENSMUSG00000000142",0.198899352612573,1.0295662326311,0.303213673407933,0.396879798882509
"ENSMUSG00000000148",0.0623613702542144,0.301825134025336,0.762785369701356,0.819490937865278
"ENSMUSG00000000149",1.0396598058567,3.59815207943421,0.000320486210356578,0.00253779313222993
"ENSMUSG00000000154",2.18885419289169,4.54848125356686,5.40344556728047e-06,0.000221305848430879
"ENSMUSG00000000167",0.513247608946296,1.44823770042115,0.1475505842494,0.22298063872521
"ENSMUSG00000000168",0.277759104049479,0.741184158822265,0.458581787024004,0.55230694025019
"ENSMUSG00000000171",0.331024040360959,1.24849849313641,0.211848559893356,0.297379112201026
"ENSMUSG00000000184",0.806519039646938,4.15097663161551,3.31059570103675e-05,0.000627202204742481
"ENSMUSG00000000194",-0.0470625965705416,-0.52971325803928,0.596310754258837,0.677980222301659
"ENSMUSG00000000197",-0.131424754706566,-0.308305180995135,0.757850124074005,0.815298054460215
"ENSMUSG00000000204",0.889204261276386,2.71272491265924,0.00667324784062136,0.0200025183148658
"ENSMUSG00000000216",0.105804532725519,0.217419881381674,0.827881138655936,0.871688660272418
"ENSMUSG00000000223",0.681657883246139,1.53010580315903,0.12599054205941,0.196165256786404
"ENSMUSG00000000244",-0.219516556431971,-1.10289248881221,0.270073856475894,0.36155757498241
"ENSMUSG00000000247",-0.374241827609023,-1.32380703603649,0.185567138782991,0.267708672843056
"ENSMUSG00000000248",1.06946990441674,2.66068944807788,0.00779808442751452,0.0224143833260868
"ENSMUSG00000000253",0.636414728220651,1.87025046347343,0.0614490449863963,0.110570193881729
"ENSMUSG00000000266",0.278930677643792,1.16472562607528,0.244130072523303,0.333867111997404
"ENSMUSG00000000275",-0.0825332119376235,-0.68926013725789,0.490659578624362,0.58210703657746
"ENSMUSG00000000276",-1.07421872041424,-3.46500539901596,0.000530220834684189,0.00352190090763815
"ENSMUSG00000000278",1.22823876068332,3.61127395252238,0.000304696593738764,0.0024563405117866
"ENSMUSG00000000282",0.0995444724823884,0.43628332817383,0.662631176403855,0.735507565554596
"ENSMUSG00000000290",0.133230733848652,0.632058925773217,0.527348373436909,0.616509785622291
"ENSMUSG00000000295",-0.3588758567165,-2.9626433542342,0.0030500974481776,0.0114247997576533
"ENSMUSG00000000296",0.0926618500354233,0.263975257834843,0.791798984105778,0.843099328123054
"ENSMUSG00000000301",2.2172842331499,5.12276032161754,3.01094978711292e-07,4.37052645201442e-05
"ENSMUSG00000000303",0.315649408429568,0.785415816401479,0.43220981039882,0.526552324554623
"ENSMUSG00000000305",-0.401117463554612,-0.998766560159739,0.317907788654348,0.412432164038105
"ENSMUSG00000000308",1.2517905727186,2.15711475350121,0.0309967243441695,0.0644111931871841
"ENSMUSG00000000317",0.801249896840484,2.05515461913754,0.039864072777393,0.0785248363332505
"ENSMUSG00000000318",1.3213819193227,4.1870528715017,2.82600012613158e-05,0.000577516236956145
"ENSMUSG00000000320",1.34241319885832,2.54882454810264,0.0108086663157011,0.028575583465683
