module,condition,duration_days,mission_RR-6,mission_RR-7
MEblue,0.020349,0.600508,3.1e-05,0.600508
MEbrown,0.251918,0.000182,0.0,0.000182
MEred,0.468678,0.0,0.147806,0.0
MEturquoise,0.000329,0.004747,0.739859,0.004747
MEyellow,0.642237,0.31508,0.0,0.31508
