,MEblue,MEbrown,MEred,MEturquoise,MEyellow
Mmus_C57-6J_DSKN_FLT_1G_JC_Rep1_F5,1.6435900793503204,29.293050528841682,-12.178363120256368,58.19146622467789,-26.710808803097567
Mmus_C57-6J_DSKN_FLT_1G_JC_Rep2_F6,-23.15725527998682,42.17006359121092,-18.583049940184853,82.7984290582246,-32.7082165907537
Mmus_C57-6J_DSKN_FLT_1G_JC_Rep3_F12,24.942017639572597,34.29251586306866,-19.02903944971349,-74.67910173367049,-29.41158362263291
Mmus_C57-6J_DSKN_FLT_1G_JCwFOS_Rep1_F4,0.18091245826178223,33.691610369673626,-16.365233974302527,23.82593534148491,-28.74412141115299
Mmus_C57-6J_DSKN_FLT_1G_JCwFOS_Rep2_F10,32.34661758492381,29.256564768671126,-12.116155122758826,-68.65665010457296,-24.934151084213266
Mmus_C57-6J_DSKN_FLT_1G_JCwFOS_Rep3_F11,34.440931381235295,32.31261842926154,-15.138487922873649,-75.21953963640047,-29.06972780507008
Mmus_C57-6J_DSKN_FLT_uG_JC_Rep1_F2,14.183985220997695,38.6312810791444,-15.38393929333219,34.68807105189935,-31.68866695585325
Mmus_C57-6J_DSKN_FLT_uG_JC_Rep2_F3,-4.617199022942082,38.07317543828344,-22.674088211723458,75.69251693203337,-32.06110253340066
Mmus_C57-6J_DSKN_FLT_uG_JC_Rep3_F9,22.532487518549438,29.166224386676955,-9.71643353302534,-77.48527564013355,-26.665514809024206
Mmus_C57-6J_DSKN_FLT_uG_JCwFOS_Rep1_F1,18.594991828396388,23.85283418211674,-13.992648573629772,-72.63125228167775,-30.674978808340096
Mmus_C57-6J_DSKN_FLT_uG_JCwFOS_Rep2_F7,20.553806696387863,29.942530296459896,-10.696776272481085,-76.21308509691,-27.755806144323977
Mmus_C57-6J_DSKN_FLT_uG_JCwFOS_Rep3_F8,23.90141216911131,27.165113893052535,-9.723646255725402,-53.380771782961126,-27.633239765544747
Mmus_C57-6J_DSKN_GC_1G_JC_Rep1_G5,6.519093125656619,38.44295285861783,-14.909736185585333,61.77955438519434,-25.19103534267651
Mmus_C57-6J_DSKN_GC_1G_JC_Rep2_G6,-16.922679986335908,41.36820858702556,-12.656363143288702,60.94494252157199,-28.8405559474707
Mmus_C57-6J_DSKN_GC_1G_JC_Rep3_G12,-0.41286192847160497,32.00131685511048,-5.541688567125019,-7.7315664872123735,-21.802322015829354
Mmus_C57-6J_DSKN_GC_1G_JCwFOS_Rep1_G4,-15.084621294163885,40.63462018909281,-3.193954982578968,23.542798409643954,-18.38139255222854
Mmus_C57-6J_DSKN_GC_1G_JCwFOS_Rep2_G10,-95.34105313122282,32.22713316446443,-15.798900750791757,8.559266155351857,-22.934187943755525
Mmus_C57-6J_DSKN_GC_1G_JCwFOS_Rep3_G11,-25.024549098506448,35.844908591714216,-9.88994221758712,80.27043242501102,-26.080816395483776
Mmus_C57-6J_DSKN_VIV_1G_JC_Rep1_G2,-5.425502854590363,39.949077061276924,-4.668986960442854,-32.071114279932644,-19.57469531910713
Mmus_C57-6J_DSKN_VIV_1G_JC_Rep2_G3,-44.3342548755369,39.020805130032485,-15.212781687921009,82.97310804906775,-24.899830297300632
Mmus_C57-6J_DSKN_VIV_1G_JC_Rep3_G9,-50.855140360372125,35.77487247000145,-7.93571284596547,42.11231718802446,-23.118744507704847
Mmus_C57-6J_DSKN_VIV_1G_JCwFOS_Rep1_G1,-31.610271250706997,32.981892746020016,-10.226298423573018,61.41081084975994,-23.904655989441586
Mmus_C57-6J_DSKN_VIV_1G_JCwFOS_Rep2_G7,-17.56833474810738,36.184073917103404,-6.251875184381524,55.95483991900014,-23.93745484256868
Mmus_C57-6J_DSKN_VIV_1G_JCwFOS_Rep3_G8,13.903849587699629,37.28224116009765,13.560373946634943,-64.7692813878143,-21.6433349627969
Mmus_C57-6J_FSKN_FLT_1G_JC_Rep1_F5,-41.253804545024614,38.93844057007675,-22.81339052034132,69.12094766560364,-29.743550793606484
Mmus_C57-6J_FSKN_FLT_1G_JC_Rep2_F6,27.109980322422192,40.54984887993049,-1.0983813914955292,42.792473372461885,-23.17811073733428
Mmus_C57-6J_FSKN_FLT_1G_JC_Rep3_F12,-71.09884061811455,34.796449762627674,-18.120777944529564,70.30315665538144,-29.207655021287703
