manifest_id,task_id,artifact_id,artifact_role,block_id,path,file_format,exists,byte_size,line_count,row_count,sha256,required_for_claims,validation_scope,generated_by,claim_boundary
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,candidate_claim_map,claim_map_source,V9-MULTI-022,v9/multispecies/reports/interaction_diagnostic_candidate_package/candidate_claim_map.csv,csv,True,2537,6,5,4cca8da4c98825eedcbd1d21b1b0c907e64196b5f4b04e327e6eabf946a56000,draft_candidate_boundary|nearest_centroid_fold_comparison|fragile_focus_recovery|feature_stability_evidence|external_light_genotype_context,generated_output,scripts/build_v9_osd120_diagnostic_candidate_package.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,figure_main_focus_table,figure_table,V9-MULTI-023,v9/multispecies/reports/interaction_figure_table_package/figure_main_focus_table.csv,csv,True,1275,4,3,c6987d0353e41e2a84ca8cce916c31008f900f206cda5438ff8c4d20e79a8570,fragile_focus_recovery|figure_table_claim_boundary,generated_output,scripts/build_v9_osd120_figure_table_package.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,figure_stable_feature_appendix,figure_appendix,V9-MULTI-023,v9/multispecies/reports/interaction_figure_table_package/figure_stable_feature_appendix.csv,csv,True,5789,20,19,bcb1e20cbee6758b89edd69b4b8bfc09d013e879abefe95e5c6ea07595a3cde2,feature_stability_evidence|figure_table_claim_boundary,generated_output,scripts/build_v9_osd120_figure_table_package.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,figure_caption,caption,V9-MULTI-023,v9/multispecies/reports/interaction_figure_table_package/figure_caption.md,md,True,1103,13,,780e12cbfada87370aa2c33eae8f1a9d2eb72b8f682afb1414a80d06d299f82b,figure_table_claim_boundary,caption_text,scripts/build_v9_osd120_figure_table_package.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,figure_claim_boundary_box,claim_boundary,V9-MULTI-023,v9/multispecies/reports/interaction_figure_table_package/figure_claim_boundary_box.md,md,True,542,14,,022d97ae2b4588adfc2c989ff523577a051db62f80200f498a77e31b3390e66b,figure_table_claim_boundary,claim_boundary_text,scripts/build_v9_osd120_figure_table_package.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,paired_comparator_summary,paired_comparator_summary,V9-MULTI-024,v9/multispecies/reports/interaction_paired_comparator_table/paired_comparator_summary.csv,csv,True,1599,2,1,e4ff2c21fc865f731097191d6ab58ee8ef7bb379c6d08d7b4d2b9bc7b3a7dcbf,paired_comparator_decision,generated_output,scripts/build_v9_osd120_paired_comparator_table.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,paired_focus_comparator_table,paired_focus_table,V9-MULTI-024,v9/multispecies/reports/interaction_paired_comparator_table/paired_focus_comparator_table.csv,csv,True,1385,4,3,2d240fe1ce86aaf6a025f672e81bdbca4d8bc275a68909e0f4ed0c6b47f7901a,paired_comparator_decision,generated_output,scripts/build_v9_osd120_paired_comparator_table.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,paired_comparator_decision,paired_decision_note,V9-MULTI-024,v9/multispecies/reports/interaction_paired_comparator_table/paired_comparator_decision.md,md,True,740,16,,c7c32f46407e5c7cd696ccc7b2e29ae9913e71ee27ba44c3e299dfef19865e84,paired_comparator_decision,decision_text,scripts/build_v9_osd120_paired_comparator_table.py,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,paired_comparator_review,review_note,V9-MULTI-024,v9/multispecies/reports/OSD120_INTERACTION_PAIRED_COMPARATOR_REVIEW.md,md,True,2448,57,,f468ea86022bb6b2726d1fa51c7fb575f055b0fa372f65ffb730f87cbce5ebb7,paired_comparator_decision,review_note,manual_review,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,figure_table_review,review_note,V9-MULTI-023,v9/multispecies/reports/OSD120_INTERACTION_FIGURE_TABLE_DRAFT_REVIEW.md,md,True,2825,61,,a5a3a06465e5fe1965ca858b3256a4c240e432a47eb142f8b1ab207e4442f4a3,figure_table_claim_boundary,review_note,manual_review,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,candidate_package_review,review_note,V9-MULTI-022,v9/multispecies/reports/OSD120_INTERACTION_DIAGNOSTIC_CANDIDATE_PACKAGE_REVIEW.md,md,True,4481,106,,cdd5e6cb78594b04c8c0d2e42d7a2195186c24a61e33000844d3cc01f2310f60,draft_candidate_boundary,review_note,manual_review,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,baseline_ladder_review,review_note,V9-MULTI-021,v9/multispecies/reports/OSD120_INTERACTION_BASELINE_LADDER_REVIEW.md,md,True,3280,60,,af0bc1832b5c36b68f3d88a2ee44cc40f6a5220a525b6961df6c651de0879222,draft_candidate_boundary,review_note,manual_review,draft_interaction_logistic_only_not_leaderboard
osd120_diagnostic_artifact_manifest,draft_osd120_arabidopsis_root_light_interaction_spaceflight,v9_test_source,validation_test_source,V9-MULTI-025,tests/test_v9_spacebio_bench.py,py,True,239550,5544,,659fa960e9fbea3e2d9f817214f1bce162fde12d03383fb8e36625d1d9388a1e,draft_candidate_boundary|nearest_centroid_fold_comparison|fragile_focus_recovery|feature_stability_evidence|figure_table_claim_boundary|paired_comparator_decision,unit_tests,manual_test_updates,draft_interaction_logistic_only_not_leaderboard
