pert_id,perturbation,rev_thymus,rev_gastrocnemius,rev_skin,rev_eye,rev_liver,rev_kidney,n_tissues,mean_rev,min_rev,max_rev
BRD-A45889380,QUINACRINE HYDROCHLORIDE,,,0.1818,,,0.0909,2,0.13635,0.0909,0.1818
BRD-K54256913,-666,0.1231,,,,,,1,0.1231,0.1231,0.1231
BRD-A33447119,OXFENDAZOLE,0.1231,,,,,,1,0.1231,0.1231,0.1231
BRD-K71430621,clobenpropit,0.1231,,,,,,1,0.1231,0.1231,0.1231
BRD-K52075715,OXIBENDAZOLE,0.1231,,,,,,1,0.1231,0.1231,0.1231
BRD-K59753975,vindesine,0.1231,,,,,,1,0.1231,0.1231,0.1231
BRD-K61323504,SB 225002,0.1231,,,,,,1,0.1231,0.1231,0.1231
BRD-K99252563,QL-XII-47,,0.1212,,,,,1,0.1212,0.1212,0.1212
BRD-K21680192,mitoxantrone,,,0.1818,0.0588,,0.1136,3,0.11806666666666665,0.0588,0.1818
BRD-K99545815,PF-562271,,,0.1591,0.0735,,,2,0.11629999999999999,0.0735,0.1591
BRD-A13122391,16-HYDROXYTRIPTOLIDE,,,0.1364,,,0.0909,2,0.11365,0.0909,0.1364
BRD-K38477985,Malonoben,,,0.1136,,,,1,0.1136,0.1136,0.1136
BRD-K51608872,"""""""N,N-dimethyl-6-({[1-(1-naphthyl)-1H-tetrazol-5-yl]thio}methyl)-1,3,5-triazine-2,4-diamine""""""",,,,,,0.1136,1,0.1136,0.1136,0.1136
BRD-K49865102,PD-0325901,,,,,,0.1136,1,0.1136,0.1136,0.1136
BRD-A58955223,L-sulforophane,,,0.1136,,,,1,0.1136,0.1136,0.1136
BRD-K42918627,GSK-2126458,,,,,,0.1136,1,0.1136,0.1136,0.1136
BRD-A55594068,VINBLASTINE SULFATE,,,0.1136,,,,1,0.1136,0.1136,0.1136
BRD-K64052750,gefitinib,,,,,,0.1136,1,0.1136,0.1136,0.1136
BRD-K78659596,MLN2238,,,0.1136,,,,1,0.1136,0.1136,0.1136
BRD-K72414522,AZD-5438,,,0.2045,0.0588,0.1,0.0909,4,0.11354999999999998,0.0588,0.2045
BRD-M16762496,S1205,,,0.1591,,0.06,,2,0.10955,0.06,0.1591
BRD-K66032149,VU0365117-1,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K08316444,-666,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K46056750,AZD-7762,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K37865504,LY 2183240,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K36055864,-666,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K14939371,-666,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K34508425,-666,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-A68930007,-666,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-A16820783,-666,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K26997899,D-64131,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K91623615,ABT-751,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-A84189516,BACCATIN III,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-A80502530,-666,0.1077,,,,,,1,0.1077,0.1077,0.1077
BRD-K56751279,Y-39983,,0.1061,,,,,1,0.1061,0.1061,0.1061
BRD-K13390322,AT-7519,,0.0758,0.1591,0.0735,,,3,0.1028,0.0735,0.1591
BRD-K65182930,NVP-AUY922,0.1077,,,,,0.0909,2,0.0993,0.0909,0.1077
BRD-A52650764,"Ingenol 3, 20-dibenzoate",,,0.1364,,0.06,,2,0.0982,0.06,0.1364
BRD-A19500257,geldanamycin,,0.0758,0.1136,,0.06,0.1364,4,0.09645000000000001,0.06,0.1364
BRD-A55484088,BNTX maleate,,0.0758,0.1136,,,,2,0.0947,0.0758,0.1136
BRD-K84595254,-666,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K75308990,-666,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K71265179,Carbazol-9-yl-p-tolyl-methanone,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K38340366,-666,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-A93236127,-666,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K12184916,NVP-BEZ235,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K11072542,-666,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K47869605,podofilox,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K09638361,IC 261,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K49712247,NCGC00167098-01,0.0923,,,,,,1,0.0923,0.0923,0.0923
BRD-K70401845,erlotinib,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K37687095,AZD-8330,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K67075780,TGX-115,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K36055864,CYCLOHEXIMIDE,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K97365803,PI 828,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K93788137,PF-431396,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K68174511,torin-2,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K49810818,S-8599,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K88573743,A443654,,0.0909,,,,,1,0.0909,0.0909,0.0909
BRD-K70549064,EI-156,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K48488978,YM-201636,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K72636697,QL-X-138,,0.0909,,,,,1,0.0909,0.0909,0.0909
BRD-K53414658,-666,,0.0909,,,,,1,0.0909,0.0909,0.0909
BRD-K41895714,AS605240,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-U60236422,WH-4-025,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K08547377,CPT 11,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K16478699,PLX-4720,,,,,,0.0909,1,0.0909,0.0909,0.0909
