term,target,ko_direction,pvalue,odds,combined_score,overlap_genes,adj_pvalue
MAP4K1 ACTN4 Up,MAP4K1 ACTN4,Up,2.9357079100477734e-09,11.713576816196904,230.128645874613,AOC3|PER2|CEBPA|PER3|HLF|TNNC1|ID1|TSPAN4|FLNA|ATP2A2|MET|SH3BGR,7.587153929144258e-06
ICAM2 Up,ICAM2,Up,3.8743217639336205e-09,11.411025145067699,221.01895036617958,TPM3|TNNT1|MYL2|TNNC1|ID1|TNNI1|DNAJB9|COQ10B|MYOZ2|SH3BGR|IGF1R|MCL1,7.587153929144258e-06
ETS1 Up,ETS1,Up,3.5621449708547474e-08,10.523809523809524,180.48667843803378,PPP1CB|PER2|MYH2|TPM3|TNNT1|MYL2|TNNC1|MYL3|ID1|TNNI1|SH3BGR,2.1406055592052383e-05
PTPN14 Up,PTPN14,Up,3.5621449708547474e-08,10.523809523809524,180.48667843803378,MYH2|TPM3|TNNT1|MYL2|TNNC1|TNNI1|FLNA|ATP2A2|MYOZ2|PTPN3|IGF1R,2.1406055592052383e-05
NDUFB5 Up,NDUFB5,Up,3.875248108895358e-08,10.432415489222164,178.0403440153364,AOC3|MLLT11|GABARAPL1|KLF6|PER3|TNNT1|TNNC1|FLNA|ATP2A2|PPL|SLC19A2,2.1406055592052383e-05
FAAH2 Up,FAAH2,Up,3.875248108895358e-08,10.432415489222164,178.0403440153364,MYH2|TPM3|TNNT1|MYL2|TNNC1|MYL3|ID1|KLHL21|TNNI1|PLIN1|MYOZ2,2.1406055592052383e-05
KCND2 Up,KCND2,Up,4.040801969959173e-08,10.387304331124556,176.83593658536927,DNAJA1|MYH2|TPM3|TNNT1|MYL2|TNNC1|TNNI1|ATP2A2|NR1D2|MYOZ2|DUSP7,2.1406055592052383e-05
GPX2 Up,GPX2,Up,4.040801969959173e-08,10.387304331124556,176.83593658536927,MYH2|TPM3|TNNT1|MYL2|TNNC1|MYL3|TNNI1|DNAJB9|ATP2A2|MYOZ2|SH3BGR,2.1406055592052383e-05
KCNK2 Up,KCNK2,Up,4.575899014974857e-08,10.254254966102499,173.2956533810212,DNAJA1|TPM3|MYL2|TNNC1|ID1|TNNI1|PPL|MET|MYOZ2|PFN2|DUSP7,2.1406055592052383e-05
COL8A1 Up,COL8A1,Up,4.575899014974857e-08,10.254254966102499,173.2956533810212,MYH2|TNNT1|MYL2|TNNC1|ID1|TNNI1|ATP2A2|SLC30A1|MET|PTPN3|SLC19A2,2.1406055592052383e-05
MAP3K7 Up,MAP3K7,Up,4.966796462610976e-08,10.167411029100654,170.99455976430053,GABARAPL1|MYH2|TPM3|TNNT1|MYL2|TNNC1|ID1|MET|MYOZ2|SH3BGR|PTPN3,2.2128260811518235e-05
C1ORF162 Up,C1ORF162,Up,3.4545461889054544e-07,9.502415458937199,141.38078141404316,MYH2|HLF|TPM3|TNNT1|MYL2|TNNC1|TNNI1|ATP2A2|SRSF5|MYOZ2,7.814391432458039e-05
DAPK1 Up,DAPK1,Up,3.589314912513139e-07,9.460798460798461,140.39951973248853,MYH2|KLF6|TPM3|TNNT1|MYL2|TNNC1|MYL3|TNNI1|MYOZ2|PFN2,7.814391432458039e-05
SBK3 Up,SBK3,Up,3.872757080805068e-07,9.37863614687649,138.46739366885288,MYH2|TPM3|MYL2|TNNC1|KLHL21|TNNI1|FLNA|ATP2A2|MYOZ2|PFN2,7.814391432458039e-05
NXPH4 Up,NXPH4,Up,4.021700162165578e-07,9.338081671415004,137.5162410597916,DNAJA1|KLF6|TPM3|MYL2|TNNC1|TNNI1|ATP2A2|MYOZ2|IGF1R|MCL1,7.814391432458039e-05
MBD3 Up,MBD3,Up,4.021700162165578e-07,9.338081671415004,137.5162410597916,MYH2|KLF6|TPM3|MYL2|TNNC1|ID1|TNNI1|ATP2A2|MYOZ2|MCL1,7.814391432458039e-05
BAX Up,BAX,Up,4.175643013767182e-07,9.297872340425531,136.5748409659222,MYH2|TPM3|TNNT1|MYL2|TNNC1|TNNI1|PPL|MET|SH3BGR|MCL1,7.814391432458039e-05
TRPA1 Up,TRPA1,Up,4.334728565260068e-07,9.258003766478343,135.64305575843323,MYH2|TPM3|TNNT1|MYL2|TNNC1|KLHL21|TSPAN4|TNNI1|MYOZ2|DUSP7,7.814391432458039e-05
GLDC Up,GLDC,Up,4.334728565260068e-07,9.258003766478343,135.64305575843323,MYH2|KLF6|TPM3|TNNT1|MYL2|TNNC1|TNNI1|FLNA|SRSF5|MYOZ2,7.814391432458039e-05
SLC4A11 Up,SLC4A11,Up,4.334728565260068e-07,9.258003766478343,135.64305575843323,NQO1|MYH2|HLF|TPM3|TNNT1|MYL2|TNNC1|MYL3|TNNI1|MYOZ2,7.814391432458039e-05
ACTA2 Up,ACTA2,Up,4.334728565260068e-07,9.258003766478343,135.64305575843323,MYH2|TPM3|MYL2|LEP|TNNC1|TNNI1|FLNA|PLIN1|PCK1|MYOZ2,7.814391432458039e-05
ADAM10 Up,ADAM10,Up,4.334728565260068e-07,9.258003766478343,135.64305575843323,MYH2|TPM3|TNNT1|MYL2|TNNC1|TNNI1|ATP2A2|MYOZ2|SH3BGR|MCL1,7.814391432458039e-05
P2RY11 Up,P2RY11,Up,4.334728565260068e-07,9.258003766478343,135.64305575843323,NQO1|PER3|TNNT1|MYL2|TNNC1|ID1|TNNI1|ATP2A2|MET|MYOZ2,7.814391432458039e-05
CHIA Up,CHIA,Up,4.499103095029275e-07,9.218471636193156,134.72075030412142,KLF6|PIK3IP1|TPM3|TNNT1|MYL2|TNNC1|TNNI1|PCK1|MYOZ2|MCL1,7.814391432458039e-05
IFNGR2 Up,IFNGR2,Up,4.499103095029275e-07,9.218471636193156,134.72075030412142,GABARAPL1|MYH2|TPM3|MYL2|TNNC1|KLF9|TNNI1|NR1D2|MYOZ2|SH3BGR,7.814391432458039e-05
PCK2 Up,PCK2,Up,4.499103095029275e-07,9.218471636193156,134.72075030412142,MLLT11|GABARAPL1|MYH2|TPM3|MYL2|TNNC1|ID1|KLHL21|MET|PFN2,7.814391432458039e-05
SPPL2C Up,SPPL2C,Up,4.499103095029275e-07,9.218471636193156,134.72075030412142,MYH2|HLF|TPM3|TNNT1|MYL2|TNNC1|ID1|KLF9|TNNI1|MYOZ2,7.814391432458039e-05
TUBB4B Up,TUBB4B,Up,4.499103095029275e-07,9.218471636193156,134.72075030412142,MYH2|TPM3|TNNT1|MYL2|TNNC1|MYL3|ID1|TSPAN4|TNNI1|MYOZ2,7.814391432458039e-05
SNX10 Up,SNX10,Up,4.6689162935283507e-07,9.179271708683473,133.80779190343617,DNAJA1|MYH2|KLF6|TPM3|TNNT1|MYL2|TNNC1|MYOZ2|IGF1R|MCL1,7.814391432458039e-05
SAMD8 Up,SAMD8,Up,4.6689162935283507e-07,9.179271708683473,133.80779190343617,MLLT11|MYH2|TPM3|TNNT1|MYL2|TNNC1|KLHL21|TNNI1|PPL|SH3BGR,7.814391432458039e-05
INHBC Up,INHBC,Up,4.6689162935283507e-07,9.179271708683473,133.80779190343617,GABARAPL1|KLF6|TPM3|TNNT1|ADAMTS1|MYL2|TNNC1|ATP6V1H|IGF1R|MCL1,7.814391432458039e-05
ACTN4 Up,ACTN4,Up,4.844321324097544e-07,9.14039981403998,132.90405023762386,MYH2|KLF6|TPM3|TNNT1|MYL2|TNNC1|ID1|TNNI1|MYOZ2|MCL1,7.814391432458039e-05
ALDH1B1 Up,ALDH1B1,Up,3.2719169286885835e-06,8.421150278293135,106.36026089609369,GABARAPL1|KLF6|TNNT1|TNNC1|KLF9|DNAJB9|ATP2A2|MYOZ2|SH3BGR,0.0003455074082710103
FOSL1 Up,FOSL1,Up,3.2719169286885835e-06,8.421150278293135,106.36026089609369,MLLT11|GABARAPL1|TNNT1|MYL2|TNNC1|TNNI1|DNAJB9|MYOZ2|SH3BGR,0.0003455074082710103
GPAT3 Up,GPAT3,Up,3.384921635462054e-06,8.384425918908677,105.61173641444476,MYH2|KLF6|TPM3|ADAMTS1|MYL2|TNNC1|TNNI1|MYOZ2|MCL1,0.0003455074082710103
PYCR2 Up,PYCR2,Up,3.384921635462054e-06,8.384425918908677,105.61173641444476,DNAJA1|CEBPA|GABARAPL1|TNNT1|LEP|MACO1|PLIN1|PPL|MET,0.0003455074082710103
CNTN1 Up,CNTN1,Up,3.5012680636072173e-06,8.348016790076876,104.87100383521116,DNAJA1|TNNT1|ADAMTS1|TNNC1|SERPINE1|TNNI1|SLC30A1|IGF1R|DUSP7,0.0003455074082710103
TRIM33 Up,TRIM33,Up,3.5012680636072173e-06,8.348016790076876,104.87100383521116,MYH2|KLF6|TPM3|MYL2|TNNC1|TNNI1|PPL|MYOZ2|SLC19A2,0.0003455074082710103
SCN2B Up,SCN2B,Up,3.5012680636072173e-06,8.348016790076876,104.87100383521116,TNNT1|LEP|ID1|KLF9|TSPAN4|PLIN1|PPL|MET|PFN2,0.0003455074082710103
SLC2A4RG Up,SLC2A4RG,Up,3.621038010959781e-06,8.311918850380389,104.13795188260119,MYH2|TPM3|TNNT1|ADAMTS1|MYL2|MYL3|TNNI1|MYOZ2|SH3BGR,0.0003455074082710103
DHH Up,DHH,Up,3.621038010959781e-06,8.311918850380389,104.13795188260119,MYH2|TNNT1|MYL2|TSPAN4|SLC30A1|COQ10B|MET|SLC19A2|DUSP7,0.0003455074082710103
IL31 Up,IL31,Up,3.621038010959781e-06,8.311918850380389,104.13795188260119,CEBPA|GABARAPL1|MYH2|TPM3|MYL2|TNNC1|TNNI1|MET|SH3BGR,0.0003455074082710103
EP300 Up,EP300,Up,3.621038010959781e-06,8.311918850380389,104.13795188260119,MYH2|TPM3|TNNT1|MYL2|ID1|TNNI1|PCK1|MYOZ2|PFN2,0.0003455074082710103
CNR1 Up,CNR1,Up,3.744314842673021e-06,8.276128127191956,103.41247131366448,MYH2|TNNT1|MYL2|TNNC1|ID1|TNNI1|PLIN1|PCK1|PPL,0.0003455074082710103
KCNMB4 Up,KCNMB4,Up,3.744314842673021e-06,8.276128127191956,103.41247131366448,MYH2|KLF6|TPM3|TNNT1|MYL2|TNNC1|TNNI1|MET|SH3BGR,0.0003455074082710103
NEK2 Up,NEK2,Up,3.871183510665286e-06,8.240640715216987,102.69445487633494,MLLT11|GABARAPL1|TNNC1|ID1|KLHL21|DNAJB9|ATP2A2|SLC30A1|PFN2,0.0003455074082710103
PLXNA1 Up,PLXNA1,Up,3.871183510665286e-06,8.240640715216987,102.69445487633494,MYH2|TPM3|TNNT1|MYL2|TNNC1|TNNI1|ATP2A2|PCK1|SH3BGR,0.0003455074082710103
PLXDC1 Up,PLXDC1,Up,3.871183510665286e-06,8.240640715216987,102.69445487633494,MYH2|KLF6|TPM3|TNNT1|MYL2|TNNC1|TNNI1|ATP2A2|MYOZ2,0.0003455074082710103
LILRB4 Up,LILRB4,Up,3.871183510665286e-06,8.240640715216987,102.69445487633494,GABARAPL1|MYH2|TPM3|TNNT1|MYL2|TNNC1|FLNA|ATP2A2|MYOZ2,0.0003455074082710103
IFNA2 Up,IFNA2,Up,3.871183510665286e-06,8.240640715216987,102.69445487633494,MYH2|TPM3|TNNT1|ADAMTS1|MYL2|TNNC1|TNNI1|ATP2A2|MYOZ2,0.0003455074082710103
