perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
Dorsomorphin dihydrochloride,BRD-K54233340,PC3,10.0,6.0,0.06,11524144,CPC006_PC3_6H:BRD-K54233340:10.0,CDKN1A|DNMT3B,KRT23
phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,RMUGS,10.0,6.0,0.06,4792,CPC006_RMUGS_6H:BRD-A15079084:10.0,TRIM2,NPC1|RIPK2|TM4SF1
"Ingenol 3, 20-dibenzoate",BRD-A52650764,SNUC4,10.0,6.0,0.06,5225086,CPC006_SNUC4_6H:BRD-A52650764:10.0,,MATN2|NPC1|TM4SF1
"Ingenol 3, 20-dibenzoate",BRD-A52650764,VCAP,10.0,6.0,0.06,5225086,CPC006_VCAP_6H:BRD-A52650764:10.0,,COL14A1|KRT23|TM4SF1
-666,BRD-K17140735,WSUDLCL2,11.1,6.0,0.06,4259181,CPC006_WSUDLCL2_6H:BRD-K17140735:11.1,,BACE2|MATN2|NPC1
NCGC00242335-01,BRD-K00910650,HEPG2,10.0,6.0,0.06,5712112,CPC008_HEPG2_6H:BRD-K00910650:10.0,,NPC1|SPRR3|TM4SF1
2-morpholino-N-((5-nitro-1H-benzo[d]imidazol-2-yl)methyl)-9-(thiophen-3-yl)-9H-purin-6-amine,BRD-K01896723,HEPG2,10.0,6.0,0.06,45100442,CPC008_HEPG2_6H:BRD-K01896723:10.0,CDKN1A|DNMT3B|NFIL3|TUBB2A,
NCGC00242267-03,BRD-K12690157,HEPG2,10.0,6.0,0.06,60138121,CPC008_HEPG2_6H:BRD-K12690157:10.0,DNMT3B,KRT23|TM4SF1
NCGC00167097-01,BRD-K57238941,HEPG2,10.0,6.0,0.06,44142090,CPC008_HEPG2_6H:BRD-K57238941:10.0,,RIPK2|SPRR3|TM4SF1
-666,BRD-K38634661,HA1E,10.0,6.0,0.06,53338813,CPC009_HA1E_6H:BRD-K38634661:10.0,TUBB2A,COL14A1|TM4SF1
S1036,BRD-K49865102,A375,10.0,6.0,0.06,9826528,CPC013_A375_6H:BRD-K49865102:10.0,MICAL2|NEDD4L|NPAS2,
-666,BRD-K83336168,SKB,10.0,24.0,0.06,73707398,CPC013_SKB_24H:BRD-K83336168:10.0,,MATN2|PRDX4|TM4SF1
HY-10005,BRD-K87909389,SKB,10.0,24.0,0.06,5287969,CPC013_SKB_24H:BRD-K87909389:10.0,NEDD4L|TUBB2A,MATN2
2816,BRD-A52193669,ASC,10.0,24.0,0.06,73707417,CPC014_ASC_24H:BRD-A52193669:10.0,TIMP4,KRT23|NPC1
GR-109,BRD-A96799240,ASC,10.0,24.0,0.06,6438629,CPC014_ASC_24H:BRD-A96799240:10.0,TUBB2A,COL14A1|MATN2
S1205,BRD-M16762496,ASC,10.0,24.0,0.06,73707389,CPC014_ASC_24H:BRD-M16762496:10.0,CDKN1A|NFIL3|TIMP4,
S1266,BRD-K77008974,HCC515,10.0,6.0,0.06,44219749,CPC014_HCC515_6H:BRD-K77008974:10.0,TUBB2A,NPC1|TM4SF1
EI-215,BRD-K40255344,HEPG2,10.0,6.0,0.06,5614,CPC014_HEPG2_6H:BRD-K40255344:10.0,,KRT23|SPRR3|TM4SF1
-666,BRD-U33728988,SKB,10.0,24.0,0.06,,CPC014_SKB_24H:BRD-U33728988:10.0,,NPC1|PER3|WEE1
HY-10342,BRD-K79404599,VCAP,10.0,24.0,0.06,176167,CPC014_VCAP_24H:BRD-K79404599:10.0,NEDD4L,COL14A1|KRT23
-666,BRD-K00603606,A375,10.0,6.0,0.06,5472,CPC015_A375_6H:BRD-K00603606:10.0,TUBB2A,GP2|KRT23
-666,BRD-A34806832,A549,10.0,6.0,0.06,9828429,CPC015_A549_6H:BRD-A34806832:10.0,,COL14A1|MATN2|NPC1
