perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
16-HYDROXYTRIPTOLIDE,BRD-A13122391,SNUC4,0.08,6.0,0.0909,16220015,CPC006_SNUC4_6H:BRD-A13122391:0.08,EGR1|FOS,AEBP1|TXNIP
QUINACRINE HYDROCHLORIDE,BRD-A45889380,SNUC4,10.0,6.0,0.0909,23581813,CPC006_SNUC4_6H:BRD-A45889380:10.0,ITGA6,AEBP1|NR1D2|TXNIP
S-8599,BRD-K49810818,HA1E,10.0,6.0,0.0909,10173949,CPC013_HA1E_6H:BRD-K49810818:10.0,CYCS|ITGA6,AEBP1|TXNIP
TGX-115,BRD-K67075780,HA1E,160.0,24.0,0.0909,9902311,CPC006_HA1E_24H:BRD-K67075780:160.0,ANP32E|ASNS|CYCS,AEBP1
geldanamycin,BRD-A19500257,MCF10A,3.33,24,0.1136,13017911,LJP006_MCF10A_24H:BRD-A19500257:3.33,ANP32E|CYCS|EGR1|ITGA6,TXNIP
GSK-2126458,BRD-K42918627,LNCAP,0.12,24,0.1136,52914946,LJP006_LNCAP_24H:BRD-K42918627:0.12,ASNS|GALE|PTGS2,PCBP2|TXNIP
mitoxantrone,BRD-K21680192,HT29,3.33,24,0.1136,5458171,LJP006_HT29_24H:BRD-K21680192:3.33,ASNS|ITGA6|PTGS2,TSPAN4|TXNIP
PD-0325901,BRD-K49865102,HT29,3.33,24,0.1136,9826528,LJP006_HT29_24H:BRD-K49865102:3.33,ANP32E|ASNS|PTGS2,PCBP2|TXNIP
gefitinib,BRD-K64052750,HME1,3.33,3,0.1136,123631,LJP006_HME1_3H:BRD-K64052750:3.33,EGR1|FOS|PTGS2,ID3|NR1D2
"""""""N,N-dimethyl-6-({[1-(1-naphthyl)-1H-tetrazol-5-yl]thio}methyl)-1,3,5-triazine-2,4-diamine""""""",BRD-K51608872,A549,10.0,24.0,0.1136,1517919,CPC007_A549_24H:BRD-K51608872:10.0,ASNS|CYCS|HAPLN1|PTGS2,TXNIP
selumetinib,BRD-K57080016,HME1,0.37,24,0.1364,10127622,LJP006_HME1_24H:BRD-K57080016:0.37,CYCS|EGR1|GGCT,AEBP1|ID3|NR1D2
geldanamycin,BRD-A19500257,HME1,1.11,24,0.1364,13017911,LJP006_HME1_24H:BRD-A19500257:1.11,CYCS|EGR1|ITGA6|PTGS2,ID3|TXNIP
