perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
Dorsomorphin dihydrochloride,BRD-K54233340,HT29,10.0,24.0,0.0758,11524144,CPC006_HT29_24H:BRD-K54233340:10.0,LSM6|SOX4,MIR22HG|PCK1|TNNT1
KUC104495 KUC104495N,BRD-K73044744,A549,10.0,6.0,0.0758,44640181,CPC008_A549_6H:BRD-K73044744:10.0,AUTS2|DYRK2|TNFAIP2,PCK1|TNNC1
NCGC00182357-01,BRD-K75999307,MCF7,10.0,24.0,0.0758,44142131,CPC008_MCF7_24H:BRD-K75999307:10.0,FOSB,MYH2|MYL2|TNNI1|TNNT1|TPM3
geldanamycin,BRD-A19500257,HT29,10.0,6.0,0.0758,13017911,CPC011_HT29_6H:BRD-A19500257:10.0,FOSB,DNAJB9|PFN2|TNNC1|TNNT1
T7765,BRD-K10573841,ASC,10.0,24.0,0.0758,16220051,CPC012_ASC_24H:BRD-K10573841:10.0,PPP1R3C,ATP2A2|DNAJB9|NR1D2|TNNT1
NP-002491,BRD-A04172077,HA1E,10.0,6.0,0.0758,23757203,CPC012_HA1E_6H:BRD-A04172077:10.0,CDKN1A|NFIL3|SOX4|TNFAIP2,PCK1
HY-10192,BRD-K50140147,A375,10.0,6.0,0.0758,16038120,CPC013_A375_6H:BRD-K50140147:10.0,,MYH2|MYL2|TNNC1|TNNI1|TNNT1
trichostatin A,BRD-K68202742,HT29,10.0,6.0,0.0758,444732,CPC013_HT29_6H:BRD-K68202742:10.0,AUTS2,DNAJB9|MIR22HG|PCK1|TNNT1|TSPAN4
NP-007374,BRD-A30083233,VCAP,10.0,24.0,0.0758,23872142,CPC013_VCAP_24H:BRD-A30083233:10.0,AUTS2,ADAMTS1|PER2|SLC19A2|TSPAN4
EI-346,BRD-U08759356,HEPG2,10.0,6.0,0.0758,,CPC014_HEPG2_6H:BRD-U08759356:10.0,LSM6|SOX4,DNAJB9|GABARAPL1|MIR22HG
B4313,BRD-A11007541,MCF7,10.0,24.0,0.0758,5475586,CPC014_MCF7_24H:BRD-A11007541:10.0,LSM6|SOX4,DNAJB9|GABARAPL1|MIR22HG|MLLT11
-666,BRD-K82823804,NPC,10.0,24.0,0.0758,4369491,CPC017_NPC_24H:BRD-K82823804:10.0,LSM6|SOX4,MIR22HG|PCK1|TNNT1
-666,BRD-K00627859,HT29,10.0,6.0,0.0758,49850262,CPC019_HT29_6H:BRD-K00627859:10.0,AUTS2,GABARAPL1|MLLT11|TNNT1|TSPAN4
-666,BRD-K50234570,VCAP,10.0,6.0,0.0758,4183496,CPC020_VCAP_6H:BRD-K50234570:10.0,SOX4,MLLT11|NR1D2|SLC19A2|TRA2A
tanespimycin,BRD-A61304759,HCC515,10,24,0.0758,73707384,LJP009_HCC515_24H:BRD-A61304759:10,CDKN1A|LSM6,DNAJB9|MLLT11|TNNC1
WYE-125132,BRD-A45498368,BT20,10,24,0.0758,25260757,LJP006_BT20_24H:BRD-A45498368:10,PPP1R3C,DNAJB9|GABARAPL1|MIR22HG|PIK3IP1|SLC19A2
A443654,BRD-K88573743,BT20,10,24,0.0758,,LJP006_BT20_24H:BRD-K88573743:10,B4GALT5,MLLT11|PER2|PLIN1|TRA2A
CGP-60474,BRD-K79090631,HCC515,0.37,24,0.0758,644215,LJP006_HCC515_24H:BRD-K79090631:0.37,LSM6,HLF|MIR22HG|NR1D2|PER3|PFN2
radicicol,BRD-A39996500,HEPG2,10,24,0.0758,5311380,LJP006_HEPG2_24H:BRD-A39996500:10,LSM6|SOX4,DNAJB9|GABARAPL1|MIR22HG
QL-XII-47,BRD-K99252563,HME1,3.33,24,0.0758,71748056,LJP006_HME1_24H:BRD-K99252563:3.33,AUTS2|PPP1R3C,GABARAPL1|MIR22HG|NR1D2|SIRT1
A443654,BRD-K88573743,HS578T,1.11,24,0.0758,,LJP006_HS578T_24H:BRD-K88573743:1.11,,ADAMTS1|HLF|MIR22HG|PCK1|PER2|PER3
AT-7519,BRD-K13390322,HT29,1.11,24,0.0758,11338033,LJP006_HT29_24H:BRD-K13390322:1.11,,ADAMTS1|HLF|MIR22HG|NR1D2|PER2|PER3|TRA2A
Chemistry 2804,BRD-K74402642,RMGI,10.0,6.0,0.0758,6477762,CPC006_RMGI_6H:BRD-K74402642:10.0,AUTS2,DNAJB9|MIR22HG|MLLT11|PER2|SLC19A2
geldanamycin,BRD-A19500257,PC3,10.0,24.0,0.0758,13017911,CPC006_PC3_24H:BRD-A19500257:10.0,CDKN1A|SOX4,DNAJB9|MLLT11|TNNT1
A443654,BRD-K88573743,MCF10A,1.11,3,0.0758,,LJP006_MCF10A_3H:BRD-K88573743:1.11,CDKN1A|NFIL3,MYH2|TNNC1|TNNT1
SID 26681509,BRD-K08417745,HT29,88.8,24.0,0.0758,44456237,CPC006_HT29_24H:BRD-K08417745:88.8,LSM6|SOX4,DNAJB9|GABARAPL1|MIR22HG|PCK1
H-9 dihydrochloride,BRD-K70577657,HCC515,10.0,6.0,0.0758,3544,CPC002_HCC515_6H:BRD-K70577657:10.0,,ADAMTS1|MYH2|MYL2|PFN2|TNNC1
