perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
penfluridol,BRD-K15409150,PC3,30.0,6.0,0.0588,33630,CPC006_PC3_6H:BRD-K15409150:30.0,CCNA2,KLF11|KLHL21|NR4A1
homoharringtonine,BRD-A24643465,HEPG2,10.0,6.0,0.0588,16219462,CPC010_HEPG2_6H:BRD-A24643465:10.0,,DUSP6|NR4A1|PER2|PSMD2
-666,BRD-K78385490,HEPG2,10.0,6.0,0.0588,56643206,CPC010_HEPG2_6H:BRD-K78385490:10.0,CCNA2,DUSP6|NR4A1|PSMD2
-666,BRD-K85853281,MCF7,10.0,24.0,0.0588,151582,CPC010_MCF7_24H:BRD-K85853281:10.0,CCNA2|JARID2|NPEPPS,ALDH2
-666,BRD-K37798499,A375,10.0,6.0,0.0588,36462,CPC011_A375_6H:BRD-K37798499:10.0,CCNA2|SST,KLHL21|NR4A1
-666,BRD-K74710236,A375,10.0,6.0,0.0588,44631784,CPC012_A375_6H:BRD-K74710236:10.0,CCNA2,DUSP6|NR4A1|PER2
-666,BRD-K80786583,A375,10.0,6.0,0.0588,44616501,CPC013_A375_6H:BRD-K80786583:10.0,CCNA2,NAB2|NR4A1|PER2
S1130,BRD-K24681473,HEPG2,10.0,6.0,0.0588,10126189,CPC013_HEPG2_6H:BRD-K24681473:10.0,,DUSP6|KLHL21|NR4A1|PER2
7811943,BRD-K07877311,A549,10.0,24.0,0.0588,2209276,CPC014_A549_24H:BRD-K07877311:10.0,CCNA2,DUSP6|NR4A1|PSMD2
-666,BRD-A34806832,A549,10.0,24.0,0.0588,9828429,CPC015_A549_24H:BRD-A34806832:10.0,CCNA2,DUSP6|NR4A1|PER2
-666,BRD-A35588707,A375,10.0,6.0,0.0588,6708778,CPC016_A375_6H:BRD-A35588707:10.0,CCNA2|JARID2,KLHL21|NR4A1
-666,BRD-K12867552,HEPG2,10.0,6.0,0.0588,11749858,CPC017_HEPG2_6H:BRD-K12867552:10.0,CCNA2|RBM26,DUSP6|NR4A1
-666,BRD-K23478508,HT29,10.0,6.0,0.0588,2724385,CPC017_HT29_6H:BRD-K23478508:10.0,,DUSP6|KLHL21|NR4A1|UQCRH
-666,BRD-A25687296,SKB,10.0,24.0,0.0588,5702048,CPC017_SKB_24H:BRD-A25687296:10.0,SST,ALDH2|KLF11|PER2
-666,BRD-A71459254,A375,10.0,6.0,0.0588,6708764,CPC018_A375_6H:BRD-A71459254:10.0,CCNA2|NPEPPS,DUSP6|NR4A1
-666,BRD-A46747628,HT29,10.0,6.0,0.0588,4605,CPC018_HT29_6H:BRD-A46747628:10.0,CCNA2,DUSP6|NR4A1|UQCRH
GDC-0980,BRD-A18328003,A375,0.37,24,0.0588,,LJP005_A375_24H:BRD-A18328003:0.37,CCNA2,ALDH2|RPL36|RPS25
XMD-892,BRD-K50387473,PC3,10,24,0.0588,46843772,LJP009_PC3_24H:BRD-K50387473:10,CCNA2,CCDC85B|DUSP6|NR4A1
withaferin-a,BRD-K88378636,HS578T,10,24,0.0588,265237,LJP005_HS578T_24H:BRD-K88378636:10,CCNA2,DUSP6|KLHL21|NR4A1
PI-103,BRD-K67868012,HA1E,3.33,24,0.0588,9884685,LJP006_HA1E_24H:BRD-K67868012:3.33,,DUSP6|EEF2|RPL36|RPS9
BI-2536,BRD-K64890080,HA1E,10,24,0.0588,11364421,LJP006_HA1E_24H:BRD-K64890080:10,CCNA2,ALDH2|CCDC85B|DUSP6
withaferin-a,BRD-K88378636,HCC515,10,24,0.0588,265237,LJP006_HCC515_24H:BRD-K88378636:10,CCNA2,KLF11|KLHL21|NR4A1
KUC104135 KUC104135N,BRD-K64822626,A375,10.0,6.0,0.0588,44607586,CPC008_A375_6H:BRD-K64822626:10.0,CSTF3|RBM26,CCDC85B|NR4A1
N-((1H-benzo[d]imidazol-2-yl)methyl)-2-morpholino-9-(thiophen-3-yl)-9H-purin-6-amine,BRD-K53780220,A375,10.0,6.0,0.0588,45115629,CPC008_A375_6H:BRD-K53780220:10.0,CCNA2,CCDC85B|DUSP6|NR4A1
AZD-5438,BRD-K72414522,HEPG2,10,24,0.0588,16747683,LJP006_HEPG2_24H:BRD-K72414522:10,CCNA2,PER2|SCP2|UQCR11
TG101348,BRD-K12502280,PC3,11.1,24.0,0.0588,16722836,CPC006_PC3_24H:BRD-K12502280:11.1,CCNA2,CCDC85B|DUSP6|NR4A1
Cucurbitacin I,BRD-A49680073,HCC515,10.0,24.0,0.0588,44483311,CPC001_HCC515_24H:BRD-A49680073:10.0,CCNA2|TRIM9,DUSP6|KLF11|KLHL21
TENIPOSIDE,BRD-A35588707,A375,10.0,6.0,0.0588,6708778,CPC004_A375_6H:BRD-A35588707:10.0,CCNA2,KLHL21|NR4A1|PER2
DIGOXIN,BRD-A94756469,HA1E,10.0,6.0,0.0588,5702042,CPC004_HA1E_6H:BRD-A94756469:10.0,CCNA2,DUSP6|NR4A1|PER2
mitoxantrone,BRD-K21680192,HCC515,1.11,24,0.0588,5458171,LJP006_HCC515_24H:BRD-K21680192:1.11,CCNA2|FCHSD2,DUSP6|NR4A1
BJM-ctd2-9,BRD-M86331534,A549,10.0,6.0,0.0588,73707397,CPC006_A549_6H:BRD-M86331534:10.0,CCNA2,ALDH2|DUSP6|NR4A1
-666,BRD-K52075040,AGS,44.4,6.0,0.0588,5282054,CPC006_AGS_6H:BRD-K52075040:44.4,CCNA2,ALDH2|DUSP6|NR4A1
BI 2536,BRD-K64890080,CORL23,10.0,6.0,0.0588,11364421,CPC006_CORL23_6H:BRD-K64890080:10.0,,CCDC85B|DUSP6|KLHL21|NR4A1
Etoposide,BRD-A18419789,A375,10.0,6.0,0.0588,44483274,CPC005_A375_6H:BRD-A18419789:10.0,CCNA2|SST,KLHL21|NR4A1
Salermide,BRD-A67788537,HA1E,120.0,6.0,0.0588,42626405,CPC006_HA1E_6H:BRD-A67788537:120.0,CCNA2,DUSP6|KLF11|KLHL21
-666,BRD-K12184916,HA1E,0.63,6.0,0.0588,11977753,CPC006_HA1E_6H:BRD-K12184916:0.63,NAA15,DUSP6|KLF11|KLHL21
-666,BRD-K04853698,HT29,10.0,6.0,0.0588,25195294,CPC006_HT29_6H:BRD-K04853698:10.0,CCNA2,KLHL21|NR4A1|PER2
Narciclasine,BRD-K06792661,HT29,10.0,6.0,0.0588,72376,CPC006_HT29_6H:BRD-K06792661:10.0,CCNA2,DUSP6|NAB2|NR4A1|PER2
KU-0063794,BRD-K67566344,MCF7,10.0,24.0,0.0588,16736978,CPC006_MCF7_24H:BRD-K67566344:10.0,CCNA2,DUSP6|EEF2|RPL36
Emetine Dihydrochloride Hydrate (74),BRD-K01976263,MCF7,0.63,6.0,0.0588,11957493,CPC006_MCF7_6H:BRD-K01976263:0.63,,DUSP6|NAB2|NR4A1|PER2
Dorsomorphin dihydrochloride,BRD-K54233340,NCIH2073,10.0,6.0,0.0588,11524144,CPC006_NCIH2073_6H:BRD-K54233340:10.0,CCNA2,DUSP6|MSRA|PER2
-666,BRD-K92317137,EFO27,10.0,6.0,0.0588,659101,CPC006_EFO27_6H:BRD-K92317137:10.0,CCNA2,DUSP6|KLHL21|NR4A1
PF-562271,BRD-K99545815,SKBR3,10,24,0.0735,11713159,LJP006_SKBR3_24H:BRD-K99545815:10,CCNA2,DUSP6|NR4A1|SCP2|UQCR11
torin-1,BRD-K40175214,PC3,1.11,24,0.0735,49836027,LJP006_PC3_24H:BRD-K40175214:1.11,CCNA2|NAA15,EEF2|RPL36|RPS25
CGP-60474,BRD-K79090631,HT29,10,24,0.0735,644215,LJP006_HT29_24H:BRD-K79090631:10,CCNA2,NR4A1|SCP2|UQCR11|UQCRH
CGP-60474,BRD-K79090631,HT29,1.11,24,0.0735,644215,LJP006_HT29_24H:BRD-K79090631:1.11,CCNA2|NPAS2,NR4A1|SCP2|UQCR11
AT-7519,BRD-K13390322,HT29,1.11,24,0.0735,11338033,LJP006_HT29_24H:BRD-K13390322:1.11,CCNA2,NR4A1|PER2|SCP2|UQCRH
BI-2536,BRD-K64890080,A375,10,24,0.0735,11364421,LJP006_A375_24H:BRD-K64890080:10,CCNA2,ALDH2|CCDC85B|KLHL21|NR4A1
Importazole,BRD-A02481876,HA1E,60.0,6.0,0.0735,2949965,CPC006_HA1E_6H:BRD-A02481876:60.0,CCNA2,DUSP6|KLF11|KLHL21|PER2
PF-3758309,BRD-K37764012,PC3,10,24,0.0882,,LJP009_PC3_24H:BRD-K37764012:10,CCNA2,CCDC85B|NR4A1|RPL36|SCP2|TUFM
