perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
ALBENDAZOLE,BRD-K79131256,HCC515,10.0,24.0,0.0769,2082,CPC004_HCC515_24H:BRD-K79131256:10.0,DCN|MUC16,CCNB1|CENPA|CENPE|UBE2S
GW 843682X,BRD-K90382497,VCAP,10.0,24.0,0.0769,9826308,CPC002_VCAP_24H:BRD-K90382497:10.0,,CENPA|CENPE|MKI67|PRC1|STMN1|TOP2A
Scoulerine,BRD-K62609077,VCAP,10.0,24.0,0.0769,439654,CPC001_VCAP_24H:BRD-K62609077:10.0,,BIRC5|CENPA|CENPF|CKS2|MKI67
AZD-7762,BRD-K46056750,HCC515,0.04,24,0.0923,67077825,LJP006_HCC515_24H:BRD-K46056750:0.04,MUC16,CENPE|CENPF|CKS2|MKI67|UBE2S
IC 261,BRD-K09638361,VCAP,10.0,24.0,0.0923,5288600,CPC001_VCAP_24H:BRD-K09638361:10.0,,BIRC5|CENPA|CENPF|MKI67|PRC1|STMN1
-666,BRD-K54256913,HCC515,10.0,6.0,0.0923,24856436,CPC006_HCC515_6H:BRD-K54256913:10.0,DCN,BUB1B|CENPA|CENPE|CENPF|CKS2
-666,BRD-K54256913,SNGM,10.0,6.0,0.0923,24856436,CPC006_SNGM_6H:BRD-K54256913:10.0,,CCNB2|CENPA|CENPE|CENPF|MKI67|TOP2A
-666,BRD-K83336168,ASC,10.0,24.0,0.0923,73707398,CPC013_ASC_24H:BRD-K83336168:10.0,TXNIP,CDK1|RAD51AP1|RRM2|STMN1|UBE2C
-666,BRD-A93236127,ASC,10.0,24.0,0.0923,5702041,CPC017_ASC_24H:BRD-A93236127:10.0,,BIRC5|CDK1|CKS2|HMGB2|TOP2A|UBE2C
Carbazol-9-yl-p-tolyl-methanone,BRD-K71265179,VCAP,10.0,24.0,0.0923,576989,CPC007_VCAP_24H:BRD-K71265179:10.0,,CCNB2|CENPA|CENPF|MKI67|SPC25|UBE2S
-666,BRD-K11072542,VCAP,10.0,24.0,0.0923,2016258,CPC019_VCAP_24H:BRD-K11072542:10.0,,BIRC5|CENPA|CENPE|MKI67|PRC1|UBE2S
-666,BRD-K38340366,VCAP,10.0,24.0,0.0923,5765514,CPC019_VCAP_24H:BRD-K38340366:10.0,,BIRC5|CENPF|KIF11|LIG1|MKI67|TOP2A
podofilox,BRD-K47869605,VCAP,10.0,24.0,0.0923,10607,CPC020_VCAP_24H:BRD-K47869605:10.0,,BIRC5|CCNB2|CENPA|CENPF|MKI67|TOP2A
-666,BRD-K75308990,VCAP,10.0,24.0,0.0923,20876331,CPC020_VCAP_24H:BRD-K75308990:10.0,,BIRC5|CCNB2|CENPA|CENPF|MKI67|SPC25
NVP-AUY922,BRD-K65182930,HS578T,0.37,24,0.0923,,LJP005_HS578T_24H:BRD-K65182930:0.37,,CCNB2|CDK1|CENPA|CKS2|MKI67|PRC1|TOP2A|UBE2C
NVP-BEZ235,BRD-K12184916,SKBR3,0.37,3,0.0923,11977753,LJP005_SKBR3_3H:BRD-K12184916:0.37,HPGD,CENPE|CENPF|HMGB2|KIF18A|TOP2A
-666,BRD-K84595254,ASC,10.0,24.0,0.0923,6185,CPC018_ASC_24H:BRD-K84595254:10.0,,BIRC5|CDK1|CKS2|HMGB2|TOP2A|UBE2C
NCGC00167098-01,BRD-K49712247,VCAP,10.0,24.0,0.0923,44142091,CPC008_VCAP_24H:BRD-K49712247:10.0,,BIRC5|CENPA|CENPF|PRC1|SPC25|STMN1
-666,BRD-K34508425,VCAP,10.0,24.0,0.1077,44601473,CPC010_VCAP_24H:BRD-K34508425:10.0,HPGD,BIRC5|CCNB2|CENPA|MKI67|SPC25|UBE2S
AZD-7762,BRD-K46056750,MCF7,3.33,3,0.1077,67077825,LJP006_MCF7_3H:BRD-K46056750:3.33,EGFR,CENPE|CENPF|HMGB2|PRC1|TOP2A|UBE2S
NVP-AUY922,BRD-K65182930,HS578T,0.04,24,0.1077,,LJP005_HS578T_24H:BRD-K65182930:0.04,,CCNB2|CDK1|CENPE|CKS2|HMGB2|TOP2A|UBE2C
-666,BRD-K36055864,ASC,10.0,24.0,0.1077,6197,CPC018_ASC_24H:BRD-K36055864:10.0,,BIRC5|CCNB2|CDK1|CENPA|RRM2|TOP2A|UBE2C
-666,BRD-K23478508,ASC,10.0,24.0,0.1077,2724385,CPC017_ASC_24H:BRD-K23478508:10.0,,BIRC5|CDK1|CENPE|CKS2|HMGB2|TOP2A|UBE2C
-666,BRD-A80502530,ASC,10.0,24.0,0.1077,23947601,CPC017_ASC_24H:BRD-A80502530:10.0,,CDK1|CENPE|CKS2|HMGB2|RAD51AP1|TOP2A|UBE2C
-666,BRD-A68930007,ASC,10.0,24.0,0.1077,12420,CPC015_ASC_24H:BRD-A68930007:10.0,,BIRC5|CDK1|CENPE|CKS2|HMGB2|TOP2A|UBE2C
-666,BRD-K14939371,VCAP,10.0,24.0,0.1077,53338846,CPC009_VCAP_24H:BRD-K14939371:10.0,,BIRC5|CCNB2|CENPA|CENPF|MKI67|TOP2A|UBE2C|UBE2S
VU0365117-1,BRD-K66032149,VCAP,10.0,24.0,0.1077,45281797,CPC008_VCAP_24H:BRD-K66032149:10.0,,BIRC5|CENPA|CENPE|CENPF|MKI67|SPC25|STMN1
-666,BRD-K54256913,VCAP,10.0,6.0,0.1077,24856436,CPC006_VCAP_6H:BRD-K54256913:10.0,,CENPA|CENPE|CENPF|CKS2|KIF18A|MKI67|PRC1|TOP2A|UBE2S
ABT-751,BRD-K91623615,VCAP,10.0,24.0,0.1077,3035714,CPC006_VCAP_24H:BRD-K91623615:10.0,,BIRC5|CCNB2|CENPA|CENPE|CENPF|MKI67|PRC1
-666,BRD-K08316444,VCAP,0.63,24.0,0.1077,6758,CPC006_VCAP_24H:BRD-K08316444:0.63,,CENPA|CENPE|CENPF|MKI67|PRC1|RRM2|SPC25
LY 2183240,BRD-K37865504,VCAP,10.0,24.0,0.1077,11507802,CPC003_VCAP_24H:BRD-K37865504:10.0,DCN|DSE,CENPA|CENPE|CENPF|KIF18A|MKI67|SPC25
D-64131,BRD-K26997899,VCAP,10.0,24.0,0.1077,3921152,CPC002_VCAP_24H:BRD-K26997899:10.0,,CENPA|CENPE|CENPF|CKS2|KIF11|MKI67|PRC1|RRM2|STMN1
BACCATIN III,BRD-A84189516,VCAP,10.0,24.0,0.1077,2733529,CPC002_VCAP_24H:BRD-A84189516:10.0,,CENPA|CENPE|CENPF|CKS2|KIF11|MKI67|STMN1
-666,BRD-A16820783,VCAP,10.0,24.0,0.1077,44142103,CPC009_VCAP_24H:BRD-A16820783:10.0,,BIRC5|CCNB2|CENPA|CENPE|CENPF|MKI67|PRC1
SB 225002,BRD-K61323504,VCAP,10.0,24.0,0.1231,3854666,CPC001_VCAP_24H:BRD-K61323504:10.0,,BIRC5|CCNB2|CENPA|CENPE|CENPF|MKI67|SPC25|STMN1
OXIBENDAZOLE,BRD-K52075715,VCAP,10.0,24.0,0.1231,4622,CPC004_VCAP_24H:BRD-K52075715:10.0,,BIRC5|CENPA|CENPF|KIF18A|MKI67|PRC1|SPC25|STMN1
OXFENDAZOLE,BRD-A33447119,VCAP,10.0,24.0,0.1231,40854,CPC004_VCAP_24H:BRD-A33447119:10.0,,BIRC5|CCNB2|CENPA|CENPE|CENPF|MKI67|PRC1|SPC25
vindesine,BRD-K59753975,VCAP,10.0,24.0,0.1231,40839,CPC011_VCAP_24H:BRD-K59753975:10.0,,BIRC5|CCNB2|CENPA|CENPE|CENPF|CKS2|KIF18A|MKI67|SPC25
clobenpropit,BRD-K71430621,VCAP,10.0,24.0,0.1231,2790,CPC011_VCAP_24H:BRD-K71430621:10.0,,BIRC5|CENPA|CENPE|CENPF|KIF18A|MKI67|PRC1|SPC25|UBE2S
-666,BRD-K54256913,PL21,10.0,6.0,0.1231,24856436,CPC006_PL21_6H:BRD-K54256913:10.0,CAST,CENPA|CENPE|CENPF|CKS2|H3F3B|KIF18A|UBE2C
docetaxel,BRD-K63265447,VCAP,10.0,24.0,0.1385,11970251,CPC011_VCAP_24H:BRD-K63265447:10.0,,BIRC5|CENPA|CENPE|CENPF|KIF18A|MKI67|SPC25|TOP2A|UBE2S
VU0365118-1,BRD-K53732802,VCAP,10.0,24.0,0.1385,53338863,CPC009_VCAP_24H:BRD-K53732802:10.0,,BIRC5|CCNB2|CENPA|CENPF|CKS2|KIF11|MKI67|PRC1|STMN1
-666,BRD-A43640821,VCAP,10.0,24.0,0.1385,44142101,CPC009_VCAP_24H:BRD-A43640821:10.0,,BIRC5|CCNB2|CENPA|CENPE|CENPF|MKI67|PRC1|SPC25|UBE2S
