perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
HY-50940,BRD-K13390322,MCF7,10.0,6.0,0.1591,11338033,CPC013_MCF7_6H:BRD-K13390322:10.0,HOXA5|SLC1A1,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2
HY-10459,BRD-K99545815,MCF7,10.0,6.0,0.1591,11713159,CPC014_MCF7_6H:BRD-K99545815:10.0,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|LOXL2|PCOLCE
AT-7519,BRD-K13390322,BT20,3.33,3,0.1591,11338033,LJP006_BT20_3H:BRD-K13390322:3.33,GATA6|PCP4,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2
S1205,BRD-M16762496,MCF7,10.0,6.0,0.1591,73707389,CPC014_MCF7_6H:BRD-M16762496:10.0,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE
PF-562271,BRD-K99545815,HA1E,10,24,0.1591,11713159,LJP006_HA1E_24H:BRD-K99545815:10,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|SCPEP1
alvocidib,BRD-K87909389,HA1E,1.11,24,0.1591,5287969,LJP006_HA1E_24H:BRD-K87909389:1.11,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|TIMP1
CGP-60474,BRD-K79090631,HA1E,10,24,0.1591,644215,LJP006_HA1E_24H:BRD-K79090631:10,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE|SCPEP1
alvocidib,BRD-K87909389,HA1E,0.12,24,0.1591,5287969,LJP006_HA1E_24H:BRD-K87909389:0.12,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE
CGP-60474,BRD-K79090631,LNCAP,0.12,24,0.1591,644215,LJP006_LNCAP_24H:BRD-K79090631:0.12,SLN,COL1A2|COL3A1|COL5A1|COL5A2|COL6A1|COL6A2
CGP-60474,BRD-K79090631,HA1E,1.11,24,0.1591,644215,LJP006_HA1E_24H:BRD-K79090631:1.11,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|PCOLCE|SCPEP1
BMS-387032,BRD-K43389698,HA1E,10,24,0.1818,3025986,LJP006_HA1E_24H:BRD-K43389698:10,,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|CYB561|PCOLCE|SCPEP1
mitoxantrone,BRD-K21680192,HA1E,3.33,24,0.1818,5458171,LJP006_HA1E_24H:BRD-K21680192:3.33,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE|SCPEP1
CGP-60474,BRD-K79090631,HA1E,0.04,24,0.1818,644215,LJP006_HA1E_24H:BRD-K79090631:0.04,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|CYB561|PCOLCE
alvocidib,BRD-K87909389,HA1E,10,24,0.1818,5287969,LJP006_HA1E_24H:BRD-K87909389:10,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|CYB561|PCOLCE
QUINACRINE HYDROCHLORIDE,BRD-A45889380,HT29,10.0,24.0,0.1818,23581813,CPC005_HT29_24H:BRD-A45889380:10.0,HOXA5|OAT|SLC1A1,COL1A2|COL3A1|COL6A1|COL6A2|MMP3
AZD-5438,BRD-K72414522,HA1E,10,24,0.2045,16747683,LJP006_HA1E_24H:BRD-K72414522:10,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|PCOLCE|SCPEP1|TIMP1
CGP-60474,BRD-K79090631,HA1E,0.37,24,0.2045,644215,LJP006_HA1E_24H:BRD-K79090631:0.37,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|CYB561|PCOLCE|SCPEP1
CGP-60474,BRD-K79090631,HA1E,3.33,24,0.2273,644215,LJP006_HA1E_24H:BRD-K79090631:3.33,HOXA5,COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|CYB561|PCOLCE|SCPEP1|TIMP1
