term,target,ko_direction,pvalue,odds,combined_score,overlap_genes,adj_pvalue
IL21R Down,IL21R,Down,4.334728565260068e-07,9.258003766478343,135.64305575843323,LGALS1|HPGD|ADGRF5|TXNIP|ERG|OLFML2A|PRKCZ|CTSD|S100A11|SMAD7,0.001474955964653764
HAGH Down,HAGH,Down,4.499103095029275e-07,9.218471636193156,134.72075030412142,TGFBR3|C1QTNF3|DSE|CCN5|ERG|RABAC1|CLEC2D|NECTIN3|DCN|SMAD7,0.001474955964653764
CXCL13 Down,CXCL13,Down,3.621038010959781e-06,8.311918850380389,104.13795188260119,IFITM2|LGALS1|SELENOP|ADGRF5|TXNIP|ADGRA3|CTSD|LSS|NECTIN3,0.003697999537085422
PGF Down,PGF,Down,3.621038010959781e-06,8.311918850380389,104.13795188260119,TYROBP|LGALS1|HPGD|MUC16|SELENOP|ADGRF5|OLFML2A|SPTBN1|DCN,0.003697999537085422
CARMIL2 Down,CARMIL2,Down,3.744314842673021e-06,8.276128127191956,103.41247131366448,C1QTNF3|IFITM2|OAT|HPGD|DSE|CCN5|SLIT3|NDRG2|DCN,0.003697999537085422
DUSP6 Down,DUSP6,Down,4.001730573407814e-06,8.205452775073029,101.98379726751449,TGFBR3|PMEL|IFITM2|LGALS1|HPGD|SELENOP|TXNIP|NDRG2|OLFML2A,0.003697999537085422
PTPN12 Down,PTPN12,Down,4.001730573407814e-06,8.205452775073029,101.98379726751449,CAST|TYROBP|IFITM2|LGALS1|ITGAM|BAMBI|NDRG2|CTSD|PF4,0.003697999537085422
CRHBP Down,CRHBP,Down,4.136044220431077e-06,8.17056053190507,101.28039508272305,TGFBR3|TYROBP|IFITM2|LGALS1|HPGD|MUC16|ALDH1A2|SELENOP|NDRG2,0.003697999537085422
LRP1 Down,LRP1,Down,2.92235474373024e-05,7.308063916759569,76.30010261972448,CAST|TYROBP|ITGAM|BAMBI|CTSD|S100A11|DCN|AGFG1,0.0061761943392491915
NAT1 Down,NAT1,Down,2.92235474373024e-05,7.308063916759569,76.30010261972448,C1QTNF3|IFITM2|HPGD|SELENOP|CCN5|LEPR|TXNIP|DCN,0.0061761943392491915
NDUFS4 Down,NDUFS4,Down,2.92235474373024e-05,7.308063916759569,76.30010261972448,CAST|IFITM2|OAT|MUC16|SELENOP|BSG|TXNIP|SMAD7,0.0061761943392491915
MYO3A Down,MYO3A,Down,3.0095128064789227e-05,7.276595744680851,75.75770983206206,HSDL2|LGALS1|HPGD|BAMBI|SELENOP|BSG|DSE|PRKCZ,0.0061761943392491915
RARA Down,RARA,Down,3.0095128064789227e-05,7.276595744680851,75.75770983206206,TGFBR3|HSDL2|LGALS1|HPGD|ALDH1A2|SELENOP|TXNIP|ADGRA3,0.0061761943392491915
GSTA2 Down,GSTA2,Down,3.0095128064789227e-05,7.276595744680851,75.75770983206206,TGFBR3|TYROBP|ALDH1A2|ADGRF5|TXNIP|ADGRA3|CMTR1|PF4,0.0061761943392491915
FGFR1 Down,FGFR1,Down,3.0095128064789227e-05,7.276595744680851,75.75770983206206,TGFBR3|LGALS1|ADGRF5|TXNIP|CMTR1|PRKCZ|LSS|SMAD7,0.0061761943392491915
ANKRD55 Down,ANKRD55,Down,3.098838193326686e-05,7.2453942520265295,75.22094554392308,IFITM2|LGALS1|HPGD|BAMBI|SELENOP|BSG|TXNIP|DCN,0.0061761943392491915
FOXP2 Down,FOXP2,Down,3.098838193326686e-05,7.2453942520265295,75.22094554392308,TGFBR3|HPGD|SELENOP|BSG|DSE|TXNIP|SPTBN1|DCN,0.0061761943392491915
ITPRIPL1 Down,ITPRIPL1,Down,3.098838193326686e-05,7.2453942520265295,75.22094554392308,TGFBR3|HPGD|SELENOP|TXNIP|RABAC1|CTSD|LSS|DCN,0.0061761943392491915
KCNS3 Down,KCNS3,Down,3.098838193326686e-05,7.2453942520265295,75.22094554392308,TYROBP|LGALS1|HPGD|ADGRF5|DSE|TXNIP|ERG|DCN,0.0061761943392491915
RCBTB2 Down,RCBTB2,Down,3.098838193326686e-05,7.2453942520265295,75.22094554392308,TGFBR3|IFITM2|MUC16|BAMBI|TXNIP|TPP1|CTSD|DCN,0.0061761943392491915
RDH14 Down,RDH14,Down,3.098838193326686e-05,7.2453942520265295,75.22094554392308,C1QTNF3|HSDL2|IFITM2|MUC16|BAMBI|BSG|RABAC1|PF4,0.0061761943392491915
PDK3 Down,PDK3,Down,3.19037364843855e-05,7.214456063107686,74.68973000013781,CAST|OAT|BAMBI|SELENOP|TXNIP|OLFML2A|CTSD|DCN,0.0061761943392491915
PPM1G Down,PPM1G,Down,3.19037364843855e-05,7.214456063107686,74.68973000013781,TGFBR3|LGALS1|HPGD|ALDH1A2|SELENOP|TXNIP|NDRG2|NECTIN3,0.0061761943392491915
